Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Ismael Aaneba\a7e4760c,fr FRA,DF,Strasbourg,fr Ligue 1,19,1999,2.3,3,0,0,6,0,0,5,5,4,0,0,0,22,1,4,20.0,Matches
2,Patrick van Aanholt\5f09991f,nl NED,DF,Crystal Palace,eng Premier League,27,1990,35.5,3,0,0,12,18,11,56,51,34,0,0,0,325,13,12,52.0,Matches
3,Ignazio Abate\1c529186,it ITA,DF,Milan,it Serie A,31,1986,14.5,4,0,0,13,6,0,20,14,21,0,1,0,113,10,7,58.8,Matches
4,Issah Abbas\2590ddf7,gh GHA,FW,Mainz 05,de Bundesliga,19,1998,0.1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,,Matches
5,Yunis Abdelhamid\32c2d95f,ma MAR,DF,Reims,fr Ligue 1,30,1987,38.0,2,0,0,34,20,1,0,46,35,0,1,1,327,88,47,65.2,Matches
6,Mehdi Abeid\a4c3f7af,dz ALG,MF,Dijon,fr Ligue 1,25,1992,22.5,6,0,0,58,31,1,13,24,40,0,0,0,256,16,14,53.3,Matches
7,Charles Abi\469d3d84,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,18,2000,0.4,0,0,0,2,1,0,0,1,4,0,0,0,6,2,1,66.7,Matches
8,David Abraham\565bf0da,ar ARG,DF,Eint Frankfurt,de Bundesliga,32,1986,15.8,2,0,0,12,10,0,4,15,19,0,0,0,197,27,16,62.8,Matches
9,Amir Abrashi\1c08a3c8,al ALB,MF,Freiburg,de Bundesliga,28,1990,8.8,5,0,0,23,19,0,1,12,12,0,0,0,117,5,6,45.5,Matches
10,Francesco Acerbi\b96b595c,it ITA,DF,Lazio,it Serie A,30,1988,36.8,4,1,1,29,43,4,8,43,30,0,2,0,424,78,36,68.4,Matches
11,Afriyie Acquah\d7403bd5,gh GHA,MF,Empoli,it Serie A,26,1992,16.8,4,0,0,32,36,1,22,7,13,0,0,0,130,14,20,41.2,Matches
12,Tyler Adams\2b09d998,us USA,MF,RB Leipzig,de Bundesliga,19,1999,8.0,0,0,0,12,13,0,2,11,21,0,0,0,127,16,13,55.2,Matches
13,Antonio Adán\65d62814,es ESP,GK,Atlético Madrid,es La Liga,31,1987,1.0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,Matches
14,Aday\5890cef1,es ESP,DFMF,Girona,es La Liga,30,1987,7.2,2,0,0,10,8,0,41,8,7,0,0,0,38,0,4,0.0,Matches
15,Khaled Adénon\16714a62,bj BEN,DF,Amiens,fr Ligue 1,33,1985,22.2,7,1,1,32,20,2,0,19,24,0,0,1,249,42,37,53.2,Matches
16,Claud Adjapong\ce5b170a,it ITA,MFDF,Sassuolo,it Serie A,20,1998,3.0,1,0,0,3,5,2,3,3,3,0,0,0,21,2,3,40.0,Matches
17,Yacine Adli\26777636,fr FRA,MFFW,Bordeaux,fr Ligue 1,18,2000,2.4,1,0,0,4,1,0,7,1,1,0,0,0,21,2,1,66.7,Matches
18,Ali Adnan Kadhim\06050480,iq IRQ,MFDF,Atalanta,it Serie A,24,1993,1.8,0,0,0,3,2,0,5,3,2,0,0,0,20,4,1,80.0,Matches
19,Aritz Aduriz\293211e1,es ESP,FW,Athletic Club,es La Liga,37,1981,10.5,5,0,0,28,9,12,9,1,3,0,1,0,25,38,44,46.3,Matches
20,Luis Advíncula\cacadf4f,pe PER,DF,Rayo Vallecano,es La Liga,28,1990,26.5,6,2,2,54,50,0,49,16,34,2,0,0,217,19,22,46.3,Matches
21,Martin Agirregabiria\355c883a,es ESP,DF,Alavés,es La Liga,22,1996,22.6,4,0,0,27,36,0,30,28,28,0,0,0,208,19,23,45.2,Matches
