Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Patrick van Aanholt\5f09991f,nl NED,DF,Crystal Palace,eng Premier League,26,1990,24.3,7,0,0,23,13,3,42,45,35,0,0,0,213,7,10,41.2,Matches
2,Rolando Aarons\c5942695,eng ENG,MFFW,Hellas Verona,it Serie A,21,1995,5.7,0,0,0,9,12,0,6,1,9,0,0,0,22,7,15,31.8,Matches
3,Rolando Aarons\c5942695,eng ENG,FWMF,Newcastle Utd,eng Premier League,21,1995,1.5,0,0,0,1,3,1,3,2,4,0,0,0,13,2,3,40.0,Matches
4,Ignazio Abate\1c529186,it ITA,DF,Milan,it Serie A,30,1986,11.7,3,0,0,14,9,3,26,4,15,0,0,0,106,5,4,55.6,Matches
5,Aymen Abdennour\2f798b41,tn TUN,DF,Marseille,fr Ligue 1,27,1989,5.6,3,0,0,8,6,0,0,2,6,0,0,0,57,3,0,100.0,Matches
6,Aly Abeid\bbe88396,mr MTN,DF,Levante,es La Liga,19,1997,0.9,0,0,0,1,0,0,2,1,1,0,0,0,8,0,2,0.0,Matches
7,Mehdi Abeid\a4c3f7af,dz ALG,MF,Dijon,fr Ligue 1,24,1992,13.1,2,0,0,34,17,2,7,15,14,0,0,0,142,3,5,37.5,Matches
8,David Abraham\565bf0da,ar ARG,DF,Eint Frankfurt,de Bundesliga,31,1986,25.6,3,0,0,13,22,0,6,23,28,0,0,1,378,62,26,70.5,Matches
9,Tammy Abraham\f586779e,eng ENG,FW,Swansea City,eng Premier League,19,1997,19.2,0,0,0,16,30,9,14,5,6,0,0,0,67,53,87,37.9,Matches
10,Amir Abrashi\1c08a3c8,al ALB,MF,Freiburg,de Bundesliga,27,1990,9.4,2,0,0,23,29,0,4,11,26,0,0,0,137,21,19,52.5,Matches
11,Francesco Acerbi\b96b595c,it ITA,DF,Sassuolo,it Serie A,29,1988,38.0,4,0,0,36,33,0,9,47,34,0,1,1,520,103,32,76.3,Matches
12,Afriyie Acquah\d7403bd5,gh GHA,MF,Torino,it Serie A,25,1992,10.6,4,2,1,21,15,0,8,10,7,0,0,0,105,12,13,48.0,Matches
13,Charlie Adam\aff418dc,sct SCO,MF,Stoke City,eng Premier League,31,1985,4.6,2,1,0,8,8,0,11,6,6,0,0,0,60,10,3,76.9,Matches
14,Antonio Adán\65d62814,es ESP,GK,Betis,es La Liga,30,1987,30.0,4,0,0,1,3,0,0,0,0,0,0,0,127,0,0,,Matches
15,Aday\5890cef1,es ESP,MFDF,Girona,es La Liga,29,1987,20.4,10,0,0,42,18,6,99,21,6,0,0,1,187,19,11,63.3,Matches
16,Khaled Adénon\16714a62,bj BEN,DF,Amiens,fr Ligue 1,32,1985,32.5,9,0,0,55,39,1,1,50,27,0,1,0,394,23,22,51.1,Matches
17,Claud Adjapong\ce5b170a,it ITA,DFMF,Sassuolo,it Serie A,19,1998,13.6,5,1,0,23,19,2,24,11,19,0,0,0,134,15,11,57.7,Matches
18,René Adler\f71890f5,de GER,GK,Mainz 05,de Bundesliga,32,1985,14.0,0,0,0,1,4,0,0,0,0,0,1,0,79,0,1,0.0,Matches
19,Ali Adnan Kadhim\06050480,iq IRQ,DFMF,Udinese,it Serie A,23,1993,18.6,4,0,0,24,27,1,53,31,23,0,0,1,174,49,32,60.5,Matches
20,Adrián\f76e6b4e,es ESP,GK,West Ham,eng Premier League,30,1987,19.0,2,0,0,1,3,0,0,0,0,0,0,0,116,0,0,,Matches
21,Aritz Aduriz\293211e1,es ESP,FW,Athletic Club,es La Liga,36,1981,23.9,5,0,0,48,44,35,16,0,8,0,0,0,72,63,45,58.3,Matches
22,Ibrahim Afellay\9a8c6673,nl NED,MF,Stoke City,eng Premier League,31,1986,1.8,1,0,0,1,0,0,0,1,2,0,0,0,19,1,1,50.0,Matches
23,Benik Afobe\b63f4077,cd COD,FWMF,Bournemouth,eng Premier League,24,1993,6.8,0,0,0,10,15,4,0,2,3,1,0,0,25,24,48,33.3,Matches
24,Martin Agirregabiria\355c883a,es ESP,DF,Alavés,es La Liga,21,1996,20.3,4,0,0,20,17,0,35,27,19,0,0,0,244,7,7,50.0,Matches
25,Imanol Agirretxe\c84c1afc,es ESP,FW,Real Sociedad,es La Liga,30,1987,2.6,0,0,0,1,4,1,0,0,0,1,0,0,10,6,2,75.0,Matches
26,Sergio Agüero\4d034881,ar ARG,FW,Manchester City,eng Premier League,29,1988,21.8,2,0,0,12,20,16,14,14,8,0,0,0,90,12,26,31.6,Matches
27,Ruben Aguilar\3dd738a1,fr FRA,DFMF,Montpellier,fr Ligue 1,24,1993,27.3,2,0,0,28,51,3,83,33,27,0,0,0,211,9,14,39.1,Matches
28,Matías Aguirregaray\8617e3d9,uy URU,DF,Las Palmas,es La Liga,28,1989,12.8,3,0,0,20,23,1,16,18,15,0,0,0,108,5,10,33.3,Matches
29,Jean-Eudes Aholou\48b28bfd,ci CIV,MF,Strasbourg,fr Ligue 1,23,1994,33.4,4,0,0,42,51,1,1,71,42,0,0,0,405,20,14,58.8,Matches
30,Ailton\74ced675,br BRA,DFFW,Stuttgart,de Bundesliga,22,1995,1.2,0,0,0,2,1,0,4,1,2,0,0,0,7,2,3,40.0,Matches
31,Youssef Aït Bennasser\c46fa34c,ma MAR,MF,Caen,fr Ligue 1,21,1996,22.8,4,0,0,22,29,0,9,37,28,0,0,0,298,6,13,31.6,Matches
32,Arlind Ajeti\f9714604,al ALB,DFMF,Crotone,it Serie A,23,1993,14.1,7,0,0,19,10,0,1,13,24,0,1,0,147,23,24,48.9,Matches
33,Manuel Akanji\89ac64a6,ch SUI,DF,Dortmund,de Bundesliga,22,1995,10.0,2,0,0,12,4,0,2,7,12,0,0,0,105,17,17,50.0,Matches
34,Nathan Aké\eaeca114,nl NED,DF,Bournemouth,eng Premier League,22,1995,37.3,5,0,0,30,22,2,5,58,31,0,0,0,356,129,99,56.6,Matches
35,Ager Aketxe\c5eaff5c,es ESP,MF,Athletic Club,es La Liga,23,1993,0.4,1,0,0,1,0,0,2,0,1,0,0,0,4,0,1,0.0,Matches
36,Chadrac Akolo\debc2f28,cd COD,FWMF,Stuttgart,de Bundesliga,22,1995,12.2,2,0,0,13,12,9,18,7,10,0,0,0,67,9,21,30.0,Matches
37,Kevin Akpoguma\6ec6fde0,ng NGA,DF,Hoffenheim,de Bundesliga,22,1995,18.8,1,0,0,25,20,1,6,24,29,0,0,1,172,31,28,52.5,Matches
38,David Alaba\05439de2,at AUT,DF,Bayern Munich,de Bundesliga,25,1992,17.2,1,0,0,10,7,2,72,10,15,0,0,0,170,15,15,50.0,Matches
39,Lucas Alario\834d0be5,ar ARG,FW,Leverkusen,de Bundesliga,24,1992,17.2,4,1,0,40,44,14,8,6,10,1,0,0,67,48,79,37.8,Matches
40,David Alba\7a4cd784,es ESP,DF,Getafe,es La Liga,18,1999,0.7,0,0,0,3,0,0,0,0,1,0,0,0,7,0,2,0.0,Matches
41,Jordi Alba\4601e194,es ESP,DF,Barcelona,es La Liga,28,1989,30.5,7,0,0,38,23,16,75,52,30,0,0,0,278,8,10,44.4,Matches
42,Raúl Albentosa\348e4809,es ESP,DF,La Coruña,es La Liga,28,1988,19.4,5,0,0,20,13,1,3,13,12,0,1,0,226,22,11,66.7,Matches
43,Luis Alberto\5294a83f,es ESP,MFFW,Lazio,it Serie A,24,1992,29.7,5,0,0,20,40,3,53,10,28,1,0,0,205,10,29,25.6,Matches
44,Raúl Albiol\4bd414c1,es ESP,DF,Napoli,it Serie A,31,1985,30.5,7,0,0,31,20,2,3,12,25,0,0,0,455,73,51,58.9,Matches
45,Miiko Albornoz\d459281d,cl CHI,DF,Hannover 96,de Bundesliga,26,1990,7.8,1,0,0,12,17,0,16,5,13,0,0,0,73,14,18,43.8,Matches
46,Marc Albrighton\b827d5b3,eng ENG,MFFW,Leicester City,eng Premier League,27,1989,28.2,5,1,0,24,32,1,121,40,42,0,1,0,240,20,26,43.5,Matches
47,Paco Alcácer\a7a9d95a,es ESP,FWMF,Barcelona,es La Liga,23,1993,7.7,0,0,0,3,10,7,7,8,3,0,0,0,45,3,11,21.4,Matches
48,Pedro Alcalá\ba71d071,es ESP,DF,Girona,es La Liga,28,1989,7.7,4,0,0,11,4,2,1,4,5,0,0,0,101,6,9,40.0,Matches
49,Thiago Alcántara\77e84962,es ESP,MFFW,Bayern Munich,de Bundesliga,26,1991,13.9,3,0,0,28,19,1,12,20,26,1,0,0,139,17,19,47.2,Matches
50,David Alcibiade\9b8970ce,fr FRA,DF,Nantes,fr Ligue 1,25,1991,2.3,0,0,0,2,3,1,5,4,1,0,0,0,25,1,1,50.0,Matches
51,Toby Alderweireld\f7d50789,be BEL,DF,Tottenham,eng Premier League,28,1989,13.1,3,0,0,10,1,0,4,6,10,0,0,0,130,26,35,42.6,Matches
52,Steve Aldo One\a8599c17,cm CMR,DF,La Coruña,es La Liga,22,1995,1.0,0,0,0,2,0,0,0,1,0,0,0,0,5,1,0,100.0,Matches
53,Álex Alegría\46166b49,es ESP,FW,Levante,es La Liga,24,1992,7.0,1,0,0,16,19,5,3,6,2,0,0,0,14,16,17,48.5,Matches
54,Iván Alejo\3d7e48ce,es ESP,FWMF,Eibar,es La Liga,22,1995,12.2,5,0,0,23,45,3,76,7,13,0,0,0,94,4,11,26.7,Matches
55,Alexander\3e1858af,ar ARG,FWMF,Leganés,es La Liga,28,1988,11.8,1,0,0,21,22,8,29,13,12,1,0,0,63,1,4,20.0,Matches
56,Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,Liverpool,eng Premier League,18,1998,17.5,3,0,0,13,4,3,62,52,23,0,0,0,175,8,19,29.6,Matches
57,Alexis\db0cd1ae,es ESP,DF,Alavés,es La Liga,31,1985,24.3,6,0,0,25,14,2,4,23,17,0,0,1,215,16,7,69.6,Matches
58,Alisson\7a2e46a8,br BRA,GK,Roma,it Serie A,24,1992,37.0,1,0,0,1,4,0,0,0,0,0,0,0,230,0,0,,Matches
59,Allan\cc700722,br BRA,MF,Napoli,it Serie A,26,1991,31.7,2,0,0,41,52,0,22,19,80,0,0,0,296,9,32,22.0,Matches
60,Joe Allen\9feb8f24,wls WAL,MF,Stoke City,eng Premier League,27,1990,34.9,8,0,0,58,56,0,18,63,64,0,0,0,424,49,72,40.5,Matches
61,Dele Alli\cea4ee8f,eng ENG,MFFW,Tottenham,eng Premier League,21,1996,32.9,7,0,0,44,103,5,30,31,40,1,0,0,260,32,71,31.1,Matches
62,José Alonso Lara\7e28d6f7,es ESP,FW,Sevilla,es La Liga,17,2000,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Matches
63,Júnior Alonso\b18a3023,py PAR,DF,Lille,fr Ligue 1,24,1993,30.9,3,0,0,35,8,0,6,42,26,0,0,1,420,49,17,74.2,Matches
64,Marcos Alonso\f4290206,es ESP,DF,Chelsea,eng Premier League,26,1990,31.7,6,0,0,31,35,8,83,60,32,0,0,0,257,67,62,51.9,Matches
65,Ricky Álvarez\92a5ac34,ar ARG,MFFW,Sampdoria,it Serie A,29,1988,3.0,0,0,0,6,5,0,11,2,3,0,0,0,26,4,11,26.7,Matches
66,Sergio Álvarez\8875b8c9,es ESP,GK,Celta Vigo,es La Liga,30,1986,16.4,0,0,0,0,4,0,0,0,0,0,0,0,67,0,0,,Matches
67,Yeray Álvarez\3ecc11d8,es ESP,DF,Athletic Club,es La Liga,22,1995,7.5,2,0,0,14,9,0,1,8,4,0,0,0,95,10,7,58.8,Matches
68,Dani Alves\c9e99e49,br BRA,DF,Paris S-G,fr Ligue 1,34,1983,22.9,7,1,0,38,35,4,73,28,52,0,0,0,231,9,8,52.9,Matches
69,Ibrahim Amadou\9260926b,fr FRA,MFDF,Lille,fr Ligue 1,24,1993,26.7,3,0,0,29,19,0,4,31,30,0,1,0,263,16,13,55.2,Matches
70,Eloi Amagat\12a875ce,es ESP,FWMF,Girona,es La Liga,32,1985,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Matches
71,Morgan Amalfitano\ab914649,fr FRA,MF,Rennes,fr Ligue 1,32,1985,8.3,2,3,1,6,14,0,15,8,1,0,0,0,57,0,3,0.0,Matches
72,Romain Amalfitano\d7bf3d19,fr FRA,MF,Dijon,fr Ligue 1,27,1989,30.0,5,0,0,40,51,0,18,68,34,0,0,0,308,6,12,33.3,Matches
73,Daniel Amartey\1a4ef233,gh GHA,DF,Leicester City,eng Premier League,22,1994,5.4,1,2,1,5,7,0,0,8,2,0,0,0,52,11,8,57.9,Matches
74,Jordi Amat\d70a2141,es ESP,DFMF,Betis,es La Liga,25,1992,22.7,7,2,1,37,9,0,0,23,16,0,1,1,238,15,24,38.5,Matches
75,Amath\f3b1d9a2,sn SEN,MFFW,Getafe,es La Liga,21,1996,31.8,9,0,0,78,65,10,23,23,43,0,0,0,226,13,26,33.3,Matches
76,Jordan Amavi\22721b88,fr FRA,DF,Marseille,fr Ligue 1,23,1994,24.4,7,0,0,32,25,1,46,49,22,0,1,0,288,19,9,67.9,Matches
77,Stephan Ambrosius\2930c9d8,de GER,DF,Hamburger SV,de Bundesliga,18,1998,0.5,0,0,0,0,0,1,0,0,1,0,0,0,4,1,2,33.3,Matches
78,Kelvin Amian\bcc81786,fr FRA,DF,Toulouse,fr Ligue 1,19,1998,35.0,3,1,0,28,19,0,31,36,24,0,0,0,298,14,18,43.8,Matches
79,Nadiem Amiri\555d5edd,de GER,MFFW,Hoffenheim,de Bundesliga,20,1996,19.4,4,0,0,49,39,3,34,17,16,0,0,0,194,9,13,40.9,Matches
80,Ethan Ampadu\10b9fa99,wls WAL,DF,Chelsea,eng Premier League,16,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,33.3,Matches
81,Nordin Amrabat\7c2a398c,ma MAR,FW,Watford,eng Premier League,30,1987,2.2,0,0,0,6,2,2,9,0,4,0,0,0,13,1,10,9.1,Matches
82,Nordin Amrabat\7c2a398c,ma MAR,FWMF,Leganés,es La Liga,30,1987,18.0,6,1,1,49,47,25,52,5,8,0,1,0,85,7,11,38.9,Matches
83,Jon Ander Serantes\983ccabe,es ESP,GK,Leganés,es La Liga,27,1989,1.0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,Matches
84,Joachim Andersen\e34fc66d,dk DEN,DF,Sampdoria,it Serie A,21,1996,6.1,0,0,0,3,4,0,0,5,4,0,0,0,72,15,4,78.9,Matches
85,Felipe Anderson\9f1893b9,br BRA,MFFW,Lazio,it Serie A,24,1993,12.9,0,0,0,12,18,0,52,10,19,0,0,0,110,3,8,27.3,Matches
86,Florin Andone\dc008610,ro ROU,FW,La Coruña,es La Liga,24,1993,18.2,6,0,0,59,22,18,23,3,9,0,0,0,63,14,47,23.0,Matches
87,Nícolas Andrade\326d09ef,br BRA,GK,Hellas Verona,it Serie A,29,1988,36.0,2,1,0,1,9,0,0,0,0,0,1,0,194,0,0,,Matches
88,Benjamin André\ef9c1c95,fr FRA,MF,Rennes,fr Ligue 1,26,1990,33.5,11,2,1,77,52,1,21,66,50,0,0,0,448,80,87,47.9,Matches
89,Marco Andreolli\13d820de,it ITA,DF,Cagliari,it Serie A,31,1986,20.3,5,0,0,30,11,0,0,13,19,0,0,0,176,49,29,62.8,Matches
90,Yoann Andreu\872cd68c,fr FRA,DF,Angers,fr Ligue 1,28,1989,23.0,4,0,0,18,13,0,55,42,25,0,0,0,236,9,16,36.0,Matches
91,Miguel Ángel Guerrero\b35db3f6,es ESP,FW,Leganés,es La Liga,27,1990,16.0,3,0,0,34,27,14,1,5,3,0,0,0,70,22,26,45.8,Matches
92,Miguel Ángel Moyá\011d8c56,es ESP,GK,Real Sociedad,es La Liga,33,1984,8.5,0,0,0,1,0,0,0,0,0,0,1,0,43,0,0,,Matches
93,Miguel Ángel Rubio\56cafd0a,es ESP,DF,Getafe,es La Liga,19,1998,0.3,0,0,0,1,1,0,0,0,0,0,0,0,6,2,0,100.0,Matches
94,José Ángel\3024e383,es ESP,DF,Eibar,es La Liga,27,1989,27.0,4,0,0,22,18,1,117,30,31,0,0,0,358,22,15,59.5,Matches
95,Gabriele Angella\0c971997,it ITA,DF,Udinese,it Serie A,28,1989,9.9,3,0,0,18,6,0,2,13,13,0,3,0,116,32,10,76.2,Matches
96,Cristian Ansaldi\bbafc0c4,ar ARG,DFMF,Torino,it Serie A,30,1986,20.8,6,2,1,27,39,0,65,14,33,1,1,0,175,7,17,29.2,Matches
97,Luca Antei\97c9bce3,it ITA,DF,Benevento,it Serie A,25,1992,6.6,1,1,0,9,8,0,1,16,13,0,0,0,55,9,7,56.3,Matches
98,Mirco Antenucci\43a2e16c,it ITA,FW,SPAL,it Serie A,32,1984,28.6,1,0,0,41,70,33,29,13,12,1,0,0,123,21,46,31.3,Matches
99,Waldemar Anton\5e66fa06,de GER,DFMF,Hannover 96,de Bundesliga,21,1996,25.3,1,0,0,22,31,0,5,31,35,0,1,0,347,64,38,62.7,Matches
100,Luca Antonelli\40f0ed6c,it ITA,DFMF,Milan,it Serie A,30,1987,1.6,1,0,0,1,4,1,1,0,3,0,0,0,18,1,1,50.0,Matches
101,Michail Antonio\ac05f970,jm JAM,FWMF,West Ham,eng Premier League,27,1990,15.0,1,0,0,17,38,7,52,14,12,1,0,0,96,47,56,45.6,Matches
102,Mirko Antonucci\91976866,it ITA,FW,Roma,it Serie A,18,1999,0.3,0,0,0,0,1,0,3,0,1,0,0,0,2,0,0,,Matches
103,Vitorino Antunes\3e4f735d,pt POR,DF,Getafe,es La Liga,30,1987,31.1,14,0,0,58,34,1,83,44,21,0,0,0,306,13,11,54.2,Matches
104,Dennis Aogo\c311243f,de GER,MFDF,Stuttgart,de Bundesliga,30,1987,21.7,5,0,0,31,14,0,45,21,15,0,1,0,203,10,13,43.5,Matches
105,Houssem Aouar\a5db0bec,fr FRA,MFFW,Lyon,fr Ligue 1,19,1998,27.0,1,0,0,21,50,6,17,45,31,0,0,0,229,12,16,42.9,Matches
106,Alberto Aquilani\ad340e17,it ITA,MF,Las Palmas,es La Liga,33,1984,14.4,4,0,0,20,16,1,5,19,19,0,0,0,119,4,5,44.4,Matches
107,Mauro Arambarri\58afe001,uy URU,MF,Getafe,es La Liga,21,1995,23.6,9,1,1,75,49,0,6,22,34,0,0,0,290,11,21,34.4,Matches
108,Guilherme Arana\2b15a82a,br BRA,DF,Sevilla,es La Liga,20,1997,2.1,0,0,0,2,2,0,2,2,0,0,0,1,26,0,1,0.0,Matches
109,Charles Aránguiz\56413b1f,cl CHI,MF,Leverkusen,de Bundesliga,28,1989,25.6,4,0,0,45,53,1,19,37,51,0,1,0,340,23,27,46.0,Matches
110,Luiz Araújo\fa18c72e,br BRA,FWMF,Lille,fr Ligue 1,21,1996,22.4,5,0,0,31,29,6,55,6,17,0,0,0,140,1,5,16.7,Matches
111,Sergio Araujo\080ac8d8,ar ARG,FWMF,Las Palmas,es La Liga,25,1992,0.4,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,,Matches
112,Anaitz Arbilla\850c0a0d,es ESP,DF,Eibar,es La Liga,30,1987,26.8,8,0,0,30,13,0,9,51,15,0,2,1,465,26,24,52.0,Matches
