Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
1,Ismael Aaneba\a7e4760c,fr FRA,DF,Strasbourg,fr Ligue 1,20,1999,0,,,,,0,,0,0,,8,,,,,,,,,,,,Matches
2,Patrick van Aanholt\5f09991f,nl NED,DF,Crystal Palace,eng Premier League,28,1990,29,2507,86,73.3,27.9,29,86,25,0,,0,1.24,21,38,-17,-0.61,-0.41,26.6,37.2,-10.6,-0.38,+0.28,Matches
3,Max Aarons\774cf58b,eng ENG,DF,Norwich City,eng Premier League,19,2000,36,3240,90,94.7,36.0,36,90,36,0,,0,0.50,23,71,-48,-1.33,-0.83,35.9,58.2,-22.4,-0.62,+0.14,Matches
4,Diego Abbrandini\71201659,it ITA,GK,Brescia,it Serie A,17,2001,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
5,Yunis Abdelhamid\32c2d95f,ma MAR,DF,Reims,fr Ligue 1,31,1987,28,2520,90,100.0,28.0,28,90,28,0,,0,1.46,26,21,+5,+0.18,,28.4,26.3,+2.1,+0.07,,Matches
6,Suleiman Abdullahi\abf0cad0,ng NGA,FWMF,Union Berlin,de Bundesliga,22,1996,6,157,26,5.1,1.7,1,57,0,5,20,5,0.67,2,5,-3,-1.72,-1.29,3.1,3.4,-0.3,-0.15,+0.25,Matches
7,Mehdi Abeid\a4c3f7af,dz ALG,MF,Nantes,fr Ligue 1,26,1992,25,1817,73,72.1,20.2,20,85,15,5,22,1,1.44,20,25,-5,-0.25,-0.50,19.4,26.8,-7.4,-0.37,-0.57,Matches
8,Charles Abi\469d3d84,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2000,15,623,42,24.7,6.9,6,73,2,9,20,1,0.93,7,14,-7,-1.01,-0.58,7.7,9.2,-1.6,-0.23,+0.01,Matches
9,David Abraham\565bf0da,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,20,1688,84,55.2,18.8,19,86,15,1,61,5,1.85,32,27,+5,+0.27,+0.66,25.6,23.1,+2.5,+0.13,+0.08,Matches
10,Tammy Abraham\f586779e,eng ENG,FW,Chelsea,eng Premier League,21,1997,34,2215,65,64.8,24.6,25,81,9,9,20,0,1.82,45,34,+11,+0.45,+0.15,44.0,26.9,+17.1,+0.69,-0.17,Matches
11,Amir Abrashi\1c08a3c8,al ALB,MF,Freiburg,de Bundesliga,29,1990,13,663,51,21.7,7.4,8,74,3,5,14,14,1.62,9,9,0,0.00,-0.04,8.9,12.4,-3.5,-0.47,+0.12,Matches
12,Francesco Acerbi\b96b595c,it ITA,DF,Lazio,it Serie A,31,1988,36,3162,88,92.5,35.1,36,88,32,0,,1,2.00,74,38,+36,+1.02,+0.68,62.7,45.1,+17.6,+0.50,+0.04,Matches
13,Che Adams\f2bf1b0f,sct SCO,FW,Southampton,eng Premier League,23,1996,30,1111,37,32.5,12.3,12,73,0,18,13,6,1.47,17,17,0,0.00,+0.35,17.8,16.5,+1.3,+0.11,+0.13,Matches
14,Tyler Adams\2b09d998,us USA,MFDF,RB Leipzig,de Bundesliga,20,1999,14,953,68,31.1,10.6,10,82,4,4,33,1,1.71,14,13,+1,+0.09,-1.74,18.5,11.8,+6.7,+0.63,-0.57,Matches
15,Sargis Adamyan\22919e97,am ARM,FWMF,Hoffenheim,de Bundesliga,26,1993,15,746,50,24.4,8.3,6,80,2,9,30,3,1.93,16,10,+6,+0.72,+0.96,13.2,15.5,-2.4,-0.28,-0.30,Matches
16,Antonio Adán\65d62814,es ESP,GK,Atlético Madrid,es La Liga,32,1987,1,25,25,0.7,0.3,0,,0,1,25,37,0.00,0,0,0,0.00,-0.64,0.5,0.1,+0.4,+1.48,+0.91,Matches
17,Bobby Adekanye\3ed84b2c,nl NED,FW,Lazio,it Serie A,20,1999,11,188,17,5.5,2.1,0,,0,11,17,21,1.45,3,5,-2,-0.96,-2.04,6.1,4.3,+1.8,+0.86,+0.38,Matches
18,Claud Adjapong\ce5b170a,it ITA,DF,Hellas Verona,it Serie A,21,1998,5,231,46,6.8,2.6,2,90,2,3,17,26,0.60,5,7,-2,-0.78,-0.72,3.7,4.2,-0.5,-0.20,-0.12,Matches
19,Amine Adli\dcfb17f4,fr FRA,MFFW,Toulouse,fr Ligue 1,19,2000,4,46,12,1.8,0.5,0,,0,4,11,3,0.00,0,0,0,0.00,+1.31,0.3,0.8,-0.5,-0.92,-0.42,Matches
20,Yacine Adli\26777636,fr FRA,MFFW,Bordeaux,fr Ligue 1,19,2000,21,1020,49,40.5,11.3,11,76,3,10,19,1,1.33,17,11,+6,+0.53,+0.53,11.1,11.5,-0.4,-0.04,+0.14,Matches
21,Andrea Adorante\7005ac66,it ITA,FW,Parma,it Serie A,19,2000,0,,,,,0,,0,0,,9,,,,,,,,,,,,Matches
22,Amir Adouyev\e621fe01,ru RUS,MF,Montpellier,fr Ligue 1,20,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
23,Adrián\f76e6b4e,es ESP,GK,Liverpool,eng Premier League,32,1987,11,875,80,25.6,9.7,9,90,9,2,33,27,3.00,24,10,+14,+1.44,+0.10,18.7,9.6,+9.2,+0.94,+0.16,Matches
24,Daniel Adshead\8f817fc7,eng ENG,MF,Norwich City,eng Premier League,17,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
25,Aritz Aduriz\293211e1,es ESP,FW,Athletic Club,es La Liga,38,1981,14,208,15,6.1,2.3,0,,0,14,15,3,1.29,2,1,+1,+0.43,+0.38,2.8,2.3,+0.5,+0.21,+0.44,Matches
26,Lumor Agbenyenu\073b1b37,gh GHA,DF,Mallorca,es La Liga,22,1996,23,1805,78,52.8,20.1,20,83,14,3,49,3,1.04,24,33,-9,-0.45,+0.44,22.8,27.5,-4.7,-0.23,+0.70,Matches
27,Martin Agirregabiria\355c883a,es ESP,DF,Alavés,es La Liga,23,1996,31,2099,68,61.4,23.3,23,84,16,8,22,5,1.00,20,38,-18,-0.77,-0.29,21.8,37.0,-15.2,-0.65,-0.58,Matches
28,Lucien Agoume\8bc8829a,fr FRA,MF,Inter,it Serie A,17,2002,3,68,23,2.0,0.8,0,,0,3,23,21,1.67,3,3,0,0.00,-1.21,3.7,2.0,+1.7,+2.28,+1.47,Matches
29,Kevin Agudelo\46fa7204,co COL,MFFW,Fiorentina,it Serie A,20,1998,3,64,21,1.9,0.7,1,54,0,2,5,13,2.00,1,3,-2,-2.81,-2.95,1.2,1.0,+0.2,+0.31,+0.16,Matches
30,Kevin Agudelo\46fa7204,co COL,MFFW,Genoa,it Serie A,20,1998,10,666,67,19.5,7.4,7,86,4,3,22,5,0.60,8,11,-3,-0.41,+0.35,8.4,11.1,-2.6,-0.36,-0.06,Matches
31,Nayef Aguerd\288e1e13,ma MAR,DF,Dijon,fr Ligue 1,23,1996,11,957,87,38.0,10.6,11,87,10,0,,3,1.27,9,13,-4,-0.38,-0.03,11.5,16.4,-4.9,-0.46,+0.08,Matches
32,Sergio Agüero\4d034881,ar ARG,FW,Manchester City,eng Premier League,31,1988,24,1452,61,42.5,16.1,18,75,8,6,16,2,2.08,43,18,+25,+1.55,-0.37,39.6,15.9,+23.8,+1.47,-0.10,Matches
33,Ruben Aguilar\3dd738a1,fr FRA,DF,Monaco,fr Ligue 1,26,1993,19,1072,56,42.5,11.9,11,83,9,8,20,5,1.32,20,16,+4,+0.34,+0.58,20.8,17.3,+3.5,+0.30,+0.02,Matches
34,Emmanuel Agyemang-Badu\fe0b8f0e,gh GHA,MFFW,Hellas Verona,it Serie A,28,1990,10,230,23,6.7,2.6,2,78,1,8,9,9,1.90,3,6,-3,-1.17,-1.15,2.0,4.2,-2.2,-0.88,-0.85,Matches
35,Jean-Eudes Aholou\48b28bfd,ci CIV,MF,Saint-Étienne,fr Ligue 1,25,1994,11,630,57,25.0,7.0,8,61,2,3,47,3,1.00,8,10,-2,-0.29,+0.38,9.8,11.0,-1.2,-0.17,+0.09,Matches
36,Joseph Aidoo\18abe173,gh GHA,DF,Celta Vigo,es La Liga,23,1995,32,2502,78,73.2,27.8,27,89,25,5,20,5,0.97,24,34,-10,-0.36,-0.16,28.7,29.8,-1.1,-0.04,+0.26,Matches
37,Ola Aina\246d153b,ng NGA,DF,Torino,it Serie A,22,1996,32,2079,65,60.8,23.1,20,84,12,12,33,5,1.13,35,40,-5,-0.22,+0.92,28.4,36.1,-7.6,-0.33,+0.53,Matches
38,Youssef Aït Bennasser\c46fa34c,ma MAR,MF,Bordeaux,fr Ligue 1,23,1996,12,536,45,21.3,6.0,6,79,2,6,10,5,1.17,7,6,+1,+0.17,-0.06,6.4,7.0,-0.6,-0.11,+0.03,Matches
39,Rayan Aït Nouri\9b398aea,fr FRA,DF,Angers,fr Ligue 1,18,2001,17,1282,75,50.9,14.2,16,79,10,1,19,0,1.53,18,17,+1,+0.07,+0.51,14.6,13.9,+0.7,+0.05,+0.22,Matches
40,Albian Ajeti\2b1c4abd,ch SUI,MFFW,West Ham,eng Premier League,22,1997,9,139,15,4.1,1.5,0,,0,9,15,19,0.22,2,3,-1,-0.65,-0.32,2.8,1.5,+1.4,+0.88,+1.32,Matches
