Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
1,Rayhaan Tulloch\bddd8ba3,eng ENG,MF,West Brom,eng Premier League,16,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
2,Ismael Aaneba\a7e4760c,fr FRA,DF,Strasbourg,fr Ligue 1,18,1999,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
3,Patrick van Aanholt\5f09991f,nl NED,DF,Crystal Palace,eng Premier League,26,1990,28,2184,78,63.9,24.3,25,,21,3,,8,1.21,31,38,-7,-0.29,-0.07,32.4,35.2,-2.7,-0.11,-0.71,Matches
4,Rolando Aarons\c5942695,eng ENG,FWMF,Newcastle Utd,eng Premier League,21,1995,4,139,35,4.1,1.5,1,,0,3,,7,0.25,1,2,-1,-0.65,-0.46,0.5,2.6,-2.2,-1.39,-1.23,Matches
5,Rolando Aarons\c5942695,eng ENG,MFFW,Hellas Verona,it Serie A,21,1995,11,517,47,15.1,5.7,6,,1,5,,4,0.55,2,12,-10,-1.74,-0.56,2.8,11.7,-8.9,-1.54,-0.53,Matches
6,Ignazio Abate\1c529186,it ITA,DF,Milan,it Serie A,30,1986,17,1057,62,30.9,11.7,11,,7,6,,15,1.71,17,10,+7,+0.60,+0.33,14.2,11.3,+2.9,+0.24,-0.21,Matches
7,Aymen Abdennour\2f798b41,tn TUN,DF,Marseille,fr Ligue 1,27,1989,8,500,63,14.6,5.6,6,,4,2,,18,2.38,10,4,+6,+1.08,+0.25,11.1,4.2,+6.9,+1.24,+0.54,Matches
8,Nura Abdullahi\d24769d8,ng NGA,DF,Roma,it Serie A,19,1997,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
9,Aly Abeid\bbe88396,mr MTN,DF,Levante,es La Liga,19,1997,1,77,77,2.3,0.9,1,77,0,0,,1,0.00,0,3,-3,-3.51,-3.21,0.6,1.3,-0.7,-0.78,-0.31,Matches
10,Mehdi Abeid\a4c3f7af,dz ALG,MF,Dijon,fr Ligue 1,24,1992,19,1176,62,34.4,13.1,14,,9,5,,1,1.58,18,25,-7,-0.54,-0.09,14.2,22.4,-8.2,-0.63,+0.10,Matches
11,David Abraham\565bf0da,ar ARG,DF,Eint Frankfurt,de Bundesliga,31,1986,27,2302,85,75.2,25.6,27,,25,0,,1,1.41,30,31,-1,-0.04,-0.16,31.7,29.4,+2.4,+0.09,+0.22,Matches
12,Tammy Abraham\f586779e,eng ENG,FW,Swansea City,eng Premier League,19,1997,31,1726,56,50.5,19.2,15,,9,16,,2,0.81,15,31,-16,-0.83,-0.20,15.8,31.9,-16.0,-0.84,-0.14,Matches
13,Amir Abrashi\1c08a3c8,al ALB,MF,Freiburg,de Bundesliga,27,1990,12,850,71,27.8,9.4,11,,8,1,,3,1.00,8,11,-3,-0.32,+0.54,7.4,11.0,-3.6,-0.38,-0.15,Matches
14,Francesco Acerbi\b96b595c,it ITA,DF,Sassuolo,it Serie A,29,1988,38,3420,90,100.0,38.0,38,,38,0,,0,1.13,29,59,-30,-0.79,,49.4,49.3,+0.1,0.00,,Matches
15,Karim Achahbar\24cedcb1,ma MAR,FW,Guingamp,fr Ligue 1,21,1996,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
16,Afriyie Acquah\d7403bd5,gh GHA,MF,Torino,it Serie A,25,1992,22,951,43,27.8,10.6,9,,3,13,,11,1.64,13,17,-4,-0.38,-0.82,9.8,17.4,-7.6,-0.73,-0.81,Matches
17,Charlie Adam\aff418dc,sct SCO,MF,Stoke City,eng Premier League,31,1985,11,411,37,12.0,4.6,5,,1,6,,21,0.91,2,7,-5,-1.09,-0.26,5.1,8.0,-3.0,-0.65,+0.05,Matches
18,Antonio Adán\65d62814,es ESP,GK,Betis,es La Liga,30,1987,30,2700,90,78.9,30.0,30,90,30,0,,0,1.53,50,53,-3,-0.10,-0.35,31.2,42.0,-10.8,-0.36,-0.52,Matches
19,Tosin Adarabioyo\c81d773d,eng ENG,DF,Manchester City,eng Premier League,19,1997,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
20,Aday\5890cef1,es ESP,MFDF,Girona,es La Liga,29,1987,31,1835,59,53.7,20.4,20,82,13,11,18,4,1.16,29,32,-3,-0.15,+0.19,29.1,25.3,+3.8,+0.19,+0.29,Matches
21,Khaled Adénon\16714a62,bj BEN,DF,Amiens,fr Ligue 1,32,1985,34,2921,86,85.4,32.5,32,,32,2,,2,1.26,32,37,-5,-0.15,-0.15,29.0,50.2,-21.2,-0.65,-0.85,Matches
22,Raphaël Adiceam\506662d6,fr FRA,GK,Amiens,fr Ligue 1,27,1990,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
23,Claud Adjapong\ce5b170a,it ITA,DFMF,Sassuolo,it Serie A,19,1998,16,1220,76,35.7,13.6,14,,12,2,,8,1.31,13,22,-9,-0.66,+0.20,17.2,16.8,+0.4,+0.03,+0.04,Matches
24,René Adler\f71890f5,de GER,GK,Mainz 05,de Bundesliga,32,1985,14,1260,90,41.2,14.0,14,,14,0,,2,1.29,16,18,-2,-0.14,+0.46,15.5,21.1,-5.6,-0.40,+0.13,Matches
25,Ali Adnan Kadhim\06050480,iq IRQ,DFMF,Udinese,it Serie A,23,1993,23,1674,73,48.9,18.6,18,,14,5,,7,1.17,28,29,-1,-0.05,+0.67,21.2,24.3,-3.1,-0.17,+0.04,Matches
26,Adrián\f76e6b4e,es ESP,GK,West Ham,eng Premier League,30,1987,19,1710,90,50.0,19.0,19,,19,0,,19,1.42,30,29,+1,+0.05,+1.16,21.4,30.3,-8.9,-0.47,+0.08,Matches
27,Aritz Aduriz\293211e1,es ESP,FW,Athletic Club,es La Liga,36,1981,33,2152,65,62.9,23.9,21,86,15,12,30,2,1.12,26,24,+2,+0.08,+0.79,27.8,27.9,-0.1,0.00,+0.12,Matches
28,Ibrahim Afellay\9a8c6673,nl NED,MF,Stoke City,eng Premier League,31,1986,6,166,28,4.9,1.8,1,,0,5,,10,1.00,1,9,-8,-4.34,-3.65,0.9,4.8,-3.9,-2.14,-1.52,Matches
29,Benik Afobe\b63f4077,cd COD,FWMF,Bournemouth,eng Premier League,24,1993,17,611,36,17.9,6.8,5,,1,12,,4,1.06,5,12,-7,-1.03,-0.74,6.4,13.7,-7.3,-1.22,-0.93,Matches
30,Martin Agirregabiria\355c883a,es ESP,DF,Alavés,es La Liga,21,1996,21,1828,87,53.5,20.3,20,89,19,1,45,4,1.81,28,19,+9,+0.44,+1.52,23.0,22.4,+0.6,+0.03,+0.88,Matches
31,Imanol Agirretxe\c84c1afc,es ESP,FW,Real Sociedad,es La Liga,30,1987,11,232,21,6.8,2.6,2,68,1,9,11,5,1.45,5,2,+3,+1.16,+1.05,4.9,1.8,+3.2,+1.22,+1.09,Matches
32,Juan Agüero\6ee8c05f,es ESP,MF,Atlético Madrid,es La Liga,18,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
33,Sergio Agüero\4d034881,ar ARG,FW,Manchester City,eng Premier League,29,1988,25,1963,79,57.4,21.8,22,,13,3,,4,2.52,63,12,+51,+2.34,+0.61,50.0,13.1,+36.9,+1.69,+0.05,Matches
34,Ruben Aguilar\3dd738a1,fr FRA,DFMF,Montpellier,fr Ligue 1,24,1993,31,2459,79,71.9,27.3,27,,25,4,,3,1.45,30,20,+10,+0.37,+1.02,32.1,27.3,+4.8,+0.17,+0.56,Matches
35,Matías Aguirregaray\8617e3d9,uy URU,DF,Las Palmas,es La Liga,28,1989,15,1153,77,33.7,12.8,14,81,10,1,17,2,0.53,7,17,-10,-0.78,+0.81,11.0,21.1,-10.0,-0.78,-0.10,Matches
36,Matteo Ahlinvi\5ea9ebd4,bj BEN,MF,Guingamp,fr Ligue 1,18,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
37,Jean-Eudes Aholou\48b28bfd,ci CIV,MF,Strasbourg,fr Ligue 1,23,1994,35,3006,86,87.9,33.4,35,,30,0,,0,1.09,41,58,-17,-0.51,+0.80,40.4,50.1,-9.7,-0.29,-0.15,Matches
38,Ailton\74ced675,br BRA,DFFW,Stuttgart,de Bundesliga,22,1995,5,108,22,3.5,1.2,1,,0,4,,7,0.80,1,2,-1,-0.83,-0.86,1.1,1.1,0.0,+0.01,+0.19,Matches
39,Youssef Aït Bennasser\c46fa34c,ma MAR,MF,Caen,fr Ligue 1,21,1996,27,2048,76,59.9,22.8,25,,16,2,,0,1.22,17,28,-11,-0.48,+0.43,22.6,28.3,-5.7,-0.25,-0.19,Matches
40,Rayan Aït Nouri\9b398aea,fr FRA,DF,Angers,fr Ligue 1,16,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
41,Arlind Ajeti\f9714604,al ALB,DFMF,Crotone,it Serie A,23,1993,21,1271,61,37.2,14.1,15,,11,6,,15,0.95,12,28,-16,-1.13,-0.71,14.0,27.0,-13.0,-0.92,-0.51,Matches
42,Manuel Akanji\89ac64a6,ch SUI,DF,Dortmund,de Bundesliga,22,1995,11,904,82,29.5,10.0,10,,10,1,,4,1.82,15,15,0,0.00,-0.71,17.2,13.9,+3.3,+0.33,-0.33,Matches
43,Nathan Aké\eaeca114,nl NED,DF,Bournemouth,eng Premier League,22,1995,38,3353,88,98.0,37.3,37,,36,1,,0,1.16,44,59,-15,-0.40,+0.94,44.0,59.1,-15.1,-0.41,+1.61,Matches
44,Ager Aketxe\c5eaff5c,es ESP,MF,Athletic Club,es La Liga,23,1993,3,37,12,1.1,0.4,0,,0,3,12,6,1.67,1,0,+1,+2.43,+2.67,1.2,0.6,+0.7,+1.65,+1.72,Matches
45,Chadrac Akolo\debc2f28,cd COD,FWMF,Stuttgart,de Bundesliga,22,1995,22,1102,50,36.0,12.2,13,,1,9,,7,1.45,14,17,-3,-0.25,-0.38,16.4,17.7,-1.3,-0.11,+0.12,Matches
46,Kevin Akpoguma\6ec6fde0,ng NGA,DF,Hoffenheim,de Bundesliga,22,1995,22,1690,77,55.2,18.8,17,,16,5,,3,1.64,42,27,+15,+0.80,+0.60,33.2,24.5,+8.7,+0.46,+0.76,Matches
47,David Alaba\05439de2,at AUT,DF,Bayern Munich,de Bundesliga,25,1992,23,1551,67,50.7,17.2,17,,14,6,,0,2.70,51,10,+41,+2.38,+1.01,41.6,15.4,+26.2,+1.52,+0.45,Matches
48,Lucas Alario\834d0be5,ar ARG,FW,Leverkusen,de Bundesliga,24,1992,23,1550,67,50.7,17.2,17,,12,6,,3,1.70,27,21,+6,+0.35,-0.13,32.5,18.7,+13.8,+0.80,+0.30,Matches
