Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Julen Agirrezabala\a2c1a8d3,es ESP,GK,Athletic Club,es La Liga,20-337,2000,2.0,1,0,0,0,0,0.6,0.11,-0.4,-0.22,4,16,25.0,30,8,36.7,38.9,16,31.3,31.9,21,1,4.8,4,2.00,17.0,Matches
2,Alisson\7a2e46a8,br BRA,GK,Liverpool,eng Premier League,29-057,1992,12.0,11,0,0,2,1,10.9,0.29,+0.9,+0.07,62,108,57.4,402,65,19.9,29.0,62,45.2,39.3,97,9,9.3,17,1.42,16.7,Matches
3,Kepa Arrizabalaga\28d596a0,es ESP,GK,Chelsea,eng Premier League,27-056,1994,1.0,0,0,0,0,0,0.3,0.17,+0.3,+0.34,6,8,75.0,26,6,30.8,30.0,4,0.0,9.3,8,1,12.5,1,1.00,18.8,Matches
4,Sergio Asenjo\9f0ea33f,es ESP,GK,Villarreal,es La Liga,32-153,1989,2.0,4,0,0,0,0,2.8,0.40,-1.2,-0.61,5,11,45.5,39,7,17.9,28.3,14,28.6,32.5,24,1,4.2,2,1.00,17.1,Matches
5,Emil Audero\649b01d8,it ITA,GK,Sampdoria,it Serie A,24-314,1997,14.0,26,1,1,3,1,21.7,0.30,-3.3,-0.24,122,262,46.6,355,53,51.8,41.4,111,70.3,50.8,113,9,8.0,6,0.43,14.2,Matches
6,Daniel Bachmann\1c0eea98,at AUT,GK,Watford,eng Premier League,27-142,1994,4.0,7,1,1,1,1,5.8,0.28,-0.2,-0.05,19,45,42.2,95,27,34.7,35.4,35,34.3,36.2,38,2,5.3,1,0.25,12.2,Matches
7,Édgar Badía\e4346678,es ESP,GK,Elche,es La Liga,29-289,1992,2.0,5,2,0,1,0,4.9,0.37,-0.1,-0.05,8,16,50.0,43,5,25.6,30.6,12,41.7,40.3,14,1,7.1,1,0.50,15.9,Matches
8,Stefan Bajic\be13e5a8,fr FRA,GK,Saint-Étienne,fr Ligue 1,19-340,2001,3.2,10,1,1,0,0,9.6,0.46,-0.4,-0.14,15,48,31.3,65,14,44.6,37.6,25,76.0,54.2,27,1,3.7,5,1.58,16.3,Matches
9,Oliver Baumann\47064058,de GER,GK,Hoffenheim,de Bundesliga,31-179,1990,12.0,17,0,0,2,0,16.4,0.35,-0.6,-0.05,63,179,35.2,462,64,32.5,33.0,90,32.2,31.8,91,5,5.5,17,1.42,15.7,Matches
10,Asmir Begović\7b4de647,ba BIH,GK,Everton,eng Premier League,34-161,1987,1.0,3,0,0,0,1,0.9,0.31,-1.1,-1.08,5,16,31.3,11,2,72.7,50.5,12,66.7,49.6,5,1,20.0,0,0.00,15.0,Matches
11,Vid Belec\4f8ce0e1,si SVN,GK,Salernitana,it Serie A,31-175,1990,14.0,29,1,0,4,2,21.3,0.29,-5.7,-0.41,86,208,41.3,240,51,50.8,42.9,118,72.9,53.1,129,9,7.0,6,0.43,13.4,Matches
12,Walter Benítez\8a2248b4,ar ARG,GK,Nice,fr Ligue 1,28-254,1993,15.0,12,2,0,0,0,14.4,0.28,+2.4,+0.16,57,145,39.3,274,53,35.0,33.4,86,57.0,44.6,97,5,5.2,12,0.80,15.7,Matches
13,Paul Bernardoni\28dabd43,fr FRA,GK,Angers,fr Ligue 1,24-224,1997,12.0,15,3,1,5,0,12.0,0.25,-3.0,-0.25,49,114,43.0,226,77,32.3,35.2,94,43.6,39.7,126,16,12.7,7,0.58,14.4,Matches
14,Dimitry Bertaud\380a15e2,fr FRA,GK,Montpellier,fr Ligue 1,23-175,1998,5.0,9,0,1,1,1,7.7,0.30,-0.3,-0.06,44,91,48.4,121,27,52.1,40.0,48,58.3,45.5,46,7,15.2,0,0.00,11.3,Matches
15,Marco Bizot\3d214e5f,nl NED,GK,Brest,fr Ligue 1,30-263,1991,14.0,21,1,0,2,2,14.4,0.25,-4.6,-0.33,112,232,48.3,334,78,45.8,40.3,108,73.1,54.5,102,9,8.8,5,0.36,13.7,Matches
16,Yassine Bounou\f6798fc3,ma MAR,GK,Sevilla,es La Liga,30-237,1991,11.0,6,1,0,1,0,5.7,0.16,-0.3,-0.03,51,130,39.2,287,41,33.4,34.9,68,50.0,44.3,83,7,8.4,10,0.91,14.1,Matches
17,Claudio Bravo\10072610,cl CHI,GK,Betis,es La Liga,38-229,1983,7.0,11,0,0,1,2,11.1,0.40,+2.1,+0.30,50,125,40.0,181,22,54.7,45.4,42,61.9,50.3,77,2,2.6,2,0.29,12.4,Matches
18,Fabian Bredlow\d28339cb,de GER,GK,Stuttgart,de Bundesliga,26-271,1995,4.0,7,0,0,3,0,6.8,0.28,-0.2,-0.05,12,24,50.0,90,22,23.3,28.7,37,8.1,19.9,38,1,2.6,4,1.00,16.0,Matches
19,Sascha Burchert\25bdea4b,de GER,GK,Greuther Fürth,de Bundesliga,32-029,1989,6.0,16,1,0,3,2,11.8,0.34,-2.2,-0.37,51,127,40.2,169,23,55.6,45.3,43,76.7,56.3,52,2,3.8,7,1.17,16.8,Matches
20,Marc-Aurèle Caillard\5ee6e943,fr FRA,GK,Metz,fr Ligue 1,27-200,1994,0.0,1,0,0,0,0,1.0,0.96,0.0,-1.11,1,1,100.0,1,0,100.0,62.0,0,,,1,0,0.0,0,0.00,,Matches
21,Cárdenas\e1846dde,es ESP,GK,Levante,es La Liga,24-245,1997,5.0,6,1,0,0,0,3.6,0.27,-2.4,-0.48,31,79,39.2,116,16,53.4,42.4,35,48.6,38.5,49,3,6.1,5,1.00,15.0,Matches
22,Kiko Casilla\58bc7d18,es ESP,GK,Elche,es La Liga,35-057,1986,12.0,15,0,0,1,0,14.0,0.26,-1.0,-0.08,79,218,36.2,288,62,52.1,41.7,119,57.1,44.2,121,7,5.8,10,0.83,15.5,Matches
23,Koen Casteels\db401046,be BEL,GK,Wolfsburg,de Bundesliga,29-156,1992,12.0,14,2,0,1,0,14.4,0.34,+0.4,+0.03,85,170,50.0,404,47,32.2,33.3,81,49.4,42.4,94,6,6.4,11,0.92,14.8,Matches
24,Leonardo César Jardim\f5dfc256,br BRA,GK,Lille,fr Ligue 1,26-253,1995,2.0,7,1,0,2,0,4.1,0.35,-2.9,-1.46,6,13,46.2,42,14,28.6,30.7,10,10.0,30.0,10,0,0.0,3,1.50,17.9,Matches
25,Jasper Cillessen\04ac8285,nl NED,GK,Valencia,es La Liga,32-220,1989,9.0,14,2,0,3,1,13.5,0.36,+0.5,+0.06,72,165,43.6,199,39,57.8,45.7,60,83.3,62.4,63,3,4.8,3,0.33,15.0,Matches
26,Andrea Consigli\8cabdc1e,it ITA,GK,Sassuolo,it Serie A,34-305,1987,13.0,20,4,0,2,1,14.7,0.27,-4.3,-0.33,99,191,51.8,478,60,34.3,33.2,84,32.1,28.9,120,11,9.2,5,0.38,12.1,Matches
27,Benoît Costil\2434f24a,fr FRA,GK,Bordeaux,fr Ligue 1,34-148,1987,14.0,30,3,0,4,0,25.7,0.30,-4.3,-0.31,103,252,40.9,377,49,47.2,39.8,96,77.1,55.8,105,9,8.6,14,1.00,16.3,Matches
28,Thibaut Courtois\1840e36d,be BEL,GK,Real Madrid,es La Liga,29-201,1992,13.0,14,1,0,0,0,13.0,0.26,-1.0,-0.08,35,104,33.7,348,67,21.8,30.6,68,41.2,38.9,110,13,11.8,8,0.62,14.3,Matches
29,Alessio Cragno\f554e29b,it ITA,GK,Cagliari,it Serie A,27-153,1994,13.0,25,3,2,5,0,22.9,0.35,-2.1,-0.16,112,256,43.8,322,44,53.1,41.5,123,69.1,50.5,140,9,6.4,10,0.77,15.7,Matches
30,Karl Darlow\cde3309f,eng ENG,GK,Newcastle Utd,eng Premier League,31-051,1990,8.0,15,2,0,1,1,10.6,0.24,-3.4,-0.42,75,172,43.6,189,29,64.6,49.8,64,78.1,59.8,69,8,11.6,4,0.50,14.9,Matches
31,Arthur Desmas\e8c5dd4d,fr FRA,GK,Clermont Foot,fr Ligue 1,27-235,1994,13.0,26,2,0,4,1,18.1,0.32,-6.9,-0.53,38,137,27.7,267,49,33.3,34.6,101,47.5,38.1,85,3,3.5,5,0.38,12.4,Matches
32,Stole Dimitrievski\fc70e345,mk MKD,GK,Rayo Vallecano,es La Liga,27-338,1993,14.8,16,5,0,1,1,19.7,0.28,+4.7,+0.32,99,294,33.7,345,69,59.1,47.4,114,78.9,58.6,116,12,10.3,4,0.27,11.4,Matches
33,Matías Dituro\b6160ad0,ar ARG,GK,Celta Vigo,es La Liga,34-204,1987,15.0,19,1,0,1,0,24.1,0.34,+5.1,+0.34,132,290,45.5,435,57,51.0,42.9,101,67.3,52.5,96,13,13.5,17,1.13,17.4,Matches
34,Ouparine Djoco\62124972,sn SEN,GK,Clermont Foot,fr Ligue 1,23-220,1998,1.0,2,0,0,1,0,1.0,0.25,-1.0,-0.99,4,12,33.3,28,7,35.7,35.6,2,100.0,54.5,5,0,0.0,0,0.00,12.0,Matches
35,Marko Dmitrović\ac295d9e,rs SRB,GK,Sevilla,es La Liga,29-308,1992,2.0,3,0,0,0,0,3.8,0.42,+0.8,+0.39,3,12,25.0,45,9,17.8,26.9,10,40.0,37.4,15,1,6.7,5,2.50,20.2,Matches
36,Gianluigi Donnarumma\08f5afaa,it ITA,GK,Paris S-G,fr Ligue 1,22-276,1999,5.0,5,0,0,0,0,5.7,0.35,+0.7,+0.13,10,16,62.5,118,36,9.3,21.6,33,15.2,20.7,32,3,9.4,7,1.40,17.1,Matches
37,Bartłomiej Drągowski\085e71a7,pl POL,GKDF,Fiorentina,it Serie A,24-101,1997,4.2,6,1,0,1,0,6.2,0.29,+0.2,+0.05,34,70,48.6,195,15,29.7,33.1,27,44.4,43.1,20,3,15.0,9,2.15,17.4,Matches
38,Martin Dúbravka\3a949a25,sk SVK,GK,Newcastle Utd,eng Premier League,32-317,1989,1.0,2,0,0,0,0,2.5,0.41,+0.5,+0.46,6,19,31.6,30,9,36.7,36.9,12,66.7,50.2,10,1,10.0,0,0.00,9.8,Matches
39,Ederson\3bb7b8b4,br BRA,GK,Manchester City,eng Premier League,28-103,1993,11.0,6,1,0,0,0,4.6,0.22,-1.4,-0.12,39,70,55.7,270,57,21.9,29.1,44,25.0,33.6,56,5,8.9,14,1.27,17.5,Matches
