Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
1,Ismael Aaneba\a7e4760c,fr FRA,DF,Strasbourg,fr Ligue 1,19,1999,2.3,157,8,56,68,39,0,128,2,3,66.7,2,0,85,449,273,11,2,0,2,2,76,70,92.1,4,Matches
2,Patrick van Aanholt\5f09991f,nl NED,DF,Crystal Palace,eng Premier League,27,1990,35.5,2319,141,685,1075,696,79,1962,26,44,59.1,27,1,1432,7235,4127,205,62,19,29,18,1465,1356,92.6,70,Matches
3,Ignazio Abate\1c529186,it ITA,DF,Milan,it Serie A,31,1986,14.5,1056,74,351,587,165,9,946,5,9,55.6,8,2,700,2708,1465,56,14,2,6,3,709,687,96.9,10,Matches
4,Issah Abbas\2590ddf7,gh GHA,FW,Mainz 05,de Bundesliga,19,1998,0.1,5,0,1,2,4,0,5,1,1,100.0,1,0,6,26,4,0,0,0,1,0,2,2,100.0,0,Matches
5,Yunis Abdelhamid\32c2d95f,ma MAR,DF,Reims,fr Ligue 1,30,1987,38.0,2023,310,1347,754,46,26,1972,22,24,91.7,22,0,1227,6642,3350,41,4,0,10,5,1210,1179,97.4,11,Matches
6,Mehdi Abeid\a4c3f7af,dz ALG,MF,Dijon,fr Ligue 1,25,1992,22.5,1356,34,302,883,267,27,1327,38,61,62.3,40,2,1016,5129,2566,95,20,1,33,36,1007,897,89.1,63,Matches
7,Charles Abi\469d3d84,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,18,2000,0.4,29,1,7,11,14,3,29,2,3,66.7,2,0,20,80,52,1,1,0,1,2,23,15,65.2,1,Matches
8,David Abraham\565bf0da,ar ARG,DF,Eint Frankfurt,de Bundesliga,32,1986,15.8,828,90,374,459,57,8,806,4,5,80.0,4,0,475,3056,1660,57,15,0,3,2,452,442,97.8,10,Matches
9,Amir Abrashi\1c08a3c8,al ALB,MF,Freiburg,de Bundesliga,28,1990,8.8,463,20,105,314,67,4,455,6,7,85.7,6,0,339,1574,632,25,9,1,1,11,291,277,95.2,11,Matches
10,Francesco Acerbi\b96b595c,it ITA,DF,Lazio,it Serie A,30,1988,36.8,2162,279,1117,1108,127,27,2104,9,11,81.8,9,0,1360,9514,5046,137,36,2,7,14,1344,1307,97.2,26,Matches
11,Afriyie Acquah\d7403bd5,gh GHA,MF,Empoli,it Serie A,26,1992,16.8,921,26,151,508,360,33,911,37,48,77.1,39,1,786,5004,2913,131,53,6,26,28,807,699,86.6,61,Matches
