Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
14,Tyler Adams\2b09d998,us USA,MFDF,RB Leipzig,de Bundesliga,22-287,1999,6.0,10,6,1,8,1,4,14,28.6,10,124,35,28.2,33,80,11,13,1,0,12,12,22,7,0,Matches
15,Sargis Adamyan\22919e97,am ARM,FWMF,Hoffenheim,de Bundesliga,28-189,1993,3.4,14,9,8,5,1,7,15,46.7,8,65,21,32.3,15,35,15,2,0,0,2,4,18,2,0,Matches
16,Amine Adli\dcfb17f4,fr FRA,FWMF,Leverkusen,de Bundesliga,21-202,2000,5.4,13,9,3,6,4,7,11,63.6,4,91,36,39.6,17,35,39,11,2,0,9,8,21,4,0,Matches
17,Yacine Adli\26777636,fr FRA,MFFW,Bordeaux,fr Ligue 1,21-122,2000,10.3,14,11,8,6,0,3,25,12.0,22,210,56,26.7,46,111,53,11,2,0,9,19,33,7,0,Matches
18,Felix Afena-Gyan\0154d290,gh GHA,FWMF,Roma,it Serie A,18-313,2003,1.1,0,0,0,0,0,0,0,,0,30,9,30.0,2,12,16,0,0,0,0,1,1,0,0,Matches
19,Martin Agirregabiria\355c883a,es ESP,DF,Alavés,es La Liga,25-202,1996,7.9,17,9,9,4,4,8,21,38.1,13,103,23,22.3,48,41,14,17,2,0,15,10,27,26,0,Matches
20,Julen Agirrezabala\a2c1a8d3,es ESP,GK,Athletic Club,es La Liga,20-337,2000,2.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,Matches
21,Lucien Agoume\8bc8829a,fr FRA,MF,Brest,fr Ligue 1,19-292,2002,6.0,14,9,8,4,2,5,7,71.4,2,89,23,25.8,36,39,14,9,4,0,5,13,27,11,0,Matches
22,Kevin Agudelo\46fa7204,co COL,FW,Spezia,it Serie A,23-014,1998,0.3,4,4,2,2,0,3,3,100.0,0,11,3,27.3,2,8,1,1,0,0,1,0,4,0,0,Matches
23,Nayef Aguerd\288e1e13,ma MAR,DF,Rennes,fr Ligue 1,25-243,1996,14.0,9,4,7,2,0,2,8,25.0,6,80,28,35.0,46,31,3,13,8,0,5,22,31,78,1,Matches
24,Sergio Agüero\4d034881,ar ARG,FW,Barcelona,es La Liga,33-179,1988,1.7,1,1,0,0,1,0,1,0.0,1,18,3,16.7,0,8,10,0,0,0,0,0,1,0,0,Matches
25,Ruben Aguilar\3dd738a1,fr FRA,DF,Monaco,fr Ligue 1,28-216,1993,10.0,46,25,19,20,7,26,38,68.4,12,175,64,36.6,83,71,21,14,1,0,13,27,73,33,0,Matches
26,Jean-Eudes Aholou\48b28bfd,ci CIV,MF,Strasbourg,fr Ligue 1,27-253,1994,4.4,7,4,4,3,0,4,7,57.1,3,83,13,15.7,31,47,5,4,1,0,3,11,18,10,0,Matches
27,Joseph Aidoo\18abe173,gh GHA,DF,Celta Vigo,es La Liga,26-060,1995,6.6,12,9,11,1,0,3,8,37.5,5,78,28,35.9,56,21,1,10,5,0,5,12,24,29,1,Matches
28,Ola Aina\246d153b,ng NGA,DF,Torino,it Serie A,25-051,1996,8.8,17,9,6,9,2,9,12,75.0,3,91,33,36.3,29,40,22,12,2,0,10,21,38,16,0,Matches
29,Rayan Aït Nouri\9b398aea,fr FRA,DF,Wolves,eng Premier League,20-175,2001,5.0,21,12,15,4,2,7,14,50.0,7,123,44,35.8,67,34,22,5,0,0,5,9,30,8,0,Matches
30,Kristoffer Ajer\a8c0acb7,no NOR,DF,Brentford,eng Premier League,23-225,1998,6.3,11,5,8,1,2,7,14,50.0,7,57,18,31.6,29,24,4,9,4,1,5,13,24,35,0,Matches
31,Ludovic Ajorque\462475ed,re REU,FW,Strasbourg,fr Ligue 1,27-276,1994,11.3,19,9,3,7,9,3,12,25.0,9,192,44,22.9,27,88,77,13,5,0,8,7,26,10,0,Matches
32,Manuel Akanji\89ac64a6,ch SUI,DF,Dortmund,de Bundesliga,26-132,1995,13.0,28,22,16,8,4,13,17,76.5,4,122,65,53.3,70,42,10,20,10,0,10,18,46,50,0,Matches
33,Carlos Akapo\f2a68b97,gq EQG,DF,Cádiz,es La Liga,28-261,1993,4.6,12,6,11,1,0,3,7,42.9,4,74,21,28.4,46,21,7,7,0,0,7,10,22,15,0,Matches
34,Nathan Aké\eaeca114,nl NED,DF,Manchester City,eng Premier League,26-283,1995,3.2,4,2,2,2,0,0,1,0.0,1,17,4,23.5,7,9,1,4,3,0,1,4,8,13,0,Matches
35,Ilias Akhomach\b8bd60fe,es ESP,FW,Barcelona,es La Liga,17-226,2004,0.5,1,0,0,1,0,0,0,,0,2,1,50.0,1,0,1,1,0,0,1,0,1,0,0,Matches
36,Maghnes Akliouche\b625b241,fr FRA,MF,Monaco,fr Ligue 1,19-276,2002,0.0,1,0,0,1,0,0,0,,0,2,0,0.0,0,2,0,0,0,0,0,0,1,0,0,Matches
37,Paul Akouokou\31f5b89b,ci CIV,MF,Betis,es La Liga,23-343,1997,1.9,6,4,2,3,1,1,4,25.0,3,39,13,33.3,15,19,5,2,0,0,2,2,8,4,0,Matches
38,Jean-Daniel Akpa-Akpro\fdf4b948,ci CIV,MF,Lazio,it Serie A,29-048,1992,2.6,9,3,2,7,0,4,8,50.0,4,75,18,24.0,17,38,20,3,1,0,2,1,10,3,0,Matches
39,Kevin Akpoguma\6ec6fde0,ng NGA,DF,Hoffenheim,de Bundesliga,26-223,1995,8.1,18,8,7,7,4,8,15,53.3,7,125,37,29.6,45,49,31,24,0,0,24,13,31,9,1,Matches
40,David Alaba\05439de2,at AUT,DF,Real Madrid,es La Liga,29-157,1992,11.9,14,10,9,3,2,5,9,55.6,4,100,34,34.0,52,39,9,17,7,0,10,23,37,34,2,Matches
41,Sofiane Alakouch\5314e067,ma MAR,DFMF,Metz,fr Ligue 1,23-122,1998,1.7,7,5,4,3,0,2,5,40.0,3,48,11,22.9,18,23,7,3,0,0,3,6,13,2,0,Matches
42,Tomás Alarcón\99ea2ddd,cl CHI,MF,Cádiz,es La Liga,22-313,1999,9.7,23,13,10,9,4,5,14,35.7,9,169,47,27.8,85,63,21,21,4,0,17,14,37,34,0,Matches
43,Lucas Alario\834d0be5,ar ARG,FW,Leverkusen,de Bundesliga,29-051,1992,1.6,3,3,0,3,0,1,1,100.0,0,21,7,33.3,0,8,13,1,0,0,1,0,3,1,0,Matches
44,Jordi Alba\4601e194,es ESP,DF,Barcelona,es La Liga,32-252,1989,9.8,12,7,4,7,1,4,17,23.5,13,117,41,35.0,31,58,28,24,3,0,21,20,32,15,1,Matches
45,Luis Alberto\5294a83f,es ESP,MF,Lazio,it Serie A,29-061,1992,9.9,15,9,5,6,4,5,20,25.0,15,161,48,29.8,53,77,31,9,1,0,8,7,22,1,0,Matches
46,Raúl Albiol\4bd414c1,es ESP,DF,Villarreal,es La Liga,36-085,1985,10.0,10,6,9,1,0,5,5,100.0,0,59,20,33.9,35,20,4,10,5,1,5,19,29,54,0,Matches
47,Marc Albrighton\b827d5b3,eng ENG,MFFW,Leicester City,eng Premier League,32-010,1989,3.1,10,2,5,3,2,1,6,16.7,5,93,16,17.2,29,48,16,5,1,0,4,7,17,1,0,Matches
48,Paco Alcácer\a7a9d95a,es ESP,FW,Villarreal,es La Liga,28-090,1993,3.8,2,1,0,1,1,1,1,100.0,0,49,16,32.7,1,23,25,0,0,0,0,3,5,0,0,Matches
49,Thiago Alcántara\77e84962,es ESP,MF,Liverpool,eng Premier League,30-231,1991,3.8,13,9,6,5,2,2,5,40.0,3,47,20,42.6,15,25,7,3,0,0,3,5,18,3,0,Matches
50,Omar Alderete\bb08bce9,py PAR,DF,Valencia,es La Liga,24-337,1996,12.4,20,15,13,7,0,11,21,52.4,10,89,34,38.2,56,31,2,17,8,0,9,26,46,96,0,Matches
51,Iván Alejo\3d7e48ce,es ESP,MF,Cádiz,es La Liga,26-291,1995,0.8,4,3,4,0,0,1,4,25.0,3,20,4,20.0,15,5,0,1,0,0,1,0,4,2,0,Matches
52,Carles Aleñá\6c811eb7,es ESP,MFFW,Getafe,es La Liga,23-327,1998,11.6,15,9,4,8,3,6,21,28.6,15,217,43,19.8,42,121,54,14,1,0,13,7,22,3,0,Matches
53,Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,Liverpool,eng Premier League,23-052,1998,10.7,18,13,6,9,3,11,24,45.8,13,99,38,38.4,37,32,30,13,2,0,11,29,47,21,0,Matches
54,Mohamed Ali Cho\f8405304,fr FRA,FW,Angers,fr Ligue 1,17-313,2004,11.2,8,6,1,3,4,1,5,20.0,4,252,54,21.4,12,112,128,9,0,0,9,7,15,0,0,Matches
55,Alisson\7a2e46a8,br BRA,GK,Liverpool,eng Premier League,29-057,1992,12.0,0,0,0,0,0,0,0,,0,2,1,50.0,2,0,0,0,0,0,0,0,0,1,0,Matches
56,Allan\cc700722,br BRA,MF,Everton,eng Premier League,30-324,1991,11.7,36,29,20,13,3,8,41,19.5,33,326,97,29.8,131,165,30,26,4,0,22,19,55,20,0,Matches
57,Jim Allevinah\1956b948,ga GAB,FW,Clermont Foot,fr Ligue 1,26-274,1995,8.1,12,7,4,4,4,3,12,25.0,9,99,23,23.2,31,35,33,5,2,0,3,7,19,1,0,Matches
58,Dele Alli\cea4ee8f,eng ENG,MF,Tottenham,eng Premier League,25-231,1996,5.7,17,7,11,5,1,5,14,35.7,9,148,41,27.7,62,60,26,19,5,0,14,11,28,8,0,Matches
59,Miguel Almirón\862a1c15,py PAR,MF,Newcastle Utd,eng Premier League,27-291,1994,8.0,20,12,12,4,4,4,22,18.2,18,175,45,25.7,68,71,36,10,1,1,9,10,30,4,0,Matches
60,Marcos Alonso\f4290206,es ESP,DF,Chelsea,eng Premier League,30-335,1990,5.9,13,6,7,3,3,5,10,50.0,5,72,18,25.0,31,23,18,11,1,0,10,14,27,16,0,Matches
61,Giorgio Altare\aa5322d5,it ITA,DF,Cagliari,it Serie A,23-111,1998,0.0,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,1,1,0,0,Matches
62,Hugo Álvarez\6f392eb8,es ESP,FW,Celta Vigo,es La Liga,36-160,1985,0.1,0,0,0,0,0,0,0,,0,3,1,33.3,2,1,0,1,0,0,1,0,0,1,0,Matches
63,Yeray Álvarez\3ecc11d8,es ESP,DF,Athletic Club,es La Liga,26-308,1995,5.0,12,8,6,6,0,3,5,60.0,2,31,16,51.6,15,15,1,10,7,1,3,15,27,19,0,Matches
64,Steven Alzate\ad1f61f3,co COL,MF,Brighton,eng Premier League,23-081,1998,1.0,2,2,1,0,1,1,1,100.0,0,13,3,23.1,8,3,2,2,0,0,2,1,3,2,0,Matches
65,Emmanuel Amankwaa Akurugu\69c5633e,gh GHA,DF,Getafe,es La Liga,20-008,2001,0.9,0,0,0,0,0,0,2,0.0,2,12,4,33.3,6,6,0,3,0,0,3,0,0,0,0,Matches
66,Daniel Amartey\1a4ef233,gh GHA,DF,Leicester City,eng Premier League,26-342,1994,6.7,6,3,3,3,0,4,10,40.0,6,45,15,33.3,23,20,2,11,5,0,6,8,14,25,1,Matches
67,Amath\f3b1d9a2,sn SEN,FWMF,Mallorca,es La Liga,25-135,1996,6.3,22,12,9,10,3,7,11,63.6,4,127,31,24.4,32,57,38,9,1,0,8,7,29,2,0,Matches
68,Jordan Amavi\22721b88,fr FRA,DF,Marseille,fr Ligue 1,27-264,1994,1.4,7,3,4,2,1,5,9,55.6,4,12,1,8.3,6,5,1,1,0,0,1,1,8,1,0,Matches
69,Kelvin Amian\bcc81786,fr FRA,DF,Spezia,it Serie A,23-293,1998,7.6,21,13,16,3,2,5,9,55.6,4,116,37,31.9,65,36,15,16,4,0,12,18,39,28,0,Matches
70,Nadiem Amiri\555d5edd,de GER,MFFW,Leverkusen,de Bundesliga,25-032,1996,3.9,8,5,5,2,1,3,7,42.9,4,50,20,40.0,12,27,11,5,1,0,4,4,12,2,0,Matches
71,Ethan Ampadu\10b9fa99,wls WAL,MF,Venezia,it Serie A,21-075,2000,6.1,20,11,11,6,3,2,7,28.6,5,107,24,22.4,55,43,9,11,2,0,9,13,33,12,0,Matches
72,Sofyan Amrabat\5a2cb25d,ma MAR,MF,Fiorentina,it Serie A,25-099,1996,2.3,9,6,4,3,2,3,7,42.9,4,49,10,20.4,10,34,5,9,2,0,7,3,12,1,0,Matches
73,Joachim Andersen\e34fc66d,dk DEN,DF,Crystal Palace,eng Premier League,25-181,1996,11.4,13,8,9,4,0,6,10,60.0,4,53,18,34.0,30,20,3,11,4,0,7,29,42,61,2,Matches
74,Felipe Anderson\9f1893b9,br BRA,FW,Lazio,it Serie A,28-227,1993,12.1,30,14,11,12,7,8,37,21.6,29,289,65,22.5,75,126,88,23,1,0,22,13,43,6,0,Matches
75,Sebastian Andersson\b4cf5806,se SWE,FW,Köln,de Bundesliga,30-136,1991,6.2,5,4,1,0,4,3,4,75.0,1,73,24,32.9,0,24,49,3,0,0,3,2,7,5,0,Matches
76,Florin Andone\dc008610,ro ROU,FW,Cádiz,es La Liga,28-231,1993,1.2,0,0,0,0,0,0,0,,0,21,6,28.6,1,10,10,2,0,0,2,0,0,1,0,Matches
77,Andrés Andrade Cedeño\6ea23758,pa PAN,DF,Arminia,de Bundesliga,23-043,1998,2.4,1,2,1,0,0,0,3,0.0,3,23,6,26.1,13,8,2,1,1,0,0,4,5,6,0,Matches
78,Benjamin André\ef9c1c95,fr FRA,MF,Lille,fr Ligue 1,31-117,1990,13.6,53,33,15,33,5,11,37,29.7,26,290,86,29.7,102,155,33,31,8,0,23,39,92,29,0,Matches
79,Robert Andrich\e0b113a7,de GER,MF,Leverkusen,de Bundesliga,27-067,1994,5.1,11,8,5,5,1,2,10,20.0,8,88,32,36.4,35,44,9,15,2,0,13,17,28,15,0,Matches
80,José Ángel\3024e383,es ESP,DF,Osasuna,es La Liga,32-084,1989,3.1,9,7,3,5,1,4,7,57.1,3,35,8,22.9,11,21,3,5,0,0,5,5,14,8,0,Matches
81,Angeliño\30941e96,es ESP,DF,RB Leipzig,de Bundesliga,24-328,1997,7.4,11,4,4,5,2,6,9,66.7,3,67,21,31.3,29,20,18,13,1,0,12,12,23,27,0,Matches
82,Cristian Ansaldi\bbafc0c4,ar ARG,DF,Torino,it Serie A,35-069,1986,3.8,9,4,6,3,0,5,6,83.3,1,37,12,32.4,15,10,12,2,0,0,2,3,12,5,0,Matches
83,Janis Antiste\38d9ce53,fr FRA,FWMF,Spezia,it Serie A,19-102,2002,6.0,14,10,3,7,4,4,10,40.0,6,125,36,28.8,18,41,66,6,0,0,6,3,17,2,0,Matches
84,Waldemar Anton\5e66fa06,de GER,DF,Stuttgart,de Bundesliga,25-131,1996,9.9,16,12,8,6,2,7,16,43.8,9,90,44,48.9,49,32,9,12,4,0,8,22,38,67,0,Matches
85,Josep Antoni Gayá\4a5f2032,es ESP,DF,Mallorca,es La Liga,21-144,2000,0.6,0,0,0,0,0,0,0,,0,6,0,0.0,5,1,0,1,0,0,1,3,3,1,1,Matches
86,Michail Antonio\ac05f970,jm JAM,FW,West Ham,eng Premier League,31-245,1990,10.9,14,13,2,5,7,3,4,75.0,1,141,52,36.9,10,56,75,7,0,0,7,5,19,3,0,Matches
87,Christopher Antwi-Adjei\0a3f6cde,gh GHA,FWMF,Bochum,de Bundesliga,27-294,1994,4.2,8,7,4,4,0,2,8,25.0,6,90,25,27.8,16,35,39,6,0,0,6,3,11,1,0,Matches
88,Houssem Aouar\a5db0bec,fr FRA,MFFW,Lyon,fr Ligue 1,23-151,1998,11.2,17,11,6,6,5,7,18,38.9,11,192,44,22.9,43,73,76,12,1,0,11,16,33,3,0,Matches
89,Adil Aouchiche\b94b8be1,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,19-136,2002,3.8,4,4,1,1,2,2,6,33.3,4,90,31,34.4,15,56,19,8,0,0,8,6,10,3,0,Matches
90,Dennis Appiah\feb5d3ab,fr FRA,DF,Nantes,fr Ligue 1,29-172,1992,7.7,24,12,14,8,2,13,20,65.0,7,112,30,26.8,53,45,14,9,3,0,6,14,38,27,0,Matches
91,Mauro Arambarri\58afe001,uy URU,MF,Getafe,es La Liga,26-059,1995,10.9,30,19,10,14,6,11,29,37.9,18,256,71,27.7,71,149,36,16,1,0,15,18,48,8,1,Matches
92,Mattia Aramu\0847b5a5,it ITA,FWMF,Venezia,it Serie A,26-198,1995,7.4,8,3,2,5,1,2,5,40.0,3,152,30,19.7,43,71,38,6,0,0,6,6,14,5,0,Matches
93,Charles Aránguiz\56413b1f,cl CHI,MF,Leverkusen,de Bundesliga,32-225,1989,5.7,16,13,10,4,2,5,20,25.0,15,135,52,38.5,56,66,13,16,2,0,14,13,29,6,0,Matches
94,Néstor Araujo\27a013f7,mx MEX,DF,Celta Vigo,es La Liga,30-091,1991,10.0,6,5,5,1,0,1,5,20.0,4,79,30,38.0,37,39,3,12,5,0,7,20,26,57,0,Matches
95,Ronald Araújo\2bef2bca,uy URU,DF,Barcelona,es La Liga,22-266,1999,6.4,10,6,9,1,0,6,8,75.0,2,49,15,30.6,26,22,1,12,4,1,8,16,26,35,1,Matches
96,Cameron Archer\05e8ca6d,eng ENG,MFFW,Aston Villa,eng Premier League,20-130,2001,0.3,0,0,0,0,0,0,0,,0,4,0,0.0,0,2,2,0,0,0,0,1,1,1,0,Matches
97,Jesús Areso\94e01ec6,es ESP,DF,Osasuna,es La Liga,22-149,1999,1.9,4,3,0,3,1,1,2,50.0,1,18,9,50.0,7,10,1,1,0,0,1,1,5,3,0,Matches
98,Santiago Arias\fdd60087,co COL,DF,Granada,es La Liga,29-319,1992,2.6,4,2,2,2,0,1,6,16.7,5,38,11,28.9,24,10,4,5,2,0,3,2,6,6,0,Matches
99,Adam Armstrong\68c720b5,eng ENG,FWMF,Southampton,eng Premier League,24-291,1997,10.7,8,5,2,3,3,0,3,0.0,3,152,42,27.6,12,58,82,4,1,0,3,4,12,2,0,Matches
100,Stuart Armstrong\97333cf5,sct SCO,MF,Southampton,eng Premier League,29-243,1992,1.4,1,0,1,0,0,0,4,0.0,4,25,10,40.0,7,12,6,1,0,0,1,1,2,1,0,Matches
101,Marko Arnautović\00459419,at AUT,FW,Bologna,it Serie A,32-223,1989,11.8,5,4,0,4,1,1,11,9.1,10,162,43,26.5,22,59,81,10,1,0,9,5,10,11,0,Matches
102,Maximilian Arnold\86e119e0,de GER,MF,Wolfsburg,de Bundesliga,27-185,1994,13.0,15,11,9,6,0,6,18,33.3,12,202,71,35.1,78,106,18,13,3,0,10,24,39,20,0,Matches
103,Kepa Arrizabalaga\28d596a0,es ESP,GK,Chelsea,eng Premier League,27-056,1994,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
104,Tolgay Arslan\963a328b,de GER,MF,Udinese,it Serie A,31-104,1990,6.3,6,4,4,0,2,3,14,21.4,11,106,27,25.5,35,52,19,12,1,0,11,5,11,2,0,Matches
105,Santiago Arzamendia\759d8dd7,py PAR,MF,Cádiz,es La Liga,23-207,1998,2.1,7,5,5,1,1,3,10,30.0,7,50,12,24.0,20,17,13,6,0,0,6,3,10,7,0,Matches
106,Takuma Asano\13ddc856,jp JPN,FW,Bochum,de Bundesliga,27-018,1994,6.7,3,1,1,1,1,2,8,25.0,6,146,32,21.9,32,49,65,10,1,0,9,5,8,0,0,Matches
107,Santiago Ascacíbar\e26fcca3,ar ARG,MF,Hertha BSC,de Bundesliga,24-276,1997,9.9,38,27,27,10,1,12,34,35.3,22,227,78,34.4,111,105,11,22,3,0,19,24,62,16,0,Matches
108,Sergio Asenjo\9f0ea33f,es ESP,GK,Villarreal,es La Liga,32-153,1989,2.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
109,Marco Asensio\45af8a54,es ESP,FWMF,Real Madrid,es La Liga,25-311,1996,6.0,5,4,4,1,0,2,10,20.0,8,71,20,28.2,14,29,28,4,0,0,4,10,15,1,0,Matches
110,Kristoffer Askildsen\a69cc629,no NOR,MF,Sampdoria,it Serie A,20-323,2001,5.2,11,7,4,6,1,5,13,38.5,8,94,23,24.5,29,47,18,13,6,0,7,11,22,10,0,Matches
111,Fisnik Asllani\35f67a30,xk KVX,FW,Hoffenheim,de Bundesliga,19-112,2002,0.0,0,0,0,0,0,0,0,,0,3,2,66.7,0,3,0,0,0,0,0,0,0,0,0,Matches
112,Kristjan Asllani\0fdcef0e,al ALB,MFFW,Empoli,it Serie A,19-264,2002,0.8,1,0,1,0,0,1,1,100.0,0,25,3,12.0,8,13,4,2,1,0,1,1,2,2,0,Matches
113,Iago Aspas\7dcf86f6,es ESP,FW,Celta Vigo,es La Liga,34-119,1987,13.7,5,3,1,1,3,1,6,16.7,5,153,39,25.5,14,56,83,17,2,1,15,10,15,2,0,Matches
114,Lorenz Assignon\b026bbf6,tg TOG,DFMF,Rennes,fr Ligue 1,21-159,2000,1.7,4,2,1,2,1,2,6,33.3,4,24,5,20.8,8,10,6,5,0,0,5,3,7,5,0,Matches
115,Simon Asta\dfc85b89,de GER,DF,Greuther Fürth,de Bundesliga,20-307,2001,1.8,2,1,0,1,1,0,2,0.0,2,29,9,31.0,12,13,4,5,0,0,5,8,10,1,0,Matches
116,Youcef Atal\6a827d8e,dz ALG,DF,Nice,fr Ligue 1,25-195,1996,7.9,22,14,16,4,2,10,20,50.0,10,99,36,36.4,34,36,29,14,1,0,13,22,44,14,0,Matches
117,Pierre-Emerick Aubameyang\d5dd5f1f,ga GAB,FW,Arsenal,eng Premier League,32-163,1989,10.6,12,7,5,5,2,2,6,33.3,4,186,50,26.9,22,70,94,16,2,0,14,1,13,3,0,Matches
118,Emil Audero\649b01d8,it ITA,GK,Sampdoria,it Serie A,24-314,1997,14.0,0,0,0,0,0,0,1,0.0,1,4,1,25.0,4,0,0,0,0,0,0,0,0,0,0,Matches
119,Tommaso Augello\3cd3b384,it ITA,DF,Sampdoria,it Serie A,27-090,1994,11.6,26,13,14,8,4,7,14,50.0,7,130,35,26.9,62,35,33,24,3,0,21,15,41,22,1,Matches
120,Ludwig Augustinsson\9fec8860,se SWE,DF,Sevilla,es La Liga,27-221,1994,2.8,6,2,2,3,1,0,0,,0,30,10,33.3,14,9,7,7,1,0,6,4,10,12,0,Matches
121,Serge Aurier\5c2b4f07,ci CIV,DF,Villarreal,es La Liga,28-339,1992,2.7,6,6,5,1,0,2,3,66.7,1,29,15,51.7,16,7,6,5,1,0,4,4,10,2,0,Matches
122,Ezequiel Ávila\253a06b9,ar ARG,FW,Osasuna,es La Liga,27-295,1994,5.7,3,2,1,1,1,2,4,50.0,2,73,26,35.6,5,29,39,8,1,0,7,7,10,3,0,Matches
123,Taiwo Awoniyi\e5478b87,ng NGA,FW,Union Berlin,de Bundesliga,24-108,1997,9.7,8,5,1,2,5,0,2,0.0,2,147,45,30.6,9,64,74,8,2,0,6,2,10,11,0,Matches
124,Ramzi Aya\6a1f66a7,it ITA,DF,Salernitana,it Serie A,31-118,1990,1.5,1,1,1,0,0,1,1,100.0,0,6,1,16.7,4,2,0,0,0,0,0,2,3,1,0,Matches
125,Jordan Ayew\da052c14,gh GHA,FWMF,Crystal Palace,eng Premier League,30-078,1991,7.9,16,11,7,8,1,4,8,50.0,4,179,46,25.7,46,71,62,20,2,0,18,11,27,2,0,Matches
126,Kaan Ayhan\2200181e,tr TUR,DF,Sassuolo,it Serie A,27-018,1994,3.3,8,4,5,3,0,0,1,0.0,1,35,13,37.1,20,15,0,3,3,1,0,4,12,16,0,Matches
127,Luke Ayling\420d7c7d,eng ENG,DF,Leeds United,eng Premier League,30-095,1991,5.0,13,5,11,2,0,7,14,50.0,7,71,23,32.4,38,23,10,11,8,0,3,5,18,12,1,Matches
128,Karim Azamoum\eaf71a5e,fr FRA,DF,Troyes,fr Ligue 1,31-315,1990,4.3,8,6,3,5,0,1,4,25.0,3,67,22,32.8,33,34,0,5,2,0,3,2,10,11,0,Matches
129,César Azpilicueta\53cad200,es ESP,DF,Chelsea,eng Premier League,32-092,1989,7.0,19,8,10,6,3,6,14,42.9,8,104,26,25.0,47,39,18,20,3,0,17,7,26,21,0,Matches
130,Iddrisu Baba\bfd381b3,gh GHA,MF,Mallorca,es La Liga,25-310,1996,12.1,49,33,25,22,2,13,23,56.5,10,217,80,36.9,84,118,15,20,3,0,17,21,70,26,0,Matches
131,Carlos Bacca\09a9e921,co COL,FW,Granada,es La Liga,35-081,1986,4.9,5,3,2,1,2,1,2,50.0,1,46,13,28.3,8,23,15,4,2,0,2,2,7,5,0,Matches
