Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
1,Max Aarons\774cf58b,eng ENG,DF,Norwich City,eng Premier League,21-328,2000,13.0,19,13,13,6,0,11,23,47.8,12,156,43,27.6,92,47,17,33,7,0,26,18,37,28,0,Matches
2,Yunis Abdelhamid\32c2d95f,ma MAR,DF,Reims,fr Ligue 1,34-061,1987,14.0,21,18,15,5,1,5,8,62.5,3,176,68,38.6,111,58,7,27,14,0,13,51,72,48,0,Matches
3,Salis Abdul Samed\82464ce3,gh GHA,MF,Clermont Foot,fr Ligue 1,21-247,2000,11.7,33,21,17,14,2,9,29,31.0,20,250,80,32.0,96,131,23,14,1,0,13,23,56,10,0,Matches
4,Laurent Abergel\31626657,fr FRA,MF,Lorient,fr Ligue 1,28-300,1993,13.0,44,28,24,17,3,22,58,37.9,36,348,111,31.9,127,195,26,20,1,0,19,27,71,5,0,Matches
5,Charles Abi\469d3d84,fr FRA,FW,Saint-Étienne,fr Ligue 1,21-230,2000,0.5,0,0,0,0,0,0,1,0.0,1,14,1,7.1,0,11,3,1,0,0,1,0,0,0,0,Matches
6,Dickson Abiama\cadd666a,ng NGA,FW,Greuther Fürth,de Bundesliga,23-025,1998,4.4,12,6,2,6,4,1,3,33.3,2,103,23,22.3,13,47,43,4,2,0,2,4,16,2,0,Matches
7,Matthis Abline\bbe96b16,fr FRA,FW,Rennes,fr Ligue 1,18-245,2003,1.1,0,0,0,0,0,0,1,0.0,1,26,4,15.4,4,14,8,2,0,0,2,1,1,1,0,Matches
8,Tammy Abraham\f586779e,eng ENG,FW,Roma,it Serie A,24-057,1997,12.2,16,12,2,9,5,4,8,50.0,4,166,46,27.7,6,74,86,11,4,0,7,3,19,11,1,Matches
9,Luis Abram\1f462f95,pe PER,DF,Granada,es La Liga,25-274,1996,5.2,5,4,4,0,1,2,3,66.7,1,26,11,42.3,8,17,1,12,5,2,7,11,16,35,1,Matches
10,Francesco Acerbi\b96b595c,it ITA,DF,Lazio,it Serie A,33-291,1988,10.8,9,5,6,3,0,3,8,37.5,5,70,20,28.6,34,30,6,21,14,0,7,24,33,54,0,Matches
11,Ragnar Ache\dc38e3bc,de GER,FWMF,Eint Frankfurt,de Bundesliga,23-123,1998,0.8,1,1,0,0,1,1,2,50.0,1,27,8,29.6,3,11,13,2,0,0,2,0,1,1,0,Matches
12,Marcos Acuña\81442ecb,ar ARG,DF,Sevilla,es La Liga,30-031,1991,9.0,16,9,10,4,2,6,11,54.5,5,94,24,25.5,46,38,10,10,1,0,9,12,28,10,0,Matches
13,Che Adams\f2bf1b0f,sct SCO,FW,Southampton,eng Premier League,25-138,1996,7.5,7,5,2,1,4,1,3,33.3,2,102,23,22.5,13,36,53,14,3,0,11,5,12,9,0,Matches
