Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
30,Kristoffer Ajer\a8c0acb7,no NOR,DF,Brentford,eng Premier League,23-225,1998,6.3,209,163,46,6,0,34,3,3,0,0,0,0,91,59,59,9,129,15,40,1,136,0,5,8,13,Matches
31,Ludovic Ajorque\462475ed,re REU,FW,Strasbourg,fr Ligue 1,27-276,1994,11.3,353,347,6,0,1,93,8,8,0,0,0,0,193,106,54,211,69,20,0,11,260,0,4,24,14,Matches
32,Manuel Akanji\89ac64a6,ch SUI,DF,Dortmund,de Bundesliga,26-132,1995,13.0,1019,992,27,26,0,86,40,1,0,0,0,0,837,58,124,214,759,29,1,1,931,1,13,15,6,Matches
33,Carlos Akapo\f2a68b97,gq EQG,DF,Cádiz,es La Liga,28-261,1993,4.6,172,125,47,4,0,21,8,6,0,0,0,0,75,45,52,7,104,12,43,0,114,0,9,3,11,Matches
34,Nathan Aké\eaeca114,nl NED,DF,Manchester City,eng Premier League,26-283,1995,3.2,236,230,6,1,0,18,1,0,0,0,0,0,204,11,21,179,39,6,5,1,214,0,2,1,1,Matches
35,Ilias Akhomach\b8bd60fe,es ESP,FW,Barcelona,es La Liga,17-226,2004,0.5,20,20,0,0,0,2,1,3,0,0,0,0,16,1,3,19,1,0,0,0,16,0,0,1,0,Matches
36,Maghnes Akliouche\b625b241,fr FRA,MF,Monaco,fr Ligue 1,19-276,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
37,Paul Akouokou\31f5b89b,ci CIV,MF,Betis,es La Liga,23-343,1997,1.9,100,100,0,0,0,14,2,0,0,0,0,0,77,8,15,13,79,4,0,0,86,1,2,2,1,Matches
38,Jean-Daniel Akpa-Akpro\fdf4b948,ci CIV,MF,Lazio,it Serie A,29-048,1992,2.6,78,78,0,0,0,13,0,0,0,0,0,0,58,19,1,15,54,3,0,1,64,0,2,2,6,Matches
39,Kevin Akpoguma\6ec6fde0,ng NGA,DF,Hoffenheim,de Bundesliga,26-223,1995,8.1,433,331,102,8,0,69,13,15,0,0,0,0,229,126,78,36,281,11,94,1,330,2,7,17,19,Matches
40,David Alaba\05439de2,at AUT,DF,Real Madrid,es La Liga,29-157,1992,11.9,765,715,50,21,1,65,7,23,3,3,0,0,628,64,73,622,98,16,24,0,694,2,7,4,9,Matches
41,Sofiane Alakouch\5314e067,ma MAR,DFMF,Metz,fr Ligue 1,23-122,1998,1.7,101,88,13,1,0,8,1,1,0,0,0,0,77,16,8,6,81,1,12,0,84,0,0,4,6,Matches
42,Tomás Alarcón\99ea2ddd,cl CHI,MF,Cádiz,es La Liga,22-313,1999,9.7,362,320,42,20,0,62,29,18,20,8,8,0,181,47,134,23,307,20,1,0,255,2,12,5,8,Matches
43,Lucas Alario\834d0be5,ar ARG,FW,Leverkusen,de Bundesliga,29-051,1992,1.6,26,25,1,0,0,4,0,1,0,0,0,0,15,9,2,1,18,3,0,2,17,0,0,1,0,Matches
44,Jordi Alba\4601e194,es ESP,DF,Barcelona,es La Liga,32-252,1989,9.8,888,754,134,31,1,62,19,47,0,0,0,0,586,170,132,667,95,19,103,1,737,5,8,30,21,Matches
45,Luis Alberto\5294a83f,es ESP,MF,Lazio,it Serie A,29-061,1992,9.9,759,704,55,23,4,118,25,16,27,14,7,3,598,72,89,41,696,9,3,4,639,2,3,21,8,Matches
46,Raúl Albiol\4bd414c1,es ESP,DF,Villarreal,es La Liga,36-085,1985,10.0,570,551,19,18,0,58,22,0,0,0,0,0,439,36,95,103,426,31,1,0,502,0,10,10,7,Matches
47,Marc Albrighton\b827d5b3,eng ENG,MFFW,Leicester City,eng Premier League,32-010,1989,3.1,109,79,30,3,0,23,10,6,14,9,4,1,42,29,38,6,85,3,12,0,58,2,3,5,11,Matches
48,Paco Alcácer\a7a9d95a,es ESP,FW,Villarreal,es La Liga,28-090,1993,3.8,85,76,9,0,1,18,1,0,0,0,0,0,57,18,10,18,56,5,1,1,68,2,0,6,3,Matches
49,Thiago Alcántara\77e84962,es ESP,MF,Liverpool,eng Premier League,30-231,1991,3.8,324,318,6,4,0,43,11,0,0,0,0,0,242,33,49,22,282,11,0,0,291,0,3,10,4,Matches
