Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Antonio Adán\65d62814,es ESP,GK,Atlético Madrid,es La Liga,32,1987,1,0,25,0.3,0,0.00,1,1,100.0,0,0,0,0,,0,0,0,0,,Matches
2,Adrián\f76e6b4e,es ESP,GK,Liverpool,eng Premier League,32,1987,11,9,875,9.7,10,1.03,28,17,64.3,9,0,0,2,22.2,0,0,0,0,,Matches
3,Rúnar Alex Rúnarsson\8fa8f8d2,is ISL,GK,Dijon,fr Ligue 1,24,1995,11,9,900,10.0,17,1.70,46,29,63.0,1,2,6,0,0.0,0,0,0,0,,Matches
4,Enrico Alfonso\95adf1e1,it ITA,GK,Brescia,it Serie A,31,1988,4,4,279,3.1,4,1.29,11,7,63.6,1,0,3,1,25.0,0,0,0,0,,Matches
5,Alisson\7a2e46a8,br BRA,GK,Liverpool,eng Premier League,26,1992,29,29,2543,28.3,23,0.81,79,58,72.2,23,3,3,13,44.8,1,1,0,0,0.0,Matches
6,Sergio Álvarez\8875b8c9,es ESP,GK,Celta Vigo,es La Liga,32,1986,4,4,180,2.0,1,0.50,4,3,75.0,1,1,0,2,50.0,0,0,0,0,,Matches
7,Lorenzo Andrenacci\fe471a89,it ITA,GK,Brescia,it Serie A,24,1995,6,5,531,5.9,16,2.71,45,28,64.4,0,1,4,0,0.0,1,0,0,1,,Matches
8,Miguel Ángel Moyá\011d8c56,es ESP,GK,Real Sociedad,es La Liga,35,1984,13,13,1170,13.0,16,1.23,51,36,68.6,5,4,4,3,23.1,1,0,0,1,,Matches
9,Alphonse Areola\2f965a72,fr FRA,GK,Real Madrid,es La Liga,26,1993,4,4,360,4.0,5,1.25,13,10,76.9,3,1,0,1,25.0,2,2,0,0,0.0,Matches
10,Alphonse Areola\2f965a72,fr FRA,GK,Paris S-G,fr Ligue 1,26,1993,3,3,270,3.0,2,0.67,4,2,50.0,2,0,1,2,66.7,0,0,0,0,,Matches
11,Kepa Arrizabalaga\28d596a0,es ESP,GK,Chelsea,eng Premier League,24,1994,33,33,2970,33.0,47,1.42,99,55,54.5,18,4,11,8,24.2,2,2,0,0,0.0,Matches
12,Sergio Asenjo\9f0ea33f,es ESP,GK,Villarreal,es La Liga,30,1989,34,34,3060,34.0,41,1.21,142,107,74.6,17,4,13,11,32.4,6,5,1,0,16.7,Matches
13,Emil Audero\649b01d8,it ITA,GK,Sampdoria,it Serie A,22,1997,36,36,3240,36.0,60,1.67,160,110,66.9,12,5,19,9,25.0,8,7,0,1,0.0,Matches
14,Stefan Bajic\be13e5a8,fr FRA,GK,Saint-Étienne,fr Ligue 1,17,2001,1,1,90,1.0,1,1.00,2,1,50.0,0,0,1,0,0.0,0,0,0,0,,Matches
15,Oliver Baumann\47064058,de GER,GK,Hoffenheim,de Bundesliga,29,1990,30,30,2700,30.0,49,1.63,143,101,69.2,13,7,10,7,23.3,7,5,2,0,28.6,Matches
16,Asmir Begović\7b4de647,ba BIH,GK,Milan,it Serie A,32,1987,2,1,129,1.4,3,2.09,6,4,66.7,0,0,1,0,0.0,1,1,0,0,0.0,Matches
17,Walter Benítez\8a2248b4,ar ARG,GK,Nice,fr Ligue 1,26,1993,26,26,2340,26.0,36,1.38,129,99,75.2,9,8,9,4,15.4,6,4,1,1,20.0,Matches
18,Etrit Berisha\ee833569,al ALB,GK,SPAL,it Serie A,30,1989,26,26,2340,26.0,41,1.58,142,106,75.4,5,3,18,3,11.5,6,6,0,0,0.0,Matches
19,Paul Bernardoni\28dabd43,fr FRA,GK,Nîmes,fr Ligue 1,22,1997,25,25,2204,24.5,38,1.55,102,69,66.7,7,4,14,6,24.0,4,4,0,0,0.0,Matches
20,Dimitry Bertaud\380a15e2,fr FRA,GK,Montpellier,fr Ligue 1,21,1998,3,3,196,2.2,3,1.38,6,3,50.0,0,0,3,0,0.0,0,0,0,0,,Matches
21,Rubén Blanco\967f34d3,es ESP,GK,Celta Vigo,es La Liga,24,1995,33,33,2960,32.9,43,1.31,126,87,69.8,6,14,13,10,30.3,5,5,0,0,0.0,Matches
22,Yassine Bounou\f6798fc3,ma MAR,GK,Sevilla,es La Liga,28,1991,6,5,495,5.5,3,0.55,19,17,89.5,4,1,0,4,80.0,1,1,0,0,0.0,Matches
23,Federico Brancolini\d4890c25,it ITA,GK,Fiorentina,it Serie A,18,2001,1,0,6,0.1,0,0.00,0,0,,0,0,0,1,,0,0,0,0,,Matches
24,Claudio Bravo\10072610,cl CHI,GK,Manchester City,eng Premier League,36,1983,4,3,347,3.9,7,1.82,15,8,53.3,2,0,1,1,33.3,0,0,0,0,,Matches
25,Gianluigi Buffon\e40d028b,it ITA,GK,Juventus,it Serie A,41,1978,9,9,810,9.0,10,1.11,32,23,71.9,7,1,1,1,11.1,2,1,0,1,0.0,Matches
26,Roman Bürki\9d12e142,ch SUI,GK,Dortmund,de Bundesliga,28,1990,31,31,2770,30.8,40,1.30,93,59,60.2,19,5,7,13,41.9,3,3,0,0,0.0,Matches
27,Ludovic Butelle\26975a92,fr FRA,GK,Angers,fr Ligue 1,36,1983,26,26,2340,26.0,32,1.23,78,50,62.8,10,6,10,11,42.3,3,3,0,0,0.0,Matches
