Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
169,Tiemoué Bakayoko\59bf127b,fr FRA,MF,Monaco,fr Ligue 1,24,1994,19.1,1233,31,229,791,284,39,1222,31,56,55.4,33,2,865,4350,2037,82,21,4,30,34,935,869,92.9,77,Matches
170,Lewis Baker\1b278bf5,eng ENG,MF,Düsseldorf,de Bundesliga,24,1995,6.1,283,15,70,179,54,6,276,10,12,83.3,10,0,204,1125,534,25,4,2,7,5,209,190,90.9,13,Matches
171,Mitchel Bakker\a8567629,nl NED,DF,Paris S-G,fr Ligue 1,19,2000,1.0,100,4,34,53,19,0,95,1,1,100.0,1,0,80,267,79,3,2,0,2,1,88,86,97.7,2,Matches
172,Ridle Baku\442b56fa,de GER,DFMF,Mainz 05,de Bundesliga,21,1998,26.1,1524,76,444,739,458,25,1356,31,63,49.2,38,3,901,4558,2540,112,49,5,35,26,916,815,89.0,72,Matches
173,Fabián Balbuena\3626f7d9,py PAR,DF,West Ham,eng Premier League,27,1991,13.1,653,96,350,311,27,16,635,0,0,,0,0,308,1778,978,24,3,0,2,0,344,329,95.6,14,Matches
174,Keita Baldé\509a4ccb,sn SEN,FWMF,Monaco,fr Ligue 1,24,1995,9.5,417,12,49,189,205,50,401,6,12,50.0,6,1,253,1275,693,48,16,9,25,17,502,315,62.7,90,Matches
175,George Baldock\394854c4,eng ENG,DF,Sheffield Utd,eng Premier League,26,1993,38.0,1936,106,416,692,930,64,1640,43,67,64.2,46,0,1156,6771,3460,182,53,22,33,31,1250,1055,84.4,93,Matches
176,Gareth Bale\a58bb1e1,wls WAL,FWMF,Real Madrid,es La Liga,30,1989,12.1,618,11,70,308,296,52,601,17,30,56.7,19,0,431,2856,1681,98,35,6,27,16,644,512,79.5,102,Matches
177,Mikel Balenziaga\1fe67e86,es ESP,DF,Athletic Club,es La Liga,31,1988,6.3,317,17,93,157,78,1,261,1,2,50.0,1,0,150,707,388,15,3,0,3,2,159,145,91.2,1,Matches
178,Leonardo Balerdi\7c3ed041,ar ARG,DFMF,Dortmund,de Bundesliga,20,1999,1.5,142,12,52,93,2,0,138,1,3,33.3,2,0,110,487,176,3,0,0,0,1,110,107,97.3,0,Matches
179,Marco Ballarini\8cb494c9,it ITA,MF,Udinese,it Serie A,18,2001,0.0,5,0,2,3,1,0,5,0,0,,0,0,3,32,26,2,1,0,0,0,4,4,100.0,0,Matches
180,Fodé Ballo-Touré\f449640d,sn SEN,DF,Monaco,fr Ligue 1,22,1997,18.7,1067,50,335,541,292,22,914,30,50,60.0,33,0,687,4531,2738,96,45,1,23,15,686,625,91.1,39,Matches
181,Florent Balmont\4e7bfc23,fr FRA,MF,Dijon,fr Ligue 1,39,1980,4.5,315,2,69,204,57,2,297,1,3,33.3,3,0,219,957,514,14,4,1,5,6,240,213,88.8,7,Matches
182,Mario Balotelli\8ff07990,it ITA,FW,Brescia,it Serie A,28,1990,15.6,571,26,75,281,249,50,538,11,22,50.0,11,0,362,1731,871,50,16,5,30,12,628,427,68.0,118,Matches
183,Abdoulaye Bamba\7fecbcdb,ci CIV,DF,Angers,fr Ligue 1,29,1990,6.2,321,9,113,148,72,3,263,4,4,100.0,4,0,182,754,351,13,5,1,1,4,190,177,93.2,8,Matches
184,Jonathan Bamba\b2bd0f6c,fr FRA,FWMF,Lille,fr Ligue 1,23,1996,21.5,1110,13,113,566,539,68,1054,48,80,60.0,51,6,909,5798,3256,157,62,21,35,60,983,789,80.3,162,Matches
185,Éver Banega\fa937f7a,ar ARG,MF,Sevilla,es La Liga,31,1988,27.5,2637,25,441,1663,723,32,2394,46,64,71.9,48,0,1964,9667,5366,259,67,8,46,48,2159,2031,94.1,99,Matches
186,Mattia Bani\0821331c,it ITA,DF,Bologna,it Serie A,25,1993,24.5,1436,204,823,647,46,21,1388,2,4,50.0,2,0,771,4694,2299,37,2,1,7,1,854,837,98.0,8,Matches
187,Antonín Barák\01efac19,cz CZE,MF,Udinese,it Serie A,24,1994,2.2,135,3,20,65,59,3,130,6,6,100.0,6,0,98,636,348,15,5,0,7,4,114,91,79.8,15,Matches
188,Antonín Barák\01efac19,cz CZE,MF,Lecce,it Serie A,24,1994,15.2,866,30,215,479,263,39,854,10,24,41.7,13,1,575,4033,2397,111,45,1,11,19,766,650,84.9,87,Matches
189,Federico Barba\c010b898,it ITA,DF,Valladolid,es La Liga,25,1993,5.0,275,16,89,148,46,3,235,1,2,50.0,1,0,145,573,278,13,2,0,6,0,161,148,91.9,5,Matches
190,Danilo Barbosa\0557ff4f,br BRA,DFMF,Nice,fr Ligue 1,23,1996,12.5,959,103,424,517,94,11,942,10,16,62.5,13,2,697,3821,2324,56,11,1,13,9,745,719,96.5,21,Matches
191,Melvin Bard\1ddbc7ca,fr FRA,DF,Lyon,fr Ligue 1,18,2000,0.5,47,0,6,15,27,1,42,0,0,,0,0,37,186,114,7,1,1,0,0,36,34,94.4,3,Matches
192,Enis Bardhi\cac2537b,mk MKD,MF,Levante,es La Liga,24,1995,23.5,1133,30,205,568,431,51,1061,38,59,64.4,40,1,837,3951,2290,118,38,12,51,30,995,793,79.7,124,Matches
193,Phil Bardsley\1ae30132,sct SCO,DF,Burnley,eng Premier League,34,1985,21.0,1130,95,343,592,240,11,898,5,8,62.5,5,0,460,2278,1145,48,20,3,6,7,520,488,93.8,17,Matches
194,Nicolò Barella\6928979a,it ITA,MF,Inter,it Serie A,22,1997,22.4,1471,37,278,870,446,38,1452,40,62,64.5,44,1,1127,5943,2937,143,46,7,31,27,1192,1093,91.7,96,Matches
195,Philipp Bargfrede\3f7cd8f1,de GER,MF,Werder Bremen,de Bundesliga,30,1989,6.5,345,21,95,210,59,4,342,6,7,85.7,6,1,208,925,431,18,8,0,5,4,215,199,92.6,8,Matches
196,Antonino Barillà\a64cbd35,it ITA,MF,Parma,it Serie A,31,1988,18.8,732,47,204,389,184,30,715,7,17,41.2,9,0,428,2046,1078,42,17,2,21,16,544,455,83.6,55,Matches
197,Kike Barja\aad53e64,es ESP,MFFW,Osasuna,es La Liga,22,1997,3.5,138,4,19,62,76,11,136,11,17,64.7,12,0,116,703,486,26,9,4,12,11,158,101,63.9,31,Matches
198,Ross Barkley\3a24769f,eng ENG,MF,Chelsea,eng Premier League,25,1993,12.3,779,15,93,409,336,42,769,33,42,78.6,34,1,650,3321,1497,72,26,6,20,37,695,618,88.9,97,Matches
199,Aymen Barkok\a2a85828,ma MAR,FWMF,Düsseldorf,de Bundesliga,21,1998,0.9,45,4,12,26,9,0,44,0,1,0.0,0,0,23,44,25,2,1,0,2,1,34,25,73.5,1,Matches
200,Ashley Barnes\2691c772,eng ENG,FW,Burnley,eng Premier League,29,1989,15.0,435,15,46,195,210,54,426,11,17,64.7,13,0,257,819,360,26,6,5,41,20,706,298,42.2,104,Matches
201,Harvey Barnes\3ea50f67,eng ENG,MFFW,Leicester City,eng Premier League,21,1997,23.1,1019,14,104,415,590,133,1016,37,78,47.4,43,4,781,5091,3429,174,51,39,50,40,1113,822,73.9,202,Matches
202,Antonio Barragán\487d9b09,es ESP,DF,Betis,es La Liga,32,1987,7.1,518,28,119,229,196,10,460,3,4,75.0,3,1,329,1235,654,37,16,3,4,1,380,361,95.0,19,Matches
203,Antonio Barreca\6a189491,it ITA,DFMF,Genoa,it Serie A,24,1995,12.2,505,34,123,200,223,18,423,7,20,35.0,9,3,304,1539,877,43,19,6,11,12,353,307,87.0,22,Matches
204,Leandro Barreiro Martins\00242b75,lu LUX,MF,Mainz 05,de Bundesliga,19,2000,10.4,498,19,121,302,92,9,485,4,8,50.0,5,0,260,818,449,22,8,2,9,7,272,247,90.8,22,Matches
205,Ander Barrenetxea\200e89e1,es ESP,FWMF,Real Sociedad,es La Liga,17,2001,4.9,280,6,26,111,164,39,271,22,45,48.9,23,2,239,1403,834,49,9,17,15,12,272,213,78.3,37,Matches
206,Édgar Barreto\43a1bea5,py PAR,MF,Sampdoria,it Serie A,35,1984,1.0,42,0,2,31,11,1,40,0,0,,0,0,26,84,37,3,2,0,0,1,32,28,87.5,3,Matches
207,Musa Barrow\e5bf73f3,gm GAM,FW,Bologna,it Serie A,20,1998,15.0,841,14,88,399,426,81,766,43,68,63.2,48,3,616,3452,1968,92,29,18,51,31,801,608,75.9,136,Matches
208,Musa Barrow\e5bf73f3,gm GAM,FWMF,Atalanta,it Serie A,20,1998,2.1,93,1,2,32,62,27,91,5,6,83.3,6,0,76,331,146,13,2,4,8,9,148,71,48.0,41,Matches
209,Fin Bartels\acc7b7ec,de GER,FWMF,Werder Bremen,de Bundesliga,32,1987,3.8,208,7,28,96,97,12,202,6,10,60.0,6,0,152,708,317,20,8,1,14,7,180,146,81.1,31,Matches
