Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Adrián\f76e6b4e,es ESP,GK,Liverpool,eng Premier League,33,1987,3,3,270,3.0,9,3.00,19,10,52.6,1,1,1,1,33.3,0,0,0,0,,Matches
2,Rúnar Alex Rúnarsson\8fa8f8d2,is ISL,GK,Arsenal,eng Premier League,25,1995,1,0,16,0.2,0,0.00,2,2,100.0,0,0,0,0,,0,0,0,0,,Matches
3,Alisson\7a2e46a8,br BRA,GK,Liverpool,eng Premier League,27,1992,33,33,2970,33.0,32,0.97,111,82,74.8,18,8,7,10,30.3,8,4,1,3,20.0,Matches
4,Saturnin Allagbé\b052b8bf,bj BEN,GK,Dijon,fr Ligue 1,26,1993,12,12,1080,12.0,30,2.50,64,35,54.7,2,2,8,3,25.0,3,1,1,1,50.0,Matches
5,Nícolas Andrade\326d09ef,br BRA,GK,Udinese,it Serie A,32,1988,2,2,180,2.0,5,2.50,7,2,28.6,1,0,1,0,0.0,0,0,0,0,,Matches
6,Ángel\b1e5bbec,es ESP,GK,Granada,es La Liga,18,2002,1,1,90,1.0,2,2.00,7,6,85.7,0,0,1,0,0.0,2,1,1,0,50.0,Matches
7,Alphonse Areola\2f965a72,fr FRA,GK,Fulham,eng Premier League,27,1993,36,36,3240,36.0,48,1.33,156,114,73.1,5,13,18,9,25.0,6,6,0,0,0.0,Matches
8,Kepa Arrizabalaga\28d596a0,es ESP,GK,Chelsea,eng Premier League,25,1994,7,6,585,6.5,8,1.23,22,15,68.2,2,2,2,2,33.3,1,1,0,0,0.0,Matches
9,Sergio Asenjo\9f0ea33f,es ESP,GK,Villarreal,es La Liga,31,1989,36,36,3240,36.0,41,1.14,114,83,70.2,15,13,8,10,27.8,9,7,1,1,12.5,Matches
10,Emil Audero\649b01d8,it ITA,GK,Sampdoria,it Serie A,23,1997,37,37,3330,37.0,54,1.46,165,117,71.5,14,7,16,6,16.2,9,7,2,0,22.2,Matches
11,Édgar Badía\e4346678,es ESP,GK,Elche,es La Liga,28,1992,30,30,2700,30.0,46,1.53,135,93,69.6,5,11,14,5,16.7,9,5,3,1,37.5,Matches
12,Stefan Bajic\be13e5a8,fr FRA,GK,Saint-Étienne,fr Ligue 1,18,2001,1,1,90,1.0,4,4.00,4,0,0.0,0,0,1,0,0.0,1,0,0,1,,Matches
13,Oliver Baumann\47064058,de GER,GK,Hoffenheim,de Bundesliga,30,1990,31,31,2790,31.0,51,1.65,126,81,64.3,10,8,13,6,19.4,9,6,2,1,25.0,Matches
14,Walter Benítez\8a2248b4,ar ARG,GK,Nice,fr Ligue 1,27,1993,38,38,3420,38.0,53,1.39,167,119,72.5,15,7,16,9,23.7,7,7,0,0,0.0,Matches
15,Alessandro Berardi\ec1f737d,it ITA,GK,Hellas Verona,it Serie A,29,1991,1,0,28,0.3,0,0.00,1,1,100.0,0,0,0,0,,0,0,0,0,,Matches
16,Paul Bernardoni\28dabd43,fr FRA,GK,Angers,fr Ligue 1,23,1997,38,38,3420,38.0,58,1.53,134,82,61.9,12,8,18,9,23.7,8,7,1,0,12.5,Matches
17,Dimitry Bertaud\380a15e2,fr FRA,GK,Montpellier,fr Ligue 1,22,1998,9,7,745,8.3,11,1.33,40,29,75.0,4,2,1,3,42.9,1,1,0,0,0.0,Matches
18,Rubén Blanco\967f34d3,es ESP,GK,Celta Vigo,es La Liga,25,1995,19,19,1637,18.2,27,1.48,60,34,56.7,7,6,6,4,21.1,1,1,0,0,0.0,Matches
19,Elias Bördner\8758ddf4,de GER,GK,Eint Frankfurt,de Bundesliga,18,2002,1,1,90,1.0,1,1.00,6,5,83.3,1,0,0,0,0.0,0,0,0,0,,Matches
20,Yassine Bounou\f6798fc3,ma MAR,GK,Sevilla,es La Liga,29,1991,33,33,2970,33.0,28,0.85,100,78,76.0,21,5,7,15,45.5,6,4,2,0,33.3,Matches
21,Claudio Bravo\10072610,cl CHI,GK,Betis,es La Liga,37,1983,20,20,1800,20.0,25,1.25,69,48,69.6,8,8,4,7,35.0,5,4,1,0,20.0,Matches
22,Fabian Bredlow\d28339cb,de GER,GK,Stuttgart,de Bundesliga,25,1995,1,1,90,1.0,1,1.00,9,8,88.9,1,0,0,0,0.0,0,0,0,0,,Matches
23,Gianluigi Buffon\e40d028b,it ITA,GK,Juventus,it Serie A,42,1978,8,8,720,8.0,5,0.62,17,14,82.4,7,1,0,3,37.5,3,2,1,0,33.3,Matches
24,Roman Bürki\9d12e142,ch SUI,GK,Dortmund,de Bundesliga,29,1990,19,18,1665,18.5,30,1.62,89,63,70.8,9,2,7,4,22.2,4,4,0,0,0.0,Matches
25,Jack Butland\cc70a1d5,eng ENG,GK,Crystal Palace,eng Premier League,27,1993,1,1,90,1.0,2,2.00,5,3,60.0,1,0,0,0,0.0,0,0,0,0,,Matches
26,David Button\e608ed4c,eng ENG,GK,West Brom,eng Premier League,31,1989,1,1,90,1.0,2,2.00,7,5,71.4,1,0,0,0,0.0,0,0,0,0,,Matches
27,Marcin Bułka\db87a2c4,pl POL,GK,Paris S-G,fr Ligue 1,20,1999,1,1,90,1.0,1,1.00,3,2,66.7,0,0,1,0,0.0,0,0,0,0,,Matches
28,Willy Caballero\a179d516,ar ARG,GK,Chelsea,eng Premier League,38,1981,1,1,90,1.0,3,3.00,3,0,0.0,0,1,0,0,0.0,0,0,0,0,,Matches
29,Marc-Aurèle Caillard\5ee6e943,fr FRA,GK,Metz,fr Ligue 1,26,1994,5,4,361,4.0,10,2.49,20,13,65.0,0,1,3,0,0.0,3,3,0,0,0.0,Matches
30,Cárdenas\e1846dde,es ESP,GK,Levante,es La Liga,23,1997,8,8,720,8.0,11,1.37,41,26,73.2,1,3,4,1,12.5,1,0,0,1,,Matches
31,Scott Carson\3e1550ee,eng ENG,GK,Manchester City,eng Premier League,34,1985,1,1,90,1.0,3,3.00,3,1,33.3,1,0,0,0,0.0,2,1,1,0,50.0,Matches
32,Kiko Casilla\58bc7d18,es ESP,GK,Leeds United,eng Premier League,33,1986,3,3,270,3.0,2,0.67,12,10,83.3,2,0,1,1,33.3,0,0,0,0,,Matches
33,Koen Casteels\db401046,be BEL,GK,Wolfsburg,de Bundesliga,28,1992,32,32,2880,32.0,33,1.03,101,72,70.3,17,9,6,14,43.8,5,3,2,0,40.0,Matches
34,Sébastien Cibois\2b9b37b2,fr FRA,GK,Brest,fr Ligue 1,22,1998,3,3,270,3.0,4,1.33,10,7,70.0,1,1,1,1,33.3,1,1,0,0,0.0,Matches
35,Alberto Cifuentes\94084f83,es ESP,GK,Cádiz,es La Liga,41,1979,2,2,180,2.0,3,1.50,6,3,50.0,1,0,1,1,50.0,0,0,0,0,,Matches
36,Jasper Cillessen\04ac8285,nl NED,GK,Valencia,es La Liga,31,1989,10,10,900,10.0,11,1.10,45,33,77.8,5,1,4,3,30.0,2,1,1,0,50.0,Matches
37,Simone Colombi\72be9309,it ITA,GK,Parma,it Serie A,29,1991,2,2,180,2.0,7,3.50,9,3,33.3,0,0,2,0,0.0,1,1,0,0,0.0,Matches
38,Andrea Consigli\8cabdc1e,it ITA,GK,Sassuolo,it Serie A,33,1987,37,37,3330,37.0,56,1.51,180,127,71.1,17,10,10,7,18.9,5,4,1,0,20.0,Matches
39,Alex Cordaz\e66ebabb,it ITA,GK,Crotone,it Serie A,37,1983,36,36,3240,36.0,91,2.53,203,115,57.6,6,3,27,2,5.6,5,5,0,0,0.0,Matches
40,Angelo da Costa Júnior\18736214,br BRA,GK,Bologna,it Serie A,36,1983,6,6,540,6.0,9,1.50,26,17,69.2,0,5,1,1,16.7,1,1,0,0,0.0,Matches
41,Benoît Costil\2434f24a,fr FRA,GK,Bordeaux,fr Ligue 1,33,1987,38,38,3420,38.0,57,1.50,148,98,66.2,13,6,19,14,36.8,8,7,1,0,12.5,Matches
42,Thibaut Courtois\1840e36d,be BEL,GK,Real Madrid,es La Liga,28,1992,38,38,3420,38.0,28,0.74,111,90,81.1,25,9,4,17,44.7,9,7,2,0,22.2,Matches
