Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
11,Francesco Bardi\0acda699,it ITA,GK,Frosinone,it Serie A,26,1992,3,3,270,3.0,5,1.67,11,6,54.5,0,1,2,1,33.3,0,0,0,0,,Matches
12,Oliver Baumann\47064058,de GER,GK,Hoffenheim,de Bundesliga,28,1990,33,33,2970,33.0,51,1.55,159,114,71.7,12,12,9,5,15.2,7,6,1,0,14.3,Matches
13,Asmir Begović\7b4de647,ba BIH,GK,Bournemouth,eng Premier League,31,1987,24,24,2160,24.0,47,1.96,102,58,55.9,8,3,13,5,20.8,2,2,0,0,0.0,Matches
14,Diego Benaglio\b7e7937d,ch SUI,GK,Monaco,fr Ligue 1,34,1983,23,22,2057,22.9,38,1.66,94,60,62.8,4,6,12,4,18.2,5,3,2,0,40.0,Matches
15,Walter Benítez\8a2248b4,ar ARG,GK,Nice,fr Ligue 1,25,1993,35,35,3150,35.0,29,0.83,141,115,80.9,15,10,10,16,45.7,5,2,3,0,60.0,Matches
16,Etrit Berisha\ee833569,al ALB,GK,Atalanta,it Serie A,29,1989,18,18,1620,18.0,25,1.39,64,43,62.5,9,3,6,5,27.8,2,1,0,1,0.0,Matches
17,Paul Bernardoni\28dabd43,fr FRA,GK,Nîmes,fr Ligue 1,21,1997,38,38,3420,38.0,58,1.53,177,122,69.5,15,8,15,10,26.3,5,4,1,0,20.0,Matches
18,Dimitry Bertaud\380a15e2,fr FRA,GK,Montpellier,fr Ligue 1,20,1998,1,1,90,1.0,0,0.00,1,1,100.0,0,1,0,1,100.0,0,0,0,0,,Matches
19,Marcus Bettinelli\0d85a4e8,eng ENG,GK,Fulham,eng Premier League,26,1992,7,7,630,7.0,20,2.86,38,18,50.0,1,2,4,0,0.0,3,1,1,1,50.0,Matches
20,Rubén Blanco\967f34d3,es ESP,GK,Celta Vigo,es La Liga,23,1995,25,25,2250,25.0,40,1.60,106,70,66.0,7,6,12,6,24.0,5,4,0,1,0.0,Matches
21,Artur Boruc\34ccf6fa,pl POL,GK,Bournemouth,eng Premier League,38,1980,12,12,1080,12.0,18,1.50,52,36,71.2,4,3,5,4,33.3,3,3,0,0,0.0,Matches
22,Zacharie Boucher\249cdcff,fr FRA,GK,Angers,fr Ligue 1,26,1992,2,2,180,2.0,1,0.50,4,3,75.0,1,1,0,1,50.0,0,0,0,0,,Matches
23,Yassine Bounou\f6798fc3,ma MAR,GK,Girona,es La Liga,27,1991,32,32,2862,31.8,43,1.35,162,126,77.2,8,10,14,8,25.0,6,6,0,0,0.0,Matches
24,Fabian Bredlow\d28339cb,de GER,GK,Nürnberg,de Bundesliga,23,1995,14,12,1127,12.5,28,2.24,60,32,55.0,2,3,7,2,16.7,3,1,1,1,50.0,Matches
25,Gianluigi Buffon\e40d028b,it ITA,GK,Paris S-G,fr Ligue 1,40,1978,17,17,1530,17.0,18,1.06,61,47,72.1,13,1,3,6,35.3,2,1,1,0,50.0,Matches
26,Roman Bürki\9d12e142,ch SUI,GK,Dortmund,de Bundesliga,27,1990,32,32,2880,32.0,40,1.25,125,88,71.2,21,7,4,10,31.3,4,4,0,0,0.0,Matches
27,Ludovic Butelle\26975a92,fr FRA,GK,Angers,fr Ligue 1,35,1983,36,36,3239,36.0,48,1.33,156,112,71.2,9,15,12,12,33.3,5,3,2,0,40.0,Matches
28,David Button\e608ed4c,eng ENG,GK,Brighton,eng Premier League,29,1989,4,4,360,4.0,5,1.25,16,12,81.3,1,1,2,1,25.0,2,2,0,0,0.0,Matches
29,Willy Caballero\a179d516,ar ARG,GK,Chelsea,eng Premier League,36,1981,2,2,180,2.0,0,0.00,3,3,100.0,1,1,0,2,100.0,0,0,0,0,,Matches
30,Rafael Cabral\806f7a26,br BRA,GK,Sampdoria,it Serie A,28,1990,2,2,180,2.0,0,0.00,2,2,100.0,1,1,0,2,100.0,0,0,0,0,,Matches
31,Marc-Aurèle Caillard\5ee6e943,fr FRA,GK,Guingamp,fr Ligue 1,24,1994,21,21,1890,21.0,34,1.62,90,56,63.3,4,7,10,6,28.6,2,1,1,0,50.0,Matches
32,Yoan Cardinale\950ff24d,fr FRA,GK,Nice,fr Ligue 1,24,1994,3,3,270,3.0,6,2.00,12,7,58.3,0,1,2,0,0.0,1,1,0,0,0.0,Matches
33,Koen Casteels\db401046,be BEL,GK,Wolfsburg,de Bundesliga,26,1992,26,26,2295,25.5,39,1.53,121,86,71.1,11,6,9,8,30.8,5,4,1,0,20.0,Matches
34,Petr Čech\71672fa0,cz CZE,GK,Arsenal,eng Premier League,36,1982,7,7,585,6.5,9,1.38,35,26,74.3,5,0,2,2,28.6,0,0,0,0,,Matches
35,Leandro Chichizola\8d957256,ar ARG,GK,Getafe,es La Liga,28,1990,1,1,90,1.0,1,1.00,1,0,0.0,1,0,0,0,0.0,0,0,0,0,,Matches
36,Jasper Cillessen\04ac8285,nl NED,GK,Barcelona,es La Liga,29,1989,3,3,270,3.0,4,1.33,13,10,76.9,1,1,1,1,33.3,1,1,0,0,0.0,Matches
37,Joel Coleman\b73e459a,eng ENG,GK,Huddersfield,eng Premier League,22,1995,1,1,90,1.0,1,1.00,3,1,66.7,0,1,0,0,0.0,0,0,0,0,,Matches
38,Andrea Consigli\8cabdc1e,it ITA,GK,Sassuolo,it Serie A,31,1987,36,36,3213,35.7,56,1.57,144,94,63.9,9,15,12,12,33.3,8,4,3,1,42.9,Matches
39,Benoît Costil\2434f24a,fr FRA,GK,Bordeaux,fr Ligue 1,31,1987,37,37,3330,37.0,42,1.14,146,110,75.3,9,11,17,10,27.0,7,6,1,0,14.3,Matches
40,Thibaut Courtois\1840e36d,be BEL,GK,Real Madrid,es La Liga,26,1992,27,27,2430,27.0,36,1.33,100,70,70.0,14,3,10,8,29.6,8,6,1,1,14.3,Matches
41,Alessio Cragno\f554e29b,it ITA,GK,Cagliari,it Serie A,24,1994,38,38,3420,38.0,54,1.42,195,147,76.4,10,11,17,7,18.4,10,8,2,0,20.0,Matches
42,Iván Cuéllar\75751c99,es ESP,GK,Leganés,es La Liga,34,1984,34,34,3056,33.9,38,1.12,111,76,67.6,10,12,12,10,29.4,2,2,0,0,0.0,Matches
43,Abdoulaye Diallo\26383ea5,sn SEN,GK,Rennes,fr Ligue 1,26,1992,6,6,495,5.5,4,0.73,18,15,83.3,3,2,1,2,33.3,1,1,0,0,0.0,Matches
44,Javier Díaz\17a1299d,es ESP,GK,Sevilla,es La Liga,21,1997,1,1,90,1.0,1,1.00,0,0,,0,0,1,0,0.0,1,1,0,0,0.0,Matches
45,Stole Dimitrievski\fc70e345,mk MKD,GK,Rayo Vallecano,es La Liga,24,1993,21,21,1890,21.0,35,1.67,91,62,68.1,5,4,12,3,14.3,7,6,1,0,14.3,Matches
46,Marko Dmitrović\ac295d9e,rs SRB,GK,Eibar,es La Liga,26,1992,24,24,2160,24.0,30,1.25,81,54,66.7,9,6,9,5,20.8,4,3,1,0,25.0,Matches
47,Jaume Doménech\c9cb972b,es ESP,GK,Valencia,es La Liga,27,1990,4,4,360,4.0,1,0.25,12,10,91.7,2,2,0,3,75.0,0,0,0,0,,Matches
48,Gianluigi Donnarumma\08f5afaa,it ITA,GK,Milan,it Serie A,19,1999,36,36,3092,34.3,31,0.90,121,94,76.9,18,11,7,11,30.6,4,3,1,0,25.0,Matches
49,Bartłomiej Drągowski\085e71a7,pl POL,GK,Fiorentina,it Serie A,20,1997,3,2,225,2.5,2,0.80,7,5,71.4,0,1,1,1,50.0,0,0,0,0,,Matches
50,Bartłomiej Drągowski\085e71a7,pl POL,GK,Empoli,it Serie A,20,1997,14,14,1260,14.0,24,1.71,91,70,76.9,5,2,7,3,21.4,4,3,1,0,25.0,Matches
51,Jaroslav Drobný\e4a30d8c,cz CZE,GK,Düsseldorf,de Bundesliga,38,1979,2,2,180,2.0,3,1.50,9,6,66.7,1,0,1,0,0.0,0,0,0,0,,Matches
52,Martin Dúbravka\3a949a25,sk SVK,GK,Newcastle Utd,eng Premier League,29,1989,38,38,3420,38.0,48,1.26,136,95,69.1,12,9,17,11,28.9,6,6,0,0,0.0,Matches
53,Maxime Dupé\0e12089d,fr FRA,GK,Nantes,fr Ligue 1,25,1993,11,10,939,10.4,17,1.63,31,16,51.6,5,3,2,1,10.0,3,2,1,0,33.3,Matches
54,Ederson\3bb7b8b4,br BRA,GK,Manchester City,eng Premier League,24,1993,38,38,3420,38.0,23,0.61,76,57,75.0,32,2,4,20,52.6,4,4,0,0,0.0,Matches
55,Michael Esser\83e0eeb4,de GER,GK,Hannover 96,de Bundesliga,30,1987,32,32,2880,32.0,67,2.09,209,149,70.3,5,6,21,5,15.6,6,5,1,0,16.7,Matches
56,Neil Etheridge\2642bf6c,ph PHI,GK,Cardiff City,eng Premier League,28,1990,38,38,3420,38.0,69,1.82,201,135,67.7,10,4,24,10,26.3,7,4,3,0,42.9,Matches
57,Łukasz Fabiański\9328b835,pl POL,GK,West Ham,eng Premier League,33,1985,38,38,3420,38.0,55,1.45,192,140,73.4,15,7,16,7,18.4,5,4,1,0,20.0,Matches
58,Fabricio\af245161,es ESP,GK,Fulham,eng Premier League,30,1987,2,2,180,2.0,5,2.50,22,16,77.3,0,0,2,0,0.0,0,0,0,0,,Matches
59,Ralf Fährmann\1e43fad8,de GER,GK,Schalke 04,de Bundesliga,29,1988,17,16,1469,16.3,26,1.59,80,57,70.0,4,3,9,3,18.8,2,2,0,0,0.0,Matches
60,Aitor Fernández\a01c3d54,es ESP,GK,Levante,es La Liga,27,1991,16,16,1440,16.0,24,1.50,74,56,73.0,4,5,7,2,12.5,4,4,0,0,0.0,Matches
61,Andrés Fernández\307fcd26,es ESP,GK,Villarreal,es La Liga,31,1986,6,6,540,6.0,7,1.17,22,16,72.7,3,2,1,2,33.3,1,1,0,0,0.0,Matches
62,Mark Flekken\a92ab7be,nl NED,GK,Freiburg,de Bundesliga,25,1993,1,1,90,1.0,1,1.00,5,4,80.0,1,0,0,0,0.0,0,0,0,0,,Matches
63,Fraser Forster\c3e39f12,eng ENG,GK,Southampton,eng Premier League,30,1988,1,1,90,1.0,3,3.00,6,3,50.0,0,0,1,0,0.0,0,0,0,0,,Matches
64,Ben Foster\d0b3ceb9,eng ENG,GK,Watford,eng Premier League,35,1983,38,38,3420,38.0,59,1.55,170,114,67.6,14,8,16,7,18.4,5,4,1,0,20.0,Matches
65,Pierluigi Frattali\71dac2c2,it ITA,GK,Parma,it Serie A,32,1985,1,1,90,1.0,2,2.00,9,7,77.8,0,0,1,0,0.0,0,0,0,0,,Matches
66,Alberto García\17d9e354,es ESP,GK,Rayo Vallecano,es La Liga,33,1985,17,17,1530,17.0,35,2.06,83,51,59.0,3,4,10,4,23.5,4,1,3,0,75.0,Matches
67,Paulo Gazzaniga\63d17038,ar ARG,GK,Tottenham,eng Premier League,26,1992,3,3,270,3.0,2,0.67,13,11,84.6,2,0,1,1,33.3,0,0,0,0,,Matches
68,David de Gea\7ba6d84e,es ESP,GK,Manchester Utd,eng Premier League,27,1990,38,38,3420,38.0,54,1.42,169,124,71.6,19,9,10,7,18.4,6,6,0,0,0.0,Matches
69,Fabian Giefer\fbefefdb,de GER,GK,Augsburg,de Bundesliga,28,1990,4,4,360,4.0,7,1.75,18,11,61.1,1,1,2,0,0.0,0,0,0,0,,Matches
70,Mauro Goicoechea\132bb875,uy URU,GK,Toulouse,fr Ligue 1,30,1988,8,7,712,7.9,12,1.52,35,24,68.6,2,3,2,3,42.9,1,1,0,0,0.0,Matches
71,Pierluigi Gollini\f0f7f62f,it ITA,GK,Atalanta,it Serie A,23,1995,20,20,1800,20.0,21,1.05,68,50,73.5,11,6,3,4,20.0,3,3,0,0,0.0,Matches
72,Alfred Gomis\cecbce23,sn SEN,GK,SPAL,it Serie A,24,1993,20,19,1723,19.2,27,1.41,76,50,65.8,3,6,10,6,31.6,1,1,0,0,0.0,Matches
73,Mathieu Gorgelin\4d3e9033,fr FRA,GK,Lyon,fr Ligue 1,27,1990,4,4,360,4.0,5,1.25,15,10,66.7,3,0,1,1,25.0,0,0,0,0,,Matches
74,Vicente Guaita\ab13a5aa,es ESP,GK,Crystal Palace,eng Premier League,31,1987,20,20,1755,19.5,23,1.18,84,60,73.8,10,4,6,7,35.0,1,1,0,0,0.0,Matches
75,Guido Guerrieri\77e401c7,it ITA,GK,Lazio,it Serie A,22,1996,1,1,90,1.0,3,3.00,5,2,40.0,0,1,0,0,0.0,0,0,0,0,,Matches
76,Péter Gulácsi\bcb2ccd8,hu HUN,GK,RB Leipzig,de Bundesliga,28,1990,33,33,2925,32.5,28,0.86,108,86,77.8,19,9,5,16,48.5,5,4,0,1,0.0,Matches
77,Angus Gunn\e082af5b,eng ENG,GK,Southampton,eng Premier League,22,1996,12,12,1080,12.0,18,1.50,48,30,62.5,4,4,4,3,25.0,1,0,1,0,100.0,Matches
78,Régis Gurtner\bc270726,fr FRA,GK,Amiens,fr Ligue 1,31,1986,38,38,3420,38.0,54,1.42,155,109,69.0,9,11,18,11,28.9,9,6,2,1,25.0,Matches
79,Ben Hamer\d822a850,eng ENG,GK,Huddersfield,eng Premier League,30,1987,7,7,553,6.1,21,3.42,38,21,52.6,0,1,6,1,14.3,3,3,0,0,0.0,Matches
80,Samir Handanović\74419746,si SVN,GK,Inter,it Serie A,34,1984,38,38,3420,38.0,33,0.87,128,101,76.6,20,9,9,17,44.7,5,3,0,2,0.0,Matches
81,Joe Hart\cb4f24c6,eng ENG,GK,Burnley,eng Premier League,31,1987,19,19,1710,19.0,41,2.16,116,77,65.5,3,3,13,4,21.1,2,1,1,0,50.0,Matches
82,Tom Heaton\a6de6361,eng ENG,GK,Burnley,eng Premier League,32,1986,19,19,1710,19.0,27,1.42,81,57,67.9,8,4,7,4,21.1,1,1,0,0,0.0,Matches
83,Wayne Hennessey\76eca7e2,wls WAL,GK,Crystal Palace,eng Premier League,31,1987,18,17,1575,17.5,26,1.49,65,42,64.6,4,3,10,5,29.4,4,3,1,0,25.0,Matches
84,Iago Herrerín\9109185e,es ESP,GK,Athletic Club,es La Liga,30,1988,31,31,2790,31.0,32,1.03,85,56,65.9,12,10,9,10,32.3,3,3,0,0,0.0,Matches
85,Marwin Hitz\2e7ff968,ch SUI,GK,Dortmund,de Bundesliga,30,1987,2,2,180,2.0,4,2.00,5,1,20.0,2,0,0,0,0.0,1,0,0,1,,Matches
86,Lukáš Hrádecký\ad3389d5,fi FIN,GK,Leverkusen,de Bundesliga,28,1989,32,32,2880,32.0,49,1.53,125,83,63.2,18,4,10,9,28.1,4,3,1,0,25.0,Matches
87,Salvador Ichazo\514f0896,uy URU,GK,Torino,it Serie A,26,1992,3,2,250,2.8,2,0.72,8,7,87.5,1,1,0,1,50.0,1,1,0,0,0.0,Matches
88,Gorka Iraizoz\26f2473f,es ESP,GK,Girona,es La Liga,37,1981,7,6,558,6.2,10,1.61,36,29,77.8,1,0,5,1,16.7,2,2,0,0,0.0,Matches
89,Jandrei\85ea4399,br BRA,GK,Genoa,it Serie A,25,1993,1,1,90,1.0,1,1.00,2,0,50.0,0,0,1,0,0.0,0,0,0,0,,Matches
90,Rune Jarstein\27d2618c,no NOR,GK,Hertha BSC,de Bundesliga,33,1984,31,31,2745,30.5,48,1.57,141,96,67.4,9,10,12,8,25.8,4,2,1,1,33.3,Matches
91,Karl-Johan Johnsson\a56bd2ee,se SWE,GK,Guingamp,fr Ligue 1,28,1990,17,17,1530,17.0,34,2.00,73,41,56.2,1,5,11,4,23.5,4,2,1,1,33.3,Matches
92,Aleksandar Jovanović\129dd8e7,rs SRB,GK,Huesca,es La Liga,25,1992,12,12,1080,12.0,19,1.58,43,27,60.5,1,4,7,0,0.0,2,2,0,0,0.0,Matches
93,Stefanos Kapino\62ba5881,gr GRE,GK,Werder Bremen,de Bundesliga,24,1994,1,0,45,0.5,1,2.00,3,2,66.7,0,0,0,0,,0,0,0,0,,Matches
94,Orestis Karnezis\85b011bb,gr GRE,GK,Napoli,it Serie A,33,1985,9,9,810,9.0,7,0.78,25,19,76.0,6,2,1,4,44.4,1,1,0,0,0.0,Matches
95,Eiji Kawashima\a4527d33,jp JPN,GK,Strasbourg,fr Ligue 1,35,1983,1,1,90,1.0,0,0.00,1,1,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
96,Gregor Kobel\cd59b9df,ch SUI,GK,Hoffenheim,de Bundesliga,20,1997,1,1,90,1.0,1,1.00,6,6,100.0,1,0,0,0,0.0,1,1,0,0,0.0,Matches
97,Gregor Kobel\cd59b9df,ch SUI,GK,Augsburg,de Bundesliga,20,1997,16,16,1390,15.4,42,2.72,85,44,51.8,4,2,10,3,18.8,2,1,1,0,50.0,Matches
98,Tomáš Koubek\dc366c36,cz CZE,GK,Rennes,fr Ligue 1,25,1992,33,32,2925,32.5,48,1.48,134,90,66.4,10,11,11,9,28.1,4,3,1,0,25.0,Matches
99,Thomas Kraft\bb25c778,de GER,GK,Hertha BSC,de Bundesliga,30,1988,4,3,315,3.5,9,2.57,13,6,46.2,2,0,1,1,33.3,2,2,0,0,0.0,Matches
100,Alban Lafont\4e7db402,fr FRA,GK,Fiorentina,it Serie A,19,1999,34,34,3015,33.5,40,1.19,118,86,70.3,8,15,11,9,26.5,6,5,1,0,16.7,Matches
101,Benjamin Lecomte\2fa2a875,fr FRA,GK,Montpellier,fr Ligue 1,27,1991,37,37,3330,37.0,42,1.14,136,100,71.3,15,13,9,11,29.7,5,3,1,1,25.0,Matches
102,Bernd Leno\2628fd2b,de GER,GK,Arsenal,eng Premier League,26,1992,32,31,2835,31.5,42,1.33,137,103,74.5,16,7,8,7,22.6,7,7,0,0,0.0,Matches
103,Hugo Lloris\8f62b6ee,fr FRA,GK,Tottenham,eng Premier League,31,1986,33,33,2970,33.0,33,1.00,121,92,75.2,21,2,10,12,36.4,5,3,2,0,40.0,Matches
104,Anthony Lopes\f00de885,pt POR,GK,Lyon,fr Ligue 1,27,1990,34,34,3060,34.0,42,1.24,131,97,71.8,18,9,7,9,26.5,5,5,0,0,0.0,Matches
105,Diego López\73683fa9,es ESP,GK,Espanyol,es La Liga,36,1981,38,38,3420,38.0,50,1.32,156,114,71.8,14,11,13,10,26.3,8,6,2,0,25.0,Matches
106,Pau López\20b9f052,es ESP,GK,Betis,es La Liga,23,1994,33,33,2970,33.0,47,1.42,135,91,67.4,12,7,14,10,30.3,4,3,1,0,25.0,Matches
107,Jonas Lössl\939bc634,dk DEN,GK,Huddersfield,eng Premier League,29,1989,31,30,2777,30.9,54,1.75,136,86,63.2,3,5,22,5,16.7,5,4,1,0,20.0,Matches
108,Andriy Lunin\3061e1ec,ua UKR,GK,Leganés,es La Liga,19,1999,5,4,364,4.1,5,1.24,18,13,77.8,1,0,3,2,50.0,2,1,1,0,50.0,Matches
109,Andreas Luthe\7fe12375,de GER,GK,Augsburg,de Bundesliga,31,1987,15,14,1310,14.6,22,1.51,77,56,71.4,3,5,6,2,14.3,0,0,0,0,,Matches
110,Mike Maignan\fcb38f57,fr FRA,GK,Lille,fr Ligue 1,23,1995,38,38,3420,38.0,34,0.89,118,91,76.3,22,9,7,15,39.5,10,6,2,2,25.0,Matches
111,Steve Mandanda\1d2d5cc8,fr FRA,GK,Marseille,fr Ligue 1,33,1985,31,31,2736,30.4,41,1.35,108,74,67.6,14,5,12,9,29.0,7,6,1,0,14.3,Matches
112,Federico Marchetti\f794b426,it ITA,GK,Genoa,it Serie A,35,1983,4,4,360,4.0,10,2.50,19,10,47.4,2,0,2,1,25.0,0,0,0,0,,Matches
113,Jordi Masip\8fae77ea,es ESP,GK,Valladolid,es La Liga,29,1989,35,35,3150,35.0,45,1.29,140,102,71.4,10,9,16,9,25.7,8,5,3,0,37.5,Matches
114,Christian Mathenia\4a15e95b,de GER,GK,Nürnberg,de Bundesliga,26,1992,22,22,1933,21.5,40,1.86,116,75,66.4,1,7,14,2,9.1,1,1,0,0,0.0,Matches
115,Alex McCarthy\36c2ca73,eng ENG,GK,Southampton,eng Premier League,28,1989,25,25,2250,25.0,44,1.76,116,77,63.8,5,8,12,4,16.0,2,2,0,0,0.0,Matches
116,Edouard Mendy\33887998,sn SEN,GK,Reims,fr Ligue 1,26,1992,38,38,3420,38.0,42,1.11,147,114,76.2,13,16,9,14,36.8,7,7,0,0,0.0,Matches
117,Alex Meret\9413b19f,it ITA,GK,Napoli,it Serie A,21,1997,14,13,1150,12.8,9,0.70,47,40,85.1,9,1,3,5,38.5,2,2,0,0,0.0,Matches
118,Vanja Milinković-Savić\9fa26bc2,rs SRB,GK,SPAL,it Serie A,21,1997,2,2,164,1.8,4,2.20,16,12,75.0,1,0,1,1,50.0,0,0,0,0,,Matches
119,Antonio Mirante\30223b33,it ITA,GK,Roma,it Serie A,35,1983,11,11,990,11.0,6,0.55,36,28,83.3,6,4,1,6,54.5,1,0,1,0,100.0,Matches
120,Jessy Moulin\28a65a2c,fr FRA,GK,Saint-Étienne,fr Ligue 1,32,1986,1,1,90,1.0,1,1.00,5,5,80.0,0,1,0,0,0.0,0,0,0,0,,Matches
121,Florian Müller\cbac6ec9,de GER,GK,Mainz 05,de Bundesliga,20,1997,24,24,2160,24.0,43,1.79,118,78,66.1,8,3,13,5,20.8,4,3,0,1,0.0,Matches
122,Juan Musso\a111cf41,ar ARG,GK,Udinese,it Serie A,24,1994,29,29,2610,29.0,40,1.38,133,101,75.9,9,8,12,7,24.1,8,8,0,0,0.0,Matches
123,Yvon Mvogo\dc29b608,ch SUI,GK,RB Leipzig,de Bundesliga,24,1994,2,1,135,1.5,2,1.33,3,2,66.7,0,0,1,1,100.0,1,1,0,0,0.0,Matches
124,Keylor Navas\ecada4fc,cr CRC,GK,Real Madrid,es La Liga,31,1986,10,10,900,10.0,8,0.80,30,22,73.3,6,2,2,4,40.0,0,0,0,0,,Matches
125,Neto\a9dc785c,br BRA,GK,Valencia,es La Liga,29,1989,34,34,3060,34.0,34,1.00,134,109,79.9,13,14,7,10,29.4,8,7,1,0,12.5,Matches
126,Manuel Neuer\8778c910,de GER,GK,Bayern Munich,de Bundesliga,32,1986,26,26,2303,25.6,23,0.90,51,32,60.8,20,3,3,10,38.5,3,3,0,0,0.0,Matches
127,Will Norris\c73ada83,eng ENG,GK,Wolves,eng Premier League,24,1993,1,0,,0.0,0,,0,0,,0,0,0,1,,0,0,0,0,,Matches
128,Alexander Nübel\afb0c500,de GER,GK,Schalke 04,de Bundesliga,21,1996,18,18,1588,17.6,29,1.64,77,49,66.2,4,6,8,4,22.2,4,3,1,0,25.0,Matches
129,Jan Oblak\ee8508c0,si SVN,GK,Atlético Madrid,es La Liga,25,1993,37,37,3330,37.0,27,0.73,123,103,82.1,22,9,6,20,54.1,5,5,0,0,0.0,Matches
130,Oier Olazábal\b5bdf144,es ESP,GK,Levante,es La Liga,28,1989,21,21,1890,21.0,40,1.90,134,99,73.1,7,5,9,5,23.8,5,4,1,0,20.0,Matches
131,Alexandre Olliero\c977ef13,fr FRA,GK,Nantes,fr Ligue 1,22,1996,1,1,90,1.0,1,1.00,0,0,,0,0,1,0,0.0,1,1,0,0,0.0,Matches
132,Robin Olsen\e7ee38c3,se SWE,GK,Roma,it Serie A,28,1990,27,27,2430,27.0,42,1.56,124,87,69.4,12,8,7,4,14.8,6,4,0,2,0.0,Matches
133,David Ospina\82b1198a,co COL,GK,Napoli,it Serie A,29,1988,17,16,1457,16.2,20,1.24,63,44,69.8,9,4,3,5,31.3,1,1,0,0,0.0,Matches
134,Ramazan Özcan\a165a577,at AUT,GK,Leverkusen,de Bundesliga,34,1984,2,2,180,2.0,5,2.50,12,8,66.7,0,0,2,0,0.0,2,1,1,0,50.0,Matches
135,Fernando Pacheco\97852360,es ESP,GK,Alavés,es La Liga,26,1992,35,35,3150,35.0,46,1.31,145,105,72.4,11,11,13,8,22.9,6,6,0,0,0.0,Matches
136,Rui Patrício\79b0d6a0,pt POR,GK,Wolves,eng Premier League,30,1988,37,37,3330,37.0,46,1.24,136,95,68.4,15,9,13,8,21.6,4,3,0,1,0.0,Matches
137,Jiří Pavlenka\0a1cb833,cz CZE,GK,Werder Bremen,de Bundesliga,26,1992,34,34,2978,33.1,47,1.42,153,108,71.2,14,11,9,5,14.7,4,3,0,1,0.0,Matches
138,Gianluca Pegolo\f058ed1f,it ITA,GK,Sassuolo,it Serie A,37,1981,3,2,202,2.3,4,1.78,12,8,66.7,0,1,1,0,0.0,0,0,0,0,,Matches
139,Yohann Pelé\76806215,fr FRA,GK,Marseille,fr Ligue 1,35,1982,9,7,680,7.6,12,1.59,22,14,63.6,4,2,1,3,42.9,5,4,1,0,20.0,Matches
140,Mattia Perin\4c62d0c8,it ITA,GK,Juventus,it Serie A,25,1992,9,9,810,9.0,8,0.89,26,19,73.1,6,1,2,5,55.6,1,1,0,0,0.0,Matches
141,Pavao Pervan\c89e8aae,at AUT,GK,Wolfsburg,de Bundesliga,30,1987,10,8,765,8.5,11,1.29,41,29,73.2,5,1,2,1,12.5,1,0,0,1,,Matches
142,Jordan Pickford\4806ec67,eng ENG,GK,Everton,eng Premier League,24,1994,38,38,3420,38.0,46,1.21,130,87,66.2,15,9,14,14,36.8,5,2,3,0,60.0,Matches
143,Carlo Pinsoglio\f6a06749,it ITA,GK,Juventus,it Serie A,28,1990,1,1,90,1.0,2,2.00,3,1,33.3,0,0,1,0,0.0,0,0,0,0,,Matches
