Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Antonio Adán\65d62814,es ESP,GK,Atlético Madrid,es La Liga,31,1987,2,1,90,1.0,2,2.00,7,5,71.4,0,1,0,0,0.0,0,0,0,0,,Matches
2,Rúnar Alex Rúnarsson\8fa8f8d2,is ISL,GK,Dijon,fr Ligue 1,23,1995,25,25,2250,25.0,44,1.76,96,55,56.3,7,5,13,5,20.0,2,2,0,0,0.0,Matches
3,Alisson\7a2e46a8,br BRA,GK,Liverpool,eng Premier League,25,1992,38,38,3420,38.0,22,0.58,96,74,77.1,30,7,1,21,55.3,1,0,0,1,,Matches
4,Bobby Allain\8870154f,fr FRA,GK,Dijon,fr Ligue 1,26,1991,13,13,1170,13.0,17,1.31,74,58,78.4,2,2,9,1,7.7,1,1,0,0,0.0,Matches
5,Sergio Álvarez\8875b8c9,es ESP,GK,Celta Vigo,es La Liga,31,1986,13,13,1170,13.0,22,1.69,57,38,64.9,3,5,5,2,15.4,2,2,0,0,0.0,Matches
6,Miguel Ángel Moyá\011d8c56,es ESP,GK,Real Sociedad,es La Liga,34,1984,11,11,990,11.0,11,1.00,33,22,66.7,3,2,6,2,18.2,0,0,0,0,,Matches
7,Alphonse Areola\2f965a72,fr FRA,GK,Paris S-G,fr Ligue 1,25,1993,21,21,1890,21.0,17,0.81,63,51,79.4,16,3,2,11,52.4,4,4,0,0,0.0,Matches
8,Kepa Arrizabalaga\28d596a0,es ESP,GK,Chelsea,eng Premier League,23,1994,36,36,3240,36.0,39,1.08,117,78,67.5,20,8,8,14,38.9,2,1,1,0,50.0,Matches
9,Sergio Asenjo\9f0ea33f,es ESP,GK,Villarreal,es La Liga,29,1989,32,32,2880,32.0,45,1.41,164,124,73.8,7,12,13,9,28.1,4,2,1,1,33.3,Matches
10,Emil Audero\649b01d8,it ITA,GK,Sampdoria,it Serie A,21,1997,36,36,3240,36.0,51,1.42,142,98,69.0,14,7,15,11,30.6,8,7,1,0,12.5,Matches
