Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
24,Martin Agirregabiria\355c883a,es ESP,DF,Alavés,es La Liga,21,1996,21,20,1828,20.3,0,4,0,0,0,4,0,0.00,0.20,0.20,0.00,0.20,0.0,0.0,1.2,1.2,0.00,0.06,0.06,0.00,0.06,Matches
25,Imanol Agirretxe\c84c1afc,es ESP,FW,Real Sociedad,es La Liga,30,1987,11,2,232,2.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.2,1.2,0.1,1.2,0.46,0.02,0.48,0.46,0.48,Matches
26,Sergio Agüero\4d034881,ar ARG,FW,Manchester City,eng Premier League,29,1988,25,22,1963,21.8,21,6,17,4,4,2,0,0.96,0.28,1.24,0.78,1.05,17.5,14.4,7.4,21.8,0.80,0.34,1.14,0.66,1.00,Matches
27,Ruben Aguilar\3dd738a1,fr FRA,DFMF,Montpellier,fr Ligue 1,24,1993,31,27,2459,27.3,0,3,0,0,0,2,0,0.00,0.11,0.11,0.00,0.11,0.7,0.7,2.6,3.3,0.03,0.09,0.12,0.03,0.12,Matches
28,Matías Aguirregaray\8617e3d9,uy URU,DF,Las Palmas,es La Liga,28,1989,15,14,1153,12.8,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.6,1.0,0.04,0.04,0.08,0.04,0.08,Matches
29,Jean-Eudes Aholou\48b28bfd,ci CIV,MF,Strasbourg,fr Ligue 1,23,1994,35,35,3006,33.4,5,0,5,0,0,4,0,0.15,0.00,0.15,0.15,0.15,2.9,2.9,0.6,3.6,0.09,0.02,0.11,0.09,0.11,Matches
30,Ailton\74ced675,br BRA,DFFW,Stuttgart,de Bundesliga,22,1995,5,1,108,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.02,0.13,0.15,0.02,0.15,Matches
31,Youssef Aït Bennasser\c46fa34c,ma MAR,MF,Caen,fr Ligue 1,21,1996,27,25,2048,22.8,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,1.1,1.8,0.03,0.05,0.08,0.03,0.08,Matches
32,Arlind Ajeti\f9714604,al ALB,DFMF,Crotone,it Serie A,23,1993,21,15,1271,14.1,0,1,0,0,0,7,0,0.00,0.07,0.07,0.00,0.07,0.7,0.7,1.1,1.8,0.05,0.08,0.13,0.05,0.13,Matches
33,Manuel Akanji\89ac64a6,ch SUI,DF,Dortmund,de Bundesliga,22,1995,11,10,904,10.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.02,0.01,0.03,0.02,0.03,Matches
