Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Antonio Adán\65d62814,es ESP,GK,Betis,es La Liga,30,1987,30,30,2700,30.0,53,1.77,128,82,60.9,14,4,12,9,30.0,4,3,1,0,25.0,Matches
2,René Adler\f71890f5,de GER,GK,Mainz 05,de Bundesliga,32,1985,14,14,1260,14.0,18,1.29,51,34,66.7,5,3,6,4,28.6,2,1,0,1,0.0,Matches
3,Adrián\f76e6b4e,es ESP,GK,West Ham,eng Premier League,30,1987,19,19,1710,19.0,29,1.53,96,66,70.8,7,6,6,6,31.6,1,1,0,0,0.0,Matches
4,Alisson\7a2e46a8,br BRA,GK,Roma,it Serie A,24,1992,37,37,3330,37.0,28,0.76,135,107,81.5,22,8,7,17,45.9,5,3,2,0,40.0,Matches
5,Sergio Álvarez\8875b8c9,es ESP,GK,Celta Vigo,es La Liga,30,1986,17,16,1475,16.4,29,1.77,77,50,63.6,3,6,7,3,18.8,1,1,0,0,0.0,Matches
6,Jon Ander Serantes\983ccabe,es ESP,GK,Leganés,es La Liga,27,1989,1,1,90,1.0,2,2.00,9,7,77.8,1,0,0,0,0.0,0,0,0,0,,Matches
7,Nícolas Andrade\326d09ef,br BRA,GK,Hellas Verona,it Serie A,29,1988,36,36,3240,36.0,71,1.97,231,167,71.9,7,4,25,7,19.4,8,6,2,0,25.0,Matches
8,Miguel Ángel Moyá\011d8c56,es ESP,GK,Real Sociedad,es La Liga,33,1984,9,9,765,8.5,8,0.94,30,24,80.0,3,2,4,3,33.3,3,2,1,0,33.3,Matches
9,Alphonse Areola\2f965a72,fr FRA,GK,Paris S-G,fr Ligue 1,24,1993,34,34,3060,34.0,25,0.74,106,82,77.4,26,6,2,17,50.0,2,1,1,0,50.0,Matches
10,Kepa Arrizabalaga\28d596a0,es ESP,GK,Athletic Club,es La Liga,22,1994,30,30,2700,30.0,43,1.43,135,96,68.9,7,9,14,7,23.3,3,1,2,0,66.7,Matches
11,Sergio Asenjo\9f0ea33f,es ESP,GK,Villarreal,es La Liga,28,1989,23,23,2070,23.0,30,1.30,89,62,69.7,12,3,8,6,26.1,5,3,2,0,40.0,Matches
12,Mariano Barbosa\aad4f74f,ar ARG,GK,Villarreal,es La Liga,33,1984,13,12,1125,12.5,14,1.12,47,34,72.3,6,3,3,5,41.7,1,1,0,0,0.0,Matches
13,Oliver Baumann\47064058,de GER,GK,Hoffenheim,de Bundesliga,27,1990,34,34,3060,34.0,48,1.41,146,104,69.2,15,10,9,10,29.4,4,3,1,0,25.0,Matches
14,Asmir Begović\7b4de647,ba BIH,GK,Bournemouth,eng Premier League,30,1987,38,38,3420,38.0,61,1.61,171,113,65.5,11,11,16,6,15.8,4,2,1,1,33.3,Matches
15,Vid Belec\4f8ce0e1,si SVN,GK,Sampdoria,it Serie A,27,1990,2,2,180,2.0,5,2.50,15,11,73.3,0,0,2,0,0.0,1,1,0,0,0.0,Matches
16,Vid Belec\4f8ce0e1,si SVN,GK,Benevento,it Serie A,27,1990,13,13,1113,12.4,32,2.59,73,51,60.3,2,0,10,1,7.7,3,3,0,0,0.0,Matches
17,Diego Benaglio\b7e7937d,ch SUI,GK,Monaco,fr Ligue 1,33,1983,3,2,225,2.5,0,0.00,6,6,100.0,2,0,0,2,100.0,0,0,0,0,,Matches
