Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
1,Patrick van Aanholt\5f09991f,nl NED,DF,Crystal Palace,eng Premier League,28,1990,27.9,1558,1175,383,62,0,222,35,44,45,23,15,3,930,322,306,997,256,21,275,3,1227,8,14,36,47,Matches
2,Max Aarons\774cf58b,eng ENG,DF,Norwich City,eng Premier League,19,2000,36.0,1684,1356,328,27,1,290,10,54,0,0,0,0,1018,391,275,219,1102,45,301,2,1316,0,33,22,70,Matches
3,Yunis Abdelhamid\32c2d95f,ma MAR,DF,Reims,fr Ligue 1,31,1987,28.0,1515,1437,78,75,1,184,49,1,0,0,0,0,1142,141,232,1008,411,66,3,3,1328,3,21,25,12,Matches
4,Suleiman Abdullahi\abf0cad0,ng NGA,FWMF,Union Berlin,de Bundesliga,22,1996,1.7,40,40,0,0,0,8,2,7,0,0,0,0,21,9,10,8,23,5,0,0,18,0,1,1,6,Matches
5,Mehdi Abeid\a4c3f7af,dz ALG,MF,Nantes,fr Ligue 1,26,1992,20.2,957,864,93,42,1,157,50,18,47,16,16,7,684,113,160,104,788,42,4,8,801,3,23,11,12,Matches
6,Charles Abi\469d3d84,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2000,6.9,132,120,12,0,1,53,1,4,0,0,0,0,69,38,25,78,16,11,0,5,74,1,3,3,9,Matches
7,David Abraham\565bf0da,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,18.8,896,843,53,23,0,136,33,5,0,0,0,0,580,134,182,111,673,48,30,6,742,1,20,16,8,Matches
8,Tammy Abraham\f586779e,eng ENG,FW,Chelsea,eng Premier League,21,1997,24.6,412,360,52,0,0,149,5,10,0,0,0,0,259,81,72,31,306,17,0,17,288,1,6,8,26,Matches
9,Amir Abrashi\1c08a3c8,al ALB,MF,Freiburg,de Bundesliga,29,1990,7.4,342,324,18,12,0,61,1,5,0,0,0,0,262,45,35,25,298,9,1,2,298,0,4,5,11,Matches
10,Francesco Acerbi\b96b595c,it ITA,DF,Lazio,it Serie A,31,1988,35.1,2011,1926,85,64,3,215,102,24,1,0,0,0,1428,229,354,1543,324,76,20,5,1809,1,27,8,20,Matches
