Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
15,Francesco Acerbi\b96b595c,it ITA,DF,Lazio,it Serie A,32,1988,31.3,1804,2035,88.6,38629,10443,558,605,92.2,867,918,94.4,344,456,75.4,1,1.0,0.0,12,115,20,9,99,Matches
16,Ragnar Ache\dc38e3bc,de GER,FWDF,Eint Frankfurt,de Bundesliga,22,1998,1.1,19,35,54.3,228,29,13,21,61.9,5,9,55.6,0,0,,0,0.0,0.0,0,1,0,0,1,Matches
17,Marcos Acuña\81442ecb,ar ARG,DF,Sevilla,es La Liga,28,1991,25.9,1426,1771,80.5,28082,11413,558,612,91.2,656,750,87.5,196,359,54.6,2,2.8,-0.8,33,110,36,18,122,Matches
18,Che Adams\f2bf1b0f,sct SCO,FW,Southampton,eng Premier League,24,1996,29.6,443,633,70.0,7359,1633,227,302,75.2,143,184,77.7,51,73,69.9,5,5.8,-0.8,34,27,25,2,61,Matches
19,Tyler Adams\2b09d998,us USA,DFMF,RB Leipzig,de Bundesliga,21,1999,20.6,1184,1375,86.1,19562,5363,587,648,90.6,488,542,90.0,88,140,62.9,1,0.9,+0.1,13,85,19,2,90,Matches
20,Sargis Adamyan\22919e97,am ARM,FWMF,Hoffenheim,de Bundesliga,27,1993,5.3,120,167,71.9,1955,473,61,79,77.2,42,51,82.4,12,20,60.0,3,1.8,+1.2,12,6,8,1,14,Matches
21,Tosin Adarabioyo\c81d773d,eng ENG,DF,Fulham,eng Premier League,22,1997,32.8,1594,1824,87.4,37337,11928,304,340,89.4,934,985,94.8,346,470,73.6,0,0.4,-0.4,5,68,5,1,73,Matches
22,Bobby Adekanye\3ed84b2c,nl NED,FWMF,Cádiz,es La Liga,21,1999,0.4,7,10,70.0,99,1,3,3,100.0,3,4,75.0,0,2,0.0,0,0.0,0.0,0,0,0,0,0,Matches
23,Yacine Adli\26777636,fr FRA,MF,Bordeaux,fr Ligue 1,20,2000,26.9,1346,1629,82.6,27385,6812,507,569,89.1,561,646,86.8,245,347,70.6,5,4.7,+0.3,53,148,24,4,142,Matches
24,Andrea Adorante\7005ac66,it ITA,FW,Parma,it Serie A,20,2000,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
25,Adrián\f76e6b4e,es ESP,GK,Liverpool,eng Premier League,33,1987,3.0,76,99,76.8,2031,1135,16,16,100.0,37,38,97.4,21,43,48.8,0,0.0,0.0,0,0,0,0,0,Matches
26,Martin Agirregabiria\355c883a,es ESP,DFMF,Alavés,es La Liga,24,1996,17.3,520,727,71.5,9660,4691,229,273,83.9,225,299,75.3,57,121,47.1,1,0.9,+0.1,12,40,16,8,45,Matches
27,Lucien Agoume\8bc8829a,fr FRA,MF,Spezia,it Serie A,18,2002,8.9,443,494,89.7,8945,1965,159,170,93.5,201,219,91.8,74,92,80.4,0,0.1,-0.1,2,39,4,0,36,Matches
28,Felix Agu\cb6d81b3,de GER,DFFW,Werder Bremen,de Bundesliga,20,1999,7.8,210,289,72.7,3403,1143,117,136,86.0,74,101,73.3,14,35,40.0,0,0.4,-0.4,3,9,4,3,10,Matches
29,Kevin Agudelo\46fa7204,co COL,FW,Spezia,it Serie A,21,1998,15.1,232,320,72.5,4192,919,109,133,82.0,88,115,76.5,29,49,59.2,2,0.7,+1.3,11,18,12,0,30,Matches
30,Nayef Aguerd\288e1e13,ma MAR,DF,Rennes,fr Ligue 1,24,1996,35.0,2430,2658,91.4,49991,18054,825,862,95.7,1173,1227,95.6,404,535,75.5,1,0.9,+0.1,4,137,0,0,136,Matches
31,Sergio Agüero\4d034881,ar ARG,FWMF,Manchester City,eng Premier League,32,1988,6.2,143,170,84.1,1867,285,82,94,87.2,42,48,87.5,5,5,100.0,1,1.3,-0.3,6,11,6,1,12,Matches
32,Ruben Aguilar\3dd738a1,fr FRA,DFFW,Monaco,fr Ligue 1,27,1993,24.7,1317,1599,82.4,22448,6842,627,682,91.9,532,636,83.6,121,214,56.5,3,4.6,-1.6,44,77,37,17,94,Matches
33,Naouirou Ahamada\a6c58494,fr FRA,MF,Stuttgart,de Bundesliga,18,2002,2.8,108,120,90.0,1889,330,47,52,90.4,48,50,96.0,10,13,76.9,0,0.0,0.0,1,12,0,0,7,Matches
34,Matteo Ahlinvi\5ea9ebd4,bj BEN,MF,Nîmes,fr Ligue 1,21,1999,10.0,266,336,79.2,4970,857,109,123,88.6,120,148,81.1,33,47,70.2,0,0.3,-0.3,4,16,2,0,16,Matches
35,Jean-Eudes Aholou\48b28bfd,ci CIV,MF,Strasbourg,fr Ligue 1,26,1994,23.8,706,839,84.1,12961,2838,309,352,87.8,286,328,87.2,93,128,72.7,2,1.2,+0.8,7,67,7,0,55,Matches
36,Jean-Eudes Aholou\48b28bfd,ci CIV,MF,Monaco,fr Ligue 1,26,1994,0.4,8,10,80.0,157,33,1,1,100.0,7,8,87.5,0,1,0.0,0,0.0,0.0,0,1,0,0,2,Matches
37,Joseph Aidoo\18abe173,gh GHA,DF,Celta Vigo,es La Liga,24,1995,14.3,518,627,82.6,11583,3515,118,130,90.8,300,335,89.6,97,146,66.4,0,0.6,-0.6,2,36,2,0,39,Matches
38,Ola Aina\246d153b,ng NGA,DF,Fulham,eng Premier League,23,1996,29.6,1329,1711,77.7,25538,10322,526,584,90.1,617,717,86.1,170,354,48.0,1,1.4,-0.4,14,98,15,9,98,Matches
39,Rayan Aït Nouri\9b398aea,fr FRA,DF,Wolves,eng Premier League,19,2001,15.6,657,785,83.7,10835,3074,327,356,91.9,278,312,89.1,41,81,50.6,1,1.0,0.0,13,30,14,5,46,Matches
40,Rayan Aït Nouri\9b398aea,fr FRA,DF,Angers,fr Ligue 1,19,2001,2.1,136,149,91.3,1873,750,90,92,97.8,36,43,83.7,4,6,66.7,1,0.4,+0.6,4,1,4,3,12,Matches
41,Semi Ajayi\d6192210,ng NGA,DF,West Brom,eng Premier League,26,1993,30.9,704,947,74.3,15524,6590,198,232,85.3,364,445,81.8,137,255,53.7,0,0.3,-0.3,5,67,4,0,64,Matches
42,Ludovic Ajorque\462475ed,re REU,FW,Strasbourg,fr Ligue 1,26,1994,33.0,645,907,71.1,10718,1987,353,455,77.6,204,290,70.3,63,97,64.9,4,3.7,+0.3,34,48,22,7,60,Matches
43,Manuel Akanji\89ac64a6,ch SUI,DF,Dortmund,de Bundesliga,25,1995,26.1,1949,2097,92.9,41126,12696,592,623,95.0,1029,1068,96.3,315,374,84.2,0,0.1,-0.1,2,150,4,0,128,Matches
44,Carlos Akapo\f2a68b97,gq EQG,DF,Cádiz,es La Liga,27,1993,9.6,233,349,66.8,4349,1848,98,115,85.2,101,148,68.2,29,74,39.2,0,0.3,-0.3,2,10,5,3,13,Matches
45,Marley Aké\414e1f69,fr FRA,FW,Marseille,fr Ligue 1,19,2001,1.6,28,35,80.0,411,123,17,19,89.5,7,9,77.8,3,5,60.0,0,0.0,0.0,0,2,0,0,2,Matches
46,Nathan Aké\eaeca114,nl NED,DF,Manchester City,eng Premier League,25,1995,8.9,702,755,93.0,12873,3534,289,299,96.7,349,372,93.8,60,73,82.2,0,0.0,0.0,1,60,2,0,36,Matches
47,Paul Akouokou\31f5b89b,ci CIV,MF,Betis,es La Liga,22,1997,4.2,168,183,91.8,3248,590,59,64,92.2,83,86,96.5,22,28,78.6,0,0.4,-0.4,2,14,1,1,6,Matches
48,Jean-Daniel Akpa-Akpro\fdf4b948,ci CIV,MF,Lazio,it Serie A,27,1992,11.7,288,354,81.4,4897,953,150,175,85.7,106,124,85.5,25,34,73.5,1,0.9,+0.1,12,17,8,0,28,Matches
49,Kevin Akpoguma\6ec6fde0,ng NGA,DF,Hoffenheim,de Bundesliga,25,1995,13.2,606,737,82.2,12535,4237,188,213,88.3,320,349,91.7,91,156,58.3,0,0.4,-0.4,2,33,2,0,46,Matches
50,David Alaba\05439de2,at AUT,DFMF,Bayern Munich,de Bundesliga,28,1992,29.7,1916,2251,85.1,39628,12716,625,685,91.2,994,1097,90.6,282,420,67.1,4,2.3,+1.7,25,232,37,4,189,Matches
51,Sofiane Alakouch\5314e067,ma MAR,DF,Nîmes,fr Ligue 1,22,1998,16.7,726,912,79.6,12649,5072,343,382,89.8,302,359,84.1,67,127,52.8,2,1.2,+0.8,5,62,11,1,65,Matches
52,Jony Álamo\788be7f9,es ESP,MF,Elche,es La Liga,18,2001,0.8,14,16,87.5,289,41,3,3,100.0,8,9,88.9,2,2,100.0,0,0.0,0.0,0,1,0,0,0,Matches
53,Lucas Alario\834d0be5,ar ARG,FW,Leverkusen,de Bundesliga,27,1992,13.8,239,315,75.9,3394,332,142,177,80.2,71,92,77.2,15,20,75.0,2,0.7,+1.3,12,12,4,0,10,Matches
54,Jordi Alba\4601e194,es ESP,DF,Barcelona,es La Liga,31,1989,33.6,2507,2933,85.5,39805,12496,1391,1508,92.2,909,1051,86.5,170,267,63.7,5,7.4,-2.4,51,125,83,19,211,Matches
55,Luis Alberto\5294a83f,es ESP,MF,Lazio,it Serie A,27,1992,29.1,1520,1941,78.3,28479,11069,640,728,87.9,617,741,83.3,230,401,57.4,2,8.2,-6.2,82,262,90,9,290,Matches
56,Raúl Albiol\4bd414c1,es ESP,DF,Villarreal,es La Liga,34,1985,34.6,1795,2007,89.4,42528,12143,384,416,92.3,953,1015,93.9,450,554,81.2,0,1.0,-1.0,4,98,5,0,111,Matches
57,Marc Albrighton\b827d5b3,eng ENG,DFFW,Leicester City,eng Premier League,30,1989,19.4,635,923,68.8,11394,4629,319,383,83.3,211,263,80.2,84,199,42.2,5,4.4,+0.6,39,51,42,16,87,Matches
58,Paco Alcácer\a7a9d95a,es ESP,FW,Villarreal,es La Liga,26,1993,17.2,202,275,73.5,2844,482,128,161,79.5,39,59,66.1,18,24,75.0,4,3.2,+0.8,17,5,7,1,9,Matches
59,Pedro Alcalá\ba71d071,es ESP,DF,Cádiz,es La Liga,31,1989,10.1,204,270,75.6,5372,1534,33,37,89.2,103,111,92.8,65,115,56.5,0,0.0,0.0,0,14,0,0,11,Matches
60,Thiago Alcántara\77e84962,es ESP,MF,Liverpool,eng Premier League,29,1991,20.6,1498,1674,89.5,31595,8231,522,564,92.6,672,725,92.7,278,338,82.2,0,2.3,-2.3,29,207,27,1,184,Matches
61,Rubén Alcaraz\036bba5f,es ESP,MF,Valladolid,es La Liga,29,1991,24.1,962,1157,83.1,20505,5059,350,392,89.3,398,443,89.8,199,286,69.6,0,0.6,-0.6,9,95,13,0,71,Matches
62,Omar Alderete\bb08bce9,py PAR,DF,Hertha BSC,de Bundesliga,23,1996,14.4,717,878,81.7,17888,7067,107,132,81.1,409,449,91.1,197,287,68.6,0,0.1,-0.1,2,44,4,1,62,Matches
63,Toby Alderweireld\f7d50789,be BEL,DF,Tottenham,eng Premier League,31,1989,24.9,1143,1365,83.7,27127,7537,266,287,92.7,581,625,93.0,287,432,66.4,0,0.3,-0.3,7,76,6,1,52,Matches
64,Iván Alejo\3d7e48ce,es ESP,MFFW,Cádiz,es La Liga,25,1995,9.2,130,231,56.3,2133,820,72,97,74.2,50,73,68.5,8,39,20.5,1,0.8,+0.2,11,9,11,6,20,Matches
65,Carles Aleñá\6c811eb7,es ESP,MF,Barcelona,es La Liga,22,1998,0.5,38,42,90.5,725,166,14,17,82.4,14,15,93.3,8,8,100.0,0,0.0,0.0,0,2,0,0,6,Matches
66,Carles Aleñá\6c811eb7,es ESP,MFFW,Getafe,es La Liga,22,1998,15.2,407,591,68.9,8158,2572,170,206,82.5,156,204,76.5,74,157,47.1,2,2.0,0.0,24,61,22,5,62,Matches
67,Rúnar Alex Rúnarsson\8fa8f8d2,is ISL,GK,Arsenal,eng Premier League,25,1995,0.2,7,11,63.6,126,51,2,2,100.0,5,5,100.0,0,4,0.0,0,0.0,0.0,0,0,0,0,0,Matches
68,Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,Liverpool,eng Premier League,21,1998,33.7,2216,2941,75.3,47515,19500,784,889,88.2,994,1189,83.6,419,777,53.9,7,8.1,-1.1,73,208,101,32,278,Matches
69,Alfon\1c772b46,es ESP,MF,Celta Vigo,es La Liga,21,1999,0.4,15,15,100.0,197,27,10,10,100.0,5,5,100.0,0,0,,0,0.1,-0.1,1,1,1,0,1,Matches
70,Mohamed Ali Cho\f8405304,fr FRA,FWMF,Angers,fr Ligue 1,16,2004,3.9,67,105,63.8,1008,273,40,53,75.5,18,31,58.1,6,13,46.2,0,0.1,-0.1,2,3,3,2,5,Matches
71,Ezgjan Alioski\1a7fcf39,mk MKD,DF,Leeds United,eng Premier League,28,1992,27.3,1305,1630,80.1,22206,8320,629,703,89.5,567,661,85.8,97,196,49.5,3,3.1,-0.1,27,82,32,13,114,Matches
72,Rachid Alioui\bdedd861,ma MAR,FW,Angers,fr Ligue 1,28,1992,0.2,5,6,83.3,59,12,4,4,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,1,0,0,0,Matches
73,Alisson\7a2e46a8,br BRA,GK,Liverpool,eng Premier League,27,1992,33.0,968,1137,85.1,25310,13346,159,161,98.8,526,536,98.1,280,436,64.2,0,0.0,0.0,0,7,0,0,1,Matches
74,Saturnin Allagbé\b052b8bf,bj BEN,GK,Dijon,fr Ligue 1,26,1993,12.0,267,405,65.9,8322,5304,46,47,97.9,109,110,99.1,109,244,44.7,0,0.0,0.0,0,1,0,0,0,Matches
75,Allan\cc700722,br BRA,MF,Everton,eng Premier League,29,1991,22.8,899,1048,85.8,16984,4349,369,401,92.0,382,428,89.3,129,178,72.5,0,0.9,-0.9,16,91,15,1,82,Matches
76,Dele Alli\cea4ee8f,eng ENG,MF,Tottenham,eng Premier League,24,1996,6.9,270,337,80.1,4654,1070,124,145,85.5,116,132,87.9,26,39,66.7,1,0.9,+0.1,8,17,9,1,27,Matches
77,Miguel Almirón\862a1c15,py PAR,MFFW,Newcastle Utd,eng Premier League,26,1994,27.0,711,877,81.1,12123,2700,352,395,89.1,270,317,85.2,66,109,60.6,1,2.8,-1.8,28,56,26,7,65,Matches
78,Marcos Alonso\f4290206,es ESP,DF,Chelsea,eng Premier League,29,1990,10.7,483,592,81.6,8125,2867,239,267,89.5,207,240,86.3,34,62,54.8,0,1.1,-1.1,12,19,8,2,49,Matches
79,Sergio Álvarez\88d91621,es ESP,MFDF,Eibar,es La Liga,28,1992,17.4,535,688,77.8,10868,2311,187,222,84.2,249,302,82.5,87,134,64.9,0,0.9,-0.9,8,51,2,1,35,Matches
80,Yeray Álvarez\3ecc11d8,es ESP,DF,Athletic Club,es La Liga,25,1995,21.6,895,1061,84.4,21063,6859,229,258,88.8,439,492,89.2,217,288,75.3,0,0.4,-0.4,5,57,4,0,56,Matches
81,Bruno Alves\585a73a8,pt POR,DF,Parma,it Serie A,38,1981,18.1,796,916,86.9,20841,6386,117,127,92.1,409,458,89.3,265,325,81.5,0,0.1,-0.1,2,42,2,1,36,Matches
82,Steven Alzate\ad1f61f3,co COL,MFDF,Brighton,eng Premier League,21,1998,10.0,399,446,89.5,6928,1321,194,213,91.1,154,163,94.5,45,54,83.3,0,0.5,-0.5,10,33,6,0,35,Matches
83,Ibrahim Amadou\9260926b,fr FRA,MF,Angers,fr Ligue 1,27,1993,16.7,596,689,86.5,10899,2957,259,289,89.6,262,285,91.9,65,93,69.9,0,0.3,-0.3,6,43,2,0,45,Matches
84,Romain Amalfitano\d7bf3d19,fr FRA,FWDF,Dijon,fr Ligue 1,30,1989,1.3,47,58,81.0,1006,342,15,16,93.8,22,28,78.6,10,14,71.4,0,0.0,0.0,1,5,0,0,8,Matches
85,Emmanuel Amankwaa Akurugu\69c5633e,gh GHA,DF,Getafe,es La Liga,18,2001,0.5,8,12,66.7,157,38,3,4,75.0,4,4,100.0,1,3,33.3,0,0.0,0.0,0,1,0,0,1,Matches
86,Daniel Amartey\1a4ef233,gh GHA,DF,Leicester City,eng Premier League,25,1994,8.0,400,466,85.8,7606,2362,136,146,93.2,212,240,88.3,45,62,72.6,0,0.0,0.0,0,19,1,0,25,Matches
87,Jordan Amavi\22721b88,fr FRA,DF,Marseille,fr Ligue 1,26,1994,9.0,355,441,80.5,6574,2023,165,192,85.9,134,168,79.8,49,62,79.0,0,0.3,-0.3,5,15,6,1,24,Matches
88,Thierry Ambrose\2945f4b7,fr FRA,FW,Metz,fr Ligue 1,23,1997,8.4,174,253,68.8,3217,772,78,113,69.0,67,84,79.8,22,34,64.7,1,1.5,-0.5,12,21,9,2,25,Matches
89,Wisdom Amey\35b4bc62,it ITA,DF,Bologna,it Serie A,14,2005,0.0,4,4,100.0,113,0,0,0,,3,3,100.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches
90,Nadiem Amiri\555d5edd,de GER,MF,Leverkusen,de Bundesliga,23,1996,21.0,946,1143,82.8,17370,3887,426,471,90.4,371,417,89.0,131,210,62.4,6,2.9,+3.1,37,90,27,4,98,Matches
91,Ethan Ampadu\10b9fa99,wls WAL,DFMF,Sheffield Utd,eng Premier League,19,2000,23.2,857,1064,80.5,17276,5506,306,353,86.7,405,470,86.2,134,211,63.5,0,0.9,-0.9,10,69,16,2,84,Matches
92,Sofyan Amrabat\5a2cb25d,ma MAR,MF,Fiorentina,it Serie A,23,1996,27.1,1234,1390,88.8,26068,5566,427,486,87.9,542,580,93.4,245,279,87.8,0,0.5,-0.5,11,126,15,5,111,Matches
93,Jon Ander Garrido\c46736ab,es ESP,MF,Cádiz,es La Liga,30,1989,8.9,195,248,78.6,3652,1011,72,83,86.7,88,106,83.0,25,38,65.8,0,0.1,-0.1,3,22,1,1,12,Matches
94,Joachim Andersen\e34fc66d,dk DEN,DF,Fulham,eng Premier League,24,1996,30.3,1529,1833,83.4,38236,11350,300,334,89.8,821,894,91.8,397,577,68.8,1,0.5,+0.5,9,121,9,1,99,Matches
95,Joachim Andersen\e34fc66d,dk DEN,DF,Lyon,fr Ligue 1,24,1996,2.1,105,117,89.7,2260,829,30,31,96.8,56,60,93.3,18,24,75.0,0,0.0,0.0,0,8,0,0,7,Matches
96,Djavan Anderson\ca241ad3,nl NED,DF,Lazio,it Serie A,25,1995,0.8,24,33,72.7,299,70,17,19,89.5,6,9,66.7,0,2,0.0,0,0.0,0.0,0,0,0,0,1,Matches
97,Elliot Anderson\de31038e,sct SCO,MF,Newcastle Utd,eng Premier League,17,2002,0.0,1,1,100.0,10,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
98,Felipe Anderson\9f1893b9,br BRA,FWMF,West Ham,eng Premier League,27,1993,0.0,4,6,66.7,61,28,2,2,100.0,2,4,50.0,0,0,,0,0.0,0.0,0,0,0,0,2,Matches
99,Sebastian Andersson\b4cf5806,se SWE,FW,Köln,de Bundesliga,29,1991,12.5,175,246,71.1,2491,400,109,142,76.8,53,74,71.6,9,16,56.3,0,0.3,-0.3,5,11,3,1,9,Matches
100,Nícolas Andrade\326d09ef,br BRA,GK,Udinese,it Serie A,32,1988,2.0,33,40,82.5,990,578,6,6,100.0,17,17,100.0,10,17,58.8,0,0.0,0.0,0,0,0,0,0,Matches
101,Benjamin André\ef9c1c95,fr FRA,MF,Lille,fr Ligue 1,29,1990,32.1,1737,2042,85.1,30245,7619,844,934,90.4,651,742,87.7,197,271,72.7,1,1.3,-0.3,21,195,12,3,174,Matches
102,Robert Andrich\e0b113a7,de GER,MF,Union Berlin,de Bundesliga,25,1994,28.1,1156,1461,79.1,21743,6116,490,576,85.1,488,593,82.3,153,237,64.6,2,2.2,-0.2,24,111,15,1,125,Matches
103,Victorien Angban\d8992b84,ci CIV,MF,Metz,fr Ligue 1,23,1996,18.6,777,878,88.5,15610,3664,286,304,94.1,354,393,90.1,132,162,81.5,1,0.5,+0.5,12,68,9,1,68,Matches
104,Ángel\b1e5bbec,es ESP,GK,Granada,es La Liga,18,2002,1.0,16,30,53.3,760,668,0,0,,5,5,100.0,11,25,44.0,0,0.0,0.0,0,0,0,0,0,Matches
105,Miguel Ángel Rubio\56cafd0a,es ESP,DF,Valladolid,es La Liga,22,1998,1.5,39,50,78.0,839,321,9,10,90.0,23,24,95.8,6,15,40.0,0,0.0,0.0,0,2,0,0,3,Matches
106,José Ángel\3024e383,es ESP,DF,Eibar,es La Liga,30,1989,10.0,509,681,74.7,10712,4232,194,215,90.2,214,262,81.7,99,190,52.1,0,0.8,-0.8,10,43,14,8,51,Matches
107,Angeliño\30941e96,es ESP,DFFW,RB Leipzig,de Bundesliga,23,1997,24.0,1059,1490,71.1,19377,7278,489,574,85.2,430,562,76.5,126,300,42.0,4,5.0,-1.0,56,68,60,27,111,Matches
108,Davide Angelo Ghislandi\0e0e4422,it ITA,DF,Atalanta,it Serie A,19,2001,0.1,3,3,100.0,56,22,0,0,,3,3,100.0,0,0,,0,0.0,0.0,0,0,0,0,1,Matches
109,Philip Ankhrah\f5409698,gh GHA,MF,Hellas Verona,it Serie A,17,2002,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
110,Cristian Ansaldi\bbafc0c4,ar ARG,DF,Torino,it Serie A,33,1986,21.6,684,1008,67.9,14437,6071,272,312,87.2,276,365,75.6,129,299,43.1,6,5.0,+1.0,35,62,40,32,78,Matches
111,Waldemar Anton\5e66fa06,de GER,DF,Stuttgart,de Bundesliga,24,1996,30.1,1827,2073,88.1,38589,13006,501,551,90.9,1037,1100,94.3,274,389,70.4,1,0.4,+0.6,7,68,9,2,94,Matches
112,José Antonio Miranda\683788fd,gq EQG,MFDF,Getafe,es La Liga,22,1998,0.3,9,16,56.3,92,11,9,11,81.8,0,3,0.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Matches
113,Michail Antonio\ac05f970,jm JAM,FW,West Ham,eng Premier League,30,1990,21.9,326,490,66.5,5008,924,189,259,73.0,90,134,67.2,30,52,57.7,5,2.3,+2.7,23,22,12,2,25,Matches
114,Valentin Antov\8f68aa41,bg BUL,DF,Bologna,it Serie A,19,2000,2.6,106,119,89.1,2399,834,32,34,94.1,44,47,93.6,29,37,78.4,0,0.0,0.0,1,4,0,0,5,Matches
115,Houssem Aouar\a5db0bec,fr FRA,MFFW,Lyon,fr Ligue 1,22,1998,19.8,852,1009,84.4,13252,3622,462,511,90.4,295,341,86.5,62,90,68.9,3,4.0,-1.0,37,87,25,1,98,Matches
116,Adil Aouchiche\b94b8be1,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,18,2002,19.2,594,827,71.8,11181,3612,295,346,85.3,177,231,76.6,104,210,49.5,5,5.1,-0.1,58,55,27,8,59,Matches
117,Dennis Appiah\feb5d3ab,fr FRA,DF,Nantes,fr Ligue 1,28,1992,17.3,634,861,73.6,10582,5626,323,369,87.5,251,343,73.2,56,123,45.5,2,1.0,+1.0,11,50,14,5,79,Matches
118,Aritz Arambarri\f28876e5,es ESP,DF,Real Sociedad,es La Liga,22,1998,0.3,15,20,75.0,312,146,2,2,100.0,11,12,91.7,2,5,40.0,0,0.0,0.0,0,1,0,0,1,Matches
119,Mauro Arambarri\58afe001,uy URU,MF,Getafe,es La Liga,24,1995,33.1,754,1076,70.1,17074,4295,251,303,82.8,295,384,76.8,190,348,54.6,0,2.1,-2.1,21,83,26,10,88,Matches
120,Charles Aránguiz\56413b1f,cl CHI,MF,Leverkusen,de Bundesliga,31,1989,18.5,1003,1160,86.5,18154,5425,423,463,91.4,452,493,91.7,111,166,66.9,0,0.8,-0.8,15,110,15,0,103,Matches
121,Luiz Araújo\fa18c72e,br BRA,MF,Lille,fr Ligue 1,24,1996,16.6,463,611,75.8,9038,2437,195,238,81.9,187,229,81.7,71,108,65.7,2,2.6,-0.6,22,45,23,3,64,Matches
122,Néstor Araujo\27a013f7,mx MEX,DF,Celta Vigo,es La Liga,28,1991,27.0,1321,1555,85.0,29692,8417,310,343,90.4,744,804,92.5,258,382,67.5,0,0.7,-0.7,4,81,3,1,72,Matches
123,Ronald Araújo\2bef2bca,uy URU,DF,Barcelona,es La Liga,21,1999,16.8,987,1068,92.4,19975,4460,302,316,95.6,552,578,95.5,125,162,77.2,1,0.1,+0.9,2,48,0,0,26,Matches
