Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
1,Ismael Aaneba\a7e4760c,fr FRA,FWDF,Strasbourg,fr Ligue 1,21,1999,0.1,2,2,100.0,57,15,0,0,,1,1,100.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches
2,Patrick van Aanholt\5f09991f,nl NED,DF,Crystal Palace,eng Premier League,29,1990,19.7,889,1127,78.9,14909,6947,454,512,88.7,339,417,81.3,79,152,52.0,1,0.8,+0.2,11,68,26,4,112,Matches
3,Issah Abbas\2590ddf7,gh GHA,DFFW,Mainz 05,de Bundesliga,21,1998,0.2,13,15,86.7,260,106,6,7,85.7,5,6,83.3,2,2,100.0,0,0.0,0.0,0,1,0,0,1,Matches
4,Yunis Abdelhamid\32c2d95f,ma MAR,DF,Reims,fr Ligue 1,32,1987,32.1,1506,1715,87.8,33695,11616,336,377,89.1,893,951,93.9,267,366,73.0,0,0.3,-0.3,4,81,1,0,91,Matches
5,Sabit Abdulai\9f9e1b9c,gh GHA,MF,Getafe,es La Liga,21,1999,0.7,7,12,58.3,133,9,2,2,100.0,4,5,80.0,1,3,33.3,0,0.0,0.0,0,0,1,0,1,Matches
6,Mehdi Abeid\a4c3f7af,dz ALG,MF,Nantes,fr Ligue 1,27,1992,14.7,616,725,85.0,12193,2951,247,263,93.9,250,284,88.0,103,154,66.9,0,0.8,-0.8,12,60,7,4,42,Matches
7,Laurent Abergel\31626657,fr FRA,MF,Lorient,fr Ligue 1,27,1993,32.9,1330,1592,83.5,25834,6519,530,603,87.9,575,639,90.0,200,289,69.2,1,1.4,-0.4,21,113,17,4,111,Matches
8,Charles Abi\469d3d84,fr FRA,FWMF,Saint-Étienne,fr Ligue 1,20,2000,10.1,144,214,67.3,1899,334,84,109,77.1,37,52,71.2,6,20,30.0,2,0.3,+1.7,8,9,5,0,11,Matches
9,Matthis Abline\bbe96b16,fr FRA,FW,Rennes,fr Ligue 1,17,2003,0.0,0,1,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
10,Pape Abou Cisse\8bc373ea,sn SEN,DF,Saint-Étienne,fr Ligue 1,24,1995,14.0,505,624,80.9,12189,4391,125,134,93.3,242,274,88.3,132,205,64.4,0,0.1,-0.1,3,30,2,0,31,Matches
11,David Abraham\565bf0da,ar ARG,DF,Eint Frankfurt,de Bundesliga,34,1986,13.6,564,689,81.9,12077,4254,177,204,86.8,277,310,89.4,106,161,65.8,0,0.5,-0.5,2,50,3,2,43,Matches
12,Tammy Abraham\f586779e,eng ENG,FW,Chelsea,eng Premier League,22,1997,11.6,149,218,68.3,2057,327,92,118,78.0,39,64,60.9,9,15,60.0,1,0.9,+0.1,8,12,2,0,11,Matches
13,Amir Abrashi\1c08a3c8,al ALB,MFDF,Freiburg,de Bundesliga,30,1990,0.7,18,22,81.8,295,27,7,9,77.8,9,10,90.0,1,1,100.0,0,0.0,0.0,0,1,0,0,0,Matches
14,Gennaro Acampora\01040647,it ITA,MFFW,Spezia,it Serie A,26,1994,4.9,189,225,84.0,3834,625,75,84,89.3,79,93,84.9,33,43,76.7,0,0.0,0.0,1,14,3,1,16,Matches
