Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
1,Patrick van Aanholt\5f09991f,nl NED,DF,Crystal Palace,eng Premier League,26,1990,24.3,1157,885,272,27,1,120,28,42,11,2,7,0,664,233,260,731,163,23,234,4,887,3,18,35,32,Matches
2,Rolando Aarons\c5942695,eng ENG,MFFW,Hellas Verona,it Serie A,21,1995,5.7,115,106,9,4,0,32,4,6,0,0,0,0,76,19,20,79,26,2,2,0,81,0,9,1,7,Matches
3,Rolando Aarons\c5942695,eng ENG,FWMF,Newcastle Utd,eng Premier League,21,1995,1.5,43,42,1,1,0,9,2,3,0,0,0,0,31,11,1,28,10,3,0,0,30,1,1,2,3,Matches
4,Ignazio Abate\1c529186,it ITA,DF,Milan,it Serie A,30,1986,11.7,774,659,115,9,0,122,16,26,2,0,0,1,466,119,189,65,584,16,104,0,625,4,14,9,26,Matches
5,Aymen Abdennour\2f798b41,tn TUN,DF,Marseille,fr Ligue 1,27,1989,5.6,336,335,1,1,0,38,9,0,0,0,0,0,285,24,27,294,20,17,0,2,304,1,6,2,4,Matches
6,Aly Abeid\bbe88396,mr MTN,DF,Levante,es La Liga,19,1997,0.9,38,31,7,0,0,1,0,2,0,0,0,0,20,10,8,20,10,1,7,0,29,0,1,1,2,Matches
7,Mehdi Abeid\a4c3f7af,dz ALG,MF,Dijon,fr Ligue 1,24,1992,13.1,611,598,13,8,0,78,20,7,1,0,0,0,494,45,72,47,520,36,4,1,519,1,16,15,10,Matches
8,David Abraham\565bf0da,ar ARG,DF,Eint Frankfurt,de Bundesliga,31,1986,25.6,1313,1274,39,32,1,147,68,6,0,0,0,0,823,165,325,208,923,135,7,2,1081,4,29,10,10,Matches
9,Tammy Abraham\f586779e,eng ENG,FW,Swansea City,eng Premier League,19,1997,19.2,305,275,30,1,1,117,5,14,0,0,0,0,198,68,39,26,223,13,1,8,217,0,6,13,11,Matches
10,Amir Abrashi\1c08a3c8,al ALB,MF,Freiburg,de Bundesliga,27,1990,9.4,335,329,6,5,0,85,9,4,0,0,0,0,205,52,78,18,272,28,1,1,260,0,9,8,8,Matches
11,Francesco Acerbi\b96b595c,it ITA,DF,Sassuolo,it Serie A,29,1988,38.0,1643,1546,97,72,1,235,74,9,0,0,0,0,1007,233,403,1150,271,131,25,3,1359,3,41,20,17,Matches
12,Afriyie Acquah\d7403bd5,gh GHA,MF,Torino,it Serie A,25,1992,10.6,480,475,5,4,0,88,5,8,0,0,0,0,373,45,62,25,423,19,0,1,403,2,8,6,10,Matches
13,Charlie Adam\aff418dc,sct SCO,MF,Stoke City,eng Premier League,31,1985,4.6,286,260,26,13,3,44,12,11,9,4,4,1,123,41,122,220,38,15,4,1,170,5,13,10,7,Matches
14,Antonio Adán\65d62814,es ESP,GK,Betis,es La Liga,30,1987,30.0,1035,848,187,57,0,157,26,0,0,0,0,0,512,35,488,755,161,3,0,96,714,1,32,5,3,Matches
15,Aday\5890cef1,es ESP,MFDF,Girona,es La Liga,29,1987,20.4,1006,861,145,7,0,195,39,99,4,0,0,0,528,149,329,118,656,81,134,1,695,2,34,24,40,Matches
16,Khaled Adénon\16714a62,bj BEN,DF,Amiens,fr Ligue 1,32,1985,32.5,1168,1124,44,43,1,141,28,1,0,0,0,0,817,94,257,220,792,137,1,3,958,3,35,14,16,Matches
17,Claud Adjapong\ce5b170a,it ITA,DFMF,Sassuolo,it Serie A,19,1998,13.6,514,452,62,1,0,86,2,24,1,0,0,0,288,76,150,81,323,41,60,2,360,2,8,9,27,Matches
18,René Adler\f71890f5,de GER,GK,Mainz 05,de Bundesliga,32,1985,14.0,386,272,114,24,0,24,11,0,0,0,0,0,161,13,212,39,284,1,0,40,241,3,15,1,0,Matches
19,Ali Adnan Kadhim\06050480,iq IRQ,DFMF,Udinese,it Serie A,23,1993,18.6,902,692,210,17,0,124,27,53,24,6,3,1,373,161,368,473,153,63,169,5,588,0,21,12,38,Matches
20,Adrián\f76e6b4e,es ESP,GK,West Ham,eng Premier League,30,1987,19.0,573,334,239,53,0,28,22,0,0,0,0,0,91,22,460,21,416,0,0,48,258,4,20,6,1,Matches
21,Aritz Aduriz\293211e1,es ESP,FW,Athletic Club,es La Liga,36,1981,23.9,509,490,19,1,0,135,5,16,1,0,0,0,295,110,104,54,307,81,4,16,329,2,13,10,27,Matches
22,Ibrahim Afellay\9a8c6673,nl NED,MF,Stoke City,eng Premier League,31,1986,1.8,81,79,2,0,0,7,2,0,0,0,0,0,68,8,5,18,60,3,0,0,70,0,1,3,0,Matches
23,Benik Afobe\b63f4077,cd COD,FWMF,Bournemouth,eng Premier League,24,1993,6.8,150,136,14,1,0,51,0,0,0,0,0,0,104,33,13,26,94,7,0,7,116,0,4,5,5,Matches
24,Martin Agirregabiria\355c883a,es ESP,DF,Alavés,es La Liga,21,1996,20.3,873,709,164,3,1,170,11,35,0,0,0,0,441,196,236,47,578,76,161,5,598,0,36,31,54,Matches
25,Imanol Agirretxe\c84c1afc,es ESP,FW,Real Sociedad,es La Liga,30,1987,2.6,56,55,1,0,0,14,0,0,0,0,0,0,34,9,13,9,38,5,0,0,36,1,3,1,2,Matches
26,Sergio Agüero\4d034881,ar ARG,FW,Manchester City,eng Premier League,29,1988,21.8,643,616,27,0,7,134,3,14,1,0,0,0,491,93,59,73,539,15,3,7,528,3,8,20,22,Matches
27,Ruben Aguilar\3dd738a1,fr FRA,DFMF,Montpellier,fr Ligue 1,24,1993,27.3,1478,1191,287,8,0,212,29,83,0,0,0,0,855,201,422,77,1046,72,279,1,1114,11,35,50,55,Matches
