Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
110,Luiz Araújo\fa18c72e,br BRA,FWMF,Lille,fr Ligue 1,21,1996,22.4,533,757,70.4,10652,2688,218,284,76.8,214,286,74.8,91,148,61.5,2,2.3,-0.3,26,43,30,12,60,Matches
111,Sergio Araujo\080ac8d8,ar ARG,FWMF,Las Palmas,es La Liga,25,1992,0.4,20,22,90.9,334,62,7,7,100.0,12,12,100.0,1,2,50.0,0,0.0,0.0,0,3,0,0,3,Matches
112,Anaitz Arbilla\850c0a0d,es ESP,DF,Eibar,es La Liga,30,1987,26.8,1234,1583,78.0,31812,10975,283,337,84.0,557,655,85.0,380,558,68.1,1,0.5,+0.5,10,145,9,2,143,Matches
113,Alphonse Areola\2f965a72,fr FRA,GK,Paris S-G,fr Ligue 1,24,1993,34.0,524,584,89.7,11967,6058,118,120,98.3,308,311,99.0,94,148,63.5,0,0.0,0.0,0,1,0,0,0,Matches
114,Scott Arfield\b1313ec4,ca CAN,MF,Burnley,eng Premier League,28,1988,14.8,251,369,68.0,3683,941,145,175,82.9,95,143,66.4,8,31,25.8,1,0.4,+0.6,7,17,6,1,26,Matches
115,Samuel Armenteros\9c8f641a,se SWE,FW,Benevento,it Serie A,27,1990,4.8,66,84,78.6,912,128,43,53,81.1,19,26,73.1,3,4,75.0,0,0.0,0.0,1,2,1,0,4,Matches
116,Yoël Armougom\9dd5da03,fr FRA,MFDF,Caen,fr Ligue 1,19,1998,1.5,48,81,59.3,780,428,24,36,66.7,21,30,70.0,3,10,30.0,0,0.0,0.0,1,2,3,1,6,Matches
117,José Arnaiz\46e07328,es ESP,MF,Barcelona,es La Liga,22,1995,0.1,3,4,75.0,54,0,1,1,100.0,2,3,66.7,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
118,Marko Arnautović\00459419,at AUT,FWMF,West Ham,eng Premier League,28,1989,25.7,502,757,66.3,6941,1613,320,398,80.4,127,210,60.5,33,79,41.8,6,4.0,+2.0,30,30,18,6,36,Matches
119,Maximilian Arnold\86e119e0,de GER,MF,Wolfsburg,de Bundesliga,23,1994,27.3,1121,1425,78.7,23646,6440,386,429,90.0,497,584,85.1,229,383,59.8,0,3.7,-3.7,37,106,21,6,116,Matches
120,Jann-Fiete Arp\c21fb312,de GER,FW,Hamburger SV,de Bundesliga,17,2000,9.4,91,154,59.1,1504,198,51,76,67.1,28,43,65.1,9,16,56.3,0,0.7,-0.7,3,3,2,0,6,Matches
121,Alejandro Arribas\cc29324e,es ESP,DF,La Coruña,es La Liga,28,1989,3.0,96,120,80.0,2145,586,25,27,92.6,48,53,90.6,22,39,56.4,0,0.0,0.0,0,3,0,0,4,Matches
122,Kepa Arrizabalaga\28d596a0,es ESP,GK,Athletic Club,es La Liga,22,1994,30.0,545,862,63.2,23152,17448,30,32,93.8,174,176,98.9,341,653,52.2,0,0.0,0.0,0,28,0,0,0,Matches
