Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Patrick van Aanholt\5f09991f,nl NED,DF,Crystal Palace,eng Premier League,28,1990,27.9,0,0,0,9,14,2,44,23,32,0,0,1,243,12,17,41.4,Matches
2,Max Aarons\774cf58b,eng ENG,DF,Norwich City,eng Premier League,19,2000,36.0,7,0,0,34,51,3,54,20,36,1,0,0,281,23,42,35.4,Matches
3,Yunis Abdelhamid\32c2d95f,ma MAR,DF,Reims,fr Ligue 1,31,1987,28.0,0,0,0,24,18,0,1,24,37,0,1,0,226,86,42,67.2,Matches
4,Suleiman Abdullahi\abf0cad0,ng NGA,FWMF,Union Berlin,de Bundesliga,22,1996,1.7,1,0,0,1,0,3,7,1,1,0,0,0,15,6,11,35.3,Matches
5,Mehdi Abeid\a4c3f7af,dz ALG,MF,Nantes,fr Ligue 1,26,1992,20.2,5,0,0,57,48,1,18,17,41,0,1,0,194,14,19,42.4,Matches
6,Charles Abi\469d3d84,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2000,6.9,2,0,0,17,11,7,4,4,8,1,0,0,25,27,39,40.9,Matches
7,David Abraham\565bf0da,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,18.8,2,1,0,15,13,0,5,16,22,0,0,0,224,51,32,61.4,Matches
8,Tammy Abraham\f586779e,eng ENG,FW,Chelsea,eng Premier League,21,1997,24.6,2,0,0,20,30,23,10,5,10,1,0,1,95,67,110,37.9,Matches
9,Amir Abrashi\1c08a3c8,al ALB,MF,Freiburg,de Bundesliga,29,1990,7.4,3,0,0,20,14,0,5,8,13,0,0,0,84,12,9,57.1,Matches
10,Francesco Acerbi\b96b595c,it ITA,DF,Lazio,it Serie A,31,1988,35.1,4,0,0,30,41,5,24,28,33,1,0,0,357,72,35,67.3,Matches
11,Che Adams\f2bf1b0f,sct SCO,FW,Southampton,eng Premier League,23,1996,12.3,0,0,0,20,23,10,12,3,6,1,0,0,73,29,86,25.2,Matches
12,Tyler Adams\2b09d998,us USA,MFDF,RB Leipzig,de Bundesliga,20,1999,10.6,0,0,0,9,15,0,9,7,12,0,0,0,106,10,16,38.5,Matches
13,Sargis Adamyan\22919e97,am ARM,FWMF,Hoffenheim,de Bundesliga,26,1993,8.3,1,0,0,12,10,7,6,3,4,1,0,0,47,14,40,25.9,Matches
14,Antonio Adán\65d62814,es ESP,GK,Atlético Madrid,es La Liga,32,1987,0.3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,Matches
15,Bobby Adekanye\3ed84b2c,nl NED,FW,Lazio,it Serie A,20,1999,2.1,1,0,0,3,3,1,1,2,3,0,0,0,10,1,6,14.3,Matches
16,Claud Adjapong\ce5b170a,it ITA,DF,Hellas Verona,it Serie A,21,1998,2.6,0,0,0,4,2,1,2,3,3,0,0,0,12,4,2,66.7,Matches
17,Amine Adli\dcfb17f4,fr FRA,MFFW,Toulouse,fr Ligue 1,19,2000,0.5,1,0,0,2,0,0,1,1,0,0,0,0,4,1,1,50.0,Matches
18,Yacine Adli\26777636,fr FRA,MFFW,Bordeaux,fr Ligue 1,19,2000,11.3,3,0,0,17,22,0,11,9,18,0,0,0,85,9,14,39.1,Matches
19,Adrián\f76e6b4e,es ESP,GK,Liverpool,eng Premier League,32,1987,9.7,1,0,0,0,2,0,0,0,0,0,0,0,47,0,0,,Matches
20,Aritz Aduriz\293211e1,es ESP,FW,Athletic Club,es La Liga,38,1981,2.3,3,0,0,8,1,0,1,0,1,0,0,0,7,20,6,76.9,Matches
21,Lumor Agbenyenu\073b1b37,gh GHA,DF,Mallorca,es La Liga,22,1996,20.1,5,1,1,13,9,0,54,11,23,0,0,0,205,14,15,48.3,Matches
22,Martin Agirregabiria\355c883a,es ESP,DF,Alavés,es La Liga,23,1996,23.3,5,1,0,41,21,1,30,9,22,0,1,0,207,23,20,53.5,Matches
23,Lucien Agoume\8bc8829a,fr FRA,MF,Inter,it Serie A,17,2002,0.8,1,0,0,2,0,0,1,1,3,0,0,0,10,1,0,100.0,Matches
24,Kevin Agudelo\46fa7204,co COL,MFFW,Fiorentina,it Serie A,20,1998,0.7,0,0,0,3,1,0,0,0,1,0,0,0,11,0,2,0.0,Matches
25,Kevin Agudelo\46fa7204,co COL,MFFW,Genoa,it Serie A,20,1998,7.4,5,1,1,24,12,1,10,6,18,0,1,0,55,4,6,40.0,Matches
26,Nayef Aguerd\288e1e13,ma MAR,DF,Dijon,fr Ligue 1,23,1996,10.6,2,0,0,12,6,0,0,10,11,0,0,0,94,41,13,75.9,Matches
27,Sergio Agüero\4d034881,ar ARG,FW,Manchester City,eng Premier League,31,1988,16.1,1,0,0,9,11,6,8,2,5,2,0,0,61,2,14,12.5,Matches
28,Ruben Aguilar\3dd738a1,fr FRA,DF,Monaco,fr Ligue 1,26,1993,11.9,2,2,0,10,23,0,52,11,28,0,0,0,119,16,15,51.6,Matches
29,Emmanuel Agyemang-Badu\fe0b8f0e,gh GHA,MFFW,Hellas Verona,it Serie A,28,1990,2.6,2,0,0,8,3,1,0,1,1,0,0,0,22,5,12,29.4,Matches
30,Jean-Eudes Aholou\48b28bfd,ci CIV,MF,Saint-Étienne,fr Ligue 1,25,1994,7.0,3,1,0,11,14,1,2,12,19,0,0,0,72,12,10,54.5,Matches
31,Joseph Aidoo\18abe173,gh GHA,DF,Celta Vigo,es La Liga,23,1995,27.8,4,0,0,21,17,0,1,33,26,0,2,0,248,59,50,54.1,Matches
32,Ola Aina\246d153b,ng NGA,DF,Torino,it Serie A,22,1996,23.1,8,0,0,28,45,2,70,26,28,0,0,0,165,26,23,53.1,Matches
33,Youssef Aït Bennasser\c46fa34c,ma MAR,MF,Bordeaux,fr Ligue 1,23,1996,6.0,1,0,0,12,5,0,1,5,7,0,0,0,79,8,7,53.3,Matches
34,Rayan Aït Nouri\9b398aea,fr FRA,DF,Angers,fr Ligue 1,18,2001,14.2,3,0,0,16,13,0,38,13,18,0,0,0,143,19,8,70.4,Matches
35,Albian Ajeti\2b1c4abd,ch SUI,MFFW,West Ham,eng Premier League,22,1997,1.5,0,0,0,6,0,2,0,1,0,0,0,0,4,1,9,10.0,Matches
36,Ludovic Ajorque\462475ed,re REU,FW,Strasbourg,fr Ligue 1,25,1994,22.9,3,0,0,43,22,4,18,3,14,1,1,0,74,112,71,61.2,Matches
37,Manuel Akanji\89ac64a6,ch SUI,DF,Dortmund,de Bundesliga,24,1995,25.7,2,0,0,14,22,0,0,18,23,0,0,1,231,41,31,56.9,Matches
38,Marley Aké\414e1f69,fr FRA,FWMF,Marseille,fr Ligue 1,18,2001,1.1,1,0,0,2,3,0,1,2,2,0,0,0,7,0,4,0.0,Matches
39,Nathan Aké\eaeca114,nl NED,DF,Bournemouth,eng Premier League,24,1995,27.8,2,0,0,12,18,3,2,27,11,0,0,0,247,64,58,52.5,Matches
40,Chadrac Akolo\debc2f28,cd COD,FWMF,Amiens,fr Ligue 1,24,1995,6.0,1,0,0,10,8,2,7,5,13,0,0,0,35,4,10,28.6,Matches
41,Kevin Akpoguma\6ec6fde0,ng NGA,DF,Hoffenheim,de Bundesliga,24,1995,12.7,2,0,0,9,16,1,1,11,11,0,1,1,121,21,26,44.7,Matches
42,David Alaba\05439de2,at AUT,DF,Bayern Munich,de Bundesliga,27,1992,27.8,0,0,0,11,7,1,25,11,17,0,0,0,328,22,27,44.9,Matches
43,Sofiane Alakouch\5314e067,ma MAR,DF,Nîmes,fr Ligue 1,21,1998,15.6,3,0,0,16,27,2,27,18,30,0,1,1,148,8,20,28.6,Matches
44,Lucas Alario\834d0be5,ar ARG,FW,Leverkusen,de Bundesliga,26,1992,13.0,6,0,0,24,17,18,5,2,2,0,0,0,49,34,51,40.0,Matches
45,Jordi Alba\4601e194,es ESP,DF,Barcelona,es La Liga,30,1989,24.3,7,0,0,19,19,5,79,25,14,0,0,1,211,10,14,41.7,Matches
46,Luis Alberto\5294a83f,es ESP,MF,Lazio,it Serie A,26,1992,34.6,5,0,0,24,48,1,44,16,34,0,0,0,292,8,15,34.8,Matches
47,Raúl Albiol\4bd414c1,es ESP,DF,Villarreal,es La Liga,33,1985,36.0,9,0,0,33,24,2,4,17,33,0,2,0,338,78,41,65.5,Matches
48,Marc Albrighton\b827d5b3,eng ENG,MFDF,Leicester City,eng Premier League,29,1989,9.6,2,0,0,9,11,1,49,9,11,0,1,0,90,2,5,28.6,Matches
49,Paco Alcácer\a7a9d95a,es ESP,FW,Villarreal,es La Liga,25,1993,10.3,1,0,0,4,12,13,3,2,2,1,0,0,40,8,18,30.8,Matches
50,Paco Alcácer\a7a9d95a,es ESP,FW,Dortmund,de Bundesliga,25,1993,5.9,0,0,0,2,3,7,2,2,2,0,0,0,17,4,15,21.1,Matches
51,Thiago Alcántara\77e84962,es ESP,MF,Bayern Munich,de Bundesliga,28,1991,19.7,7,0,0,25,22,0,7,23,38,0,0,0,305,29,38,43.3,Matches
52,Rubén Alcaraz\036bba5f,es ESP,MF,Valladolid,es La Liga,28,1991,21.4,10,0,0,46,68,0,12,16,36,0,2,0,283,43,43,50.0,Matches
53,Toby Alderweireld\f7d50789,be BEL,DF,Tottenham,eng Premier League,30,1989,32.9,7,0,0,20,5,1,8,11,24,0,0,1,322,76,54,58.5,Matches
54,Haitam Aleesami\4085f08e,no NOR,DF,Amiens,fr Ligue 1,28,1991,21.3,4,0,0,36,11,1,36,26,28,0,0,0,197,38,22,63.3,Matches
55,Álex Alegría\46166b49,es ESP,FWMF,Mallorca,es La Liga,26,1992,1.2,0,0,0,3,4,1,0,1,0,0,0,0,5,11,9,55.0,Matches
56,Carles Aleñá\6c811eb7,es ESP,MF,Barcelona,es La Liga,21,1998,1.9,0,0,0,3,4,0,0,0,1,0,0,0,12,2,3,40.0,Matches
57,Carles Aleñá\6c811eb7,es ESP,MFFW,Betis,es La Liga,21,1998,8.2,1,0,0,17,22,3,2,1,11,0,0,0,55,4,11,26.7,Matches
58,Rúnar Alex Rúnarsson\8fa8f8d2,is ISL,GK,Dijon,fr Ligue 1,24,1995,10.0,0,0,0,0,3,0,0,0,0,0,0,0,45,0,0,,Matches
59,Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,Liverpool,eng Premier League,20,1998,35.3,5,0,0,25,10,3,183,34,25,0,0,0,352,14,32,30.4,Matches
60,Enrico Alfonso\95adf1e1,it ITA,GK,Brescia,it Serie A,31,1988,3.1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,,Matches
61,Rachid Alioui\bdedd861,ma MAR,FW,Angers,fr Ligue 1,27,1992,17.4,1,0,0,25,36,5,14,4,11,0,0,0,67,43,63,40.6,Matches
62,Alisson\7a2e46a8,br BRA,GK,Liverpool,eng Premier League,26,1992,28.3,0,1,0,0,2,0,0,1,0,0,0,0,153,0,0,,Matches
63,Allan\cc700722,br BRA,MF,Napoli,it Serie A,28,1991,14.2,3,0,0,33,26,0,9,5,36,0,0,0,123,10,7,58.8,Matches
64,Dele Alli\cea4ee8f,eng ENG,MFFW,Tottenham,eng Premier League,23,1996,20.5,2,0,0,14,37,6,5,7,29,0,0,0,157,17,32,34.7,Matches
65,Miguel Almirón\862a1c15,py PAR,MFFW,Newcastle Utd,eng Premier League,25,1994,33.6,5,0,0,35,68,24,38,20,36,0,0,0,228,9,37,19.6,Matches
66,Marcos Alonso\f4290206,es ESP,DF,Chelsea,eng Premier League,28,1990,15.9,4,0,0,18,17,2,51,14,19,1,0,0,183,42,31,57.5,Matches
67,Mickaël Alphonse\0a63446f,gp GLP,DF,Dijon,fr Ligue 1,30,1989,15.3,2,0,0,18,13,1,26,13,19,0,0,1,101,35,9,79.5,Matches
68,Sergio Álvarez\88d91621,es ESP,MFDF,Eibar,es La Liga,27,1992,12.7,6,0,0,28,9,0,3,9,20,0,1,0,143,24,34,41.4,Matches
69,Sergio Álvarez\8875b8c9,es ESP,GK,Celta Vigo,es La Liga,32,1986,2.0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,Matches
70,Yeray Álvarez\3ecc11d8,es ESP,DF,Athletic Club,es La Liga,24,1995,31.2,2,0,0,26,36,1,11,34,25,0,1,0,326,88,61,59.1,Matches
71,Bruno Alves\585a73a8,pt POR,DF,Parma,it Serie A,37,1981,29.7,4,0,0,26,11,1,16,15,11,0,2,0,256,88,23,79.3,Matches
72,Steven Alzate\ad1f61f3,co COL,MFDF,Brighton,eng Premier League,20,1998,13.2,1,0,0,21,21,3,11,10,23,0,0,0,137,14,11,56.0,Matches
73,Ibrahim Amadou\9260926b,fr FRA,DFMF,Norwich City,eng Premier League,26,1993,8.4,1,0,0,8,3,0,1,11,7,0,1,0,75,15,14,51.7,Matches
74,Ibrahim Amadou\9260926b,fr FRA,MF,Leganés,es La Liga,26,1993,8.6,2,0,0,18,8,0,3,5,9,0,0,0,82,20,17,54.1,Matches
75,Romain Amalfitano\d7bf3d19,fr FRA,MF,Dijon,fr Ligue 1,29,1989,18.8,5,0,0,31,44,0,11,17,22,0,0,0,214,11,13,45.8,Matches
76,Amath\f3b1d9a2,sn SEN,MF,Getafe,es La Liga,23,1996,0.7,0,0,0,3,4,0,0,1,0,0,0,0,8,1,1,50.0,Matches
77,Jordan Amavi\22721b88,fr FRA,DF,Marseille,fr Ligue 1,25,1994,24.0,9,0,0,45,21,1,31,30,28,0,1,0,219,72,19,79.1,Matches
