Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
78,Thierry Ambrose\2945f4b7,fr FRA,FW,Metz,fr Ligue 1,22,1997,6.1,1,0,0,10,9,1,12,4,5,0,0,0,50,21,18,53.8,Matches
79,Kelvin Amian\bcc81786,fr FRA,DF,Toulouse,fr Ligue 1,21,1998,18.1,3,0,0,22,10,0,9,12,15,0,1,0,132,20,17,54.1,Matches
80,Nadiem Amiri\555d5edd,de GER,MFDF,Leverkusen,de Bundesliga,22,1996,20.6,3,0,0,27,42,3,32,14,13,1,0,0,198,7,21,25.0,Matches
81,Ethan Ampadu\10b9fa99,wls WAL,DF,RB Leipzig,de Bundesliga,18,2000,0.9,0,0,0,1,0,0,0,0,3,0,0,0,8,3,0,100.0,Matches
82,Opoku Ampomah\e7199efb,gh GHA,FWMF,Düsseldorf,de Bundesliga,23,1996,5.6,1,0,0,17,6,8,7,3,6,0,0,0,33,4,9,30.8,Matches
83,Sofyan Amrabat\5a2cb25d,ma MAR,MF,Hellas Verona,it Serie A,22,1996,32.4,10,2,0,70,68,0,28,27,42,1,0,0,356,24,41,36.9,Matches
84,Joachim Andersen\e34fc66d,dk DEN,DF,Lyon,fr Ligue 1,23,1996,17.0,3,0,0,15,3,0,3,8,10,0,1,0,170,56,25,69.1,Matches
85,Djavan Anderson\ca241ad3,nl NED,DFMF,Lazio,it Serie A,24,1995,1.9,1,0,0,4,1,0,2,1,1,0,0,0,19,1,2,33.3,Matches
86,Felipe Anderson\9f1893b9,br BRA,MFFW,West Ham,eng Premier League,26,1993,16.6,1,0,0,20,29,2,32,14,30,0,0,0,135,4,24,14.3,Matches
87,Sebastian Andersson\b4cf5806,se SWE,FW,Union Berlin,de Bundesliga,28,1991,29.8,5,0,0,62,42,21,24,6,11,0,0,0,123,229,215,51.6,Matches
88,Florin Andone\dc008610,ro ROU,MFFW,Brighton,eng Premier League,26,1993,0.8,0,1,0,1,2,0,1,0,2,0,0,0,7,2,3,40.0,Matches
89,Benjamin André\ef9c1c95,fr FRA,MF,Lille,fr Ligue 1,28,1990,22.8,6,0,0,56,43,0,10,45,63,0,0,0,323,70,49,58.8,Matches
90,Lorenzo Andrenacci\fe471a89,it ITA,GK,Brescia,it Serie A,24,1995,5.9,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,,Matches
91,Robert Andrich\e0b113a7,de GER,MF,Union Berlin,de Bundesliga,24,1994,28.6,13,1,1,76,45,0,29,37,46,2,0,0,401,51,36,58.6,Matches
92,Victorien Angban\d8992b84,ci CIV,MF,Metz,fr Ligue 1,22,1996,11.4,0,0,0,18,27,0,2,9,16,0,0,0,127,5,14,26.3,Matches
93,Miguel Ángel Guerrero\b35db3f6,es ESP,FW,Leganés,es La Liga,29,1990,8.8,0,0,0,17,9,3,2,1,1,0,0,0,31,21,43,32.8,Matches
94,Miguel Ángel Moyá\011d8c56,es ESP,GK,Real Sociedad,es La Liga,35,1984,13.0,0,0,0,0,3,0,0,0,0,0,0,0,70,0,0,,Matches
95,José Ángel\3024e383,es ESP,DF,Eibar,es La Liga,29,1989,26.2,4,0,0,21,14,0,108,27,31,0,1,0,311,47,27,63.5,Matches
96,Angeliño\30941e96,es ESP,DF,Manchester City,eng Premier League,22,1997,4.7,1,0,0,2,4,0,30,5,5,0,0,0,49,8,8,50.0,Matches
97,Angeliño\30941e96,es ESP,DF,RB Leipzig,de Bundesliga,22,1997,12.2,2,0,0,14,16,3,44,10,8,0,0,0,118,10,16,38.5,Matches
98,Faustino Anjorin\b105919e,eng ENG,FW,Chelsea,eng Premier League,17,2001,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
99,Peter Ankersen\df525574,dk DEN,DF,Genoa,it Serie A,28,1990,11.8,2,0,0,9,10,1,17,9,5,0,0,0,73,9,4,69.2,Matches
100,Cristian Ansaldi\bbafc0c4,ar ARG,DFMF,Torino,it Serie A,32,1986,19.6,9,0,0,29,33,4,123,12,27,0,0,0,154,14,16,46.7,Matches
101,Janis Antiste\38d9ce53,fr FRA,MF,Toulouse,fr Ligue 1,16,2002,0.1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,,Matches
102,Michail Antonio\ac05f970,jm JAM,FW,West Ham,eng Premier League,29,1990,19.6,3,0,0,41,41,12,52,8,10,0,0,0,95,76,115,39.8,Matches
103,Antoñito\dbe519cf,es ESP,DFMF,Valladolid,es La Liga,31,1987,11.4,1,0,0,18,10,1,32,19,16,0,0,0,71,10,8,55.6,Matches
104,Mirko Antonucci\91976866,it ITA,FWMF,Roma,it Serie A,20,1999,0.9,1,0,0,2,1,0,2,3,2,0,0,0,7,0,0,,Matches
105,Vitorino Antunes\3e4f735d,pt POR,MF,Getafe,es La Liga,32,1987,0.1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,Matches
106,Christopher Antwi-Adjei\0a3f6cde,gh GHA,MFFW,Paderborn 07,de Bundesliga,25,1994,27.4,2,0,0,20,38,4,47,11,20,0,0,0,170,24,37,39.3,Matches
107,Anuar\c93231dc,ma MAR,MFFW,Valladolid,es La Liga,24,1995,2.1,1,0,0,5,5,0,1,3,4,0,0,0,25,2,5,28.6,Matches
108,Houssem Aouar\a5db0bec,fr FRA,MFFW,Lyon,fr Ligue 1,21,1998,21.7,3,0,0,27,48,2,21,11,19,0,0,0,137,15,13,53.6,Matches
109,Adil Aouchiche\b94b8be1,fr FRA,MF,Paris S-G,fr Ligue 1,17,2002,0.7,0,0,0,1,0,0,0,0,2,0,0,0,6,0,0,,Matches
110,Dennis Appiah\feb5d3ab,fr FRA,DF,Nantes,fr Ligue 1,27,1992,17.8,2,0,0,28,8,0,25,15,32,0,0,0,190,22,14,61.1,Matches
111,Mauro Arambarri\58afe001,uy URU,MF,Getafe,es La Liga,23,1995,34.1,11,1,1,91,67,0,32,26,49,0,0,0,447,63,73,46.3,Matches
112,Guilherme Arana\2b15a82a,br BRA,DF,Atalanta,it Serie A,22,1997,0.9,0,0,0,2,3,0,3,1,2,0,0,0,9,0,0,,Matches
113,Charles Aránguiz\56413b1f,cl CHI,MF,Leverkusen,de Bundesliga,30,1989,23.5,2,0,0,20,46,0,6,23,31,0,0,0,303,13,25,34.2,Matches
114,Luiz Araújo\fa18c72e,br BRA,FWMF,Lille,fr Ligue 1,23,1996,9.2,1,0,0,13,26,0,20,5,9,1,0,0,77,6,8,42.9,Matches
115,Néstor Araujo\27a013f7,mx MEX,DF,Celta Vigo,es La Liga,27,1991,32.1,10,0,0,29,10,0,2,38,27,0,0,0,278,91,36,71.7,Matches
116,Ronald Araújo\2bef2bca,uy URU,DF,Barcelona,es La Liga,20,1999,2.6,0,1,0,1,1,0,0,0,2,0,0,0,18,5,3,62.5,Matches
117,Anaitz Arbilla\850c0a0d,es ESP,DF,Eibar,es La Liga,32,1987,22.3,5,0,0,24,13,0,18,15,20,0,0,0,319,56,28,66.7,Matches
118,Alphonse Areola\2f965a72,fr FRA,GK,Real Madrid,es La Liga,26,1993,4.0,1,0,0,1,0,0,0,0,0,0,1,0,24,0,0,,Matches
119,Alphonse Areola\2f965a72,fr FRA,GK,Paris S-G,fr Ligue 1,26,1993,3.0,0,0,0,0,1,0,0,0,0,0,0,0,15,0,0,,Matches
120,Santiago Arias\fdd60087,co COL,DF,Atlético Madrid,es La Liga,27,1992,12.0,1,0,0,9,17,1,36,9,17,0,0,0,104,21,20,51.2,Matches
121,Nicolò Armini\2f7407fa,it ITA,DF,Lazio,it Serie A,18,2001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
122,Stuart Armstrong\97333cf5,sct SCO,MF,Southampton,eng Premier League,27,1992,19.1,4,0,0,26,22,4,14,9,25,0,0,0,169,10,29,25.6,Matches
123,José Arnaiz\46e07328,es ESP,FWMF,Osasuna,es La Liga,24,1995,8.8,2,0,0,11,18,5,6,5,3,0,0,0,46,8,25,24.2,Matches
124,José Arnaiz\46e07328,es ESP,MFFW,Leganés,es La Liga,24,1995,3.7,2,0,0,10,7,1,10,2,3,0,0,0,33,1,5,16.7,Matches
125,Maximilian Arnold\86e119e0,de GER,MF,Wolfsburg,de Bundesliga,25,1994,31.3,8,0,0,52,76,0,63,23,35,0,0,0,350,23,20,53.5,Matches
126,Kepa Arrizabalaga\28d596a0,es ESP,GK,Chelsea,eng Premier League,24,1994,33.0,0,0,0,0,5,0,0,0,0,0,0,0,138,0,0,,Matches
127,Kwadwo Asamoah\089550f5,gh GHA,DF,Inter,it Serie A,30,1988,7.1,1,0,0,6,9,2,14,10,5,0,0,0,67,3,4,42.9,Matches
128,Santiago Ascacíbar\e26fcca3,ar ARG,MF,Hertha BSC,de Bundesliga,22,1997,7.0,2,0,0,11,5,0,1,8,22,0,0,0,99,7,11,38.9,Matches
129,Sergio Asenjo\9f0ea33f,es ESP,GK,Villarreal,es La Liga,30,1989,34.0,2,0,0,2,6,0,0,0,0,0,1,0,137,0,0,,Matches
130,Marco Asensio\45af8a54,es ESP,FW,Real Madrid,es La Liga,23,1996,3.7,0,0,0,3,4,1,9,2,4,0,0,0,19,3,5,37.5,Matches
131,Kristoffer Askildsen\a69cc629,no NOR,MF,Sampdoria,it Serie A,18,2001,0.8,2,1,1,4,0,0,0,0,1,0,0,0,6,0,1,0.0,Matches
132,Iago Aspas\7dcf86f6,es ESP,FW,Celta Vigo,es La Liga,31,1987,36.2,9,0,0,33,76,20,36,19,21,2,0,0,160,24,67,26.4,Matches
133,Roger Assalé\5d5219b1,ci CIV,FWMF,Leganés,es La Liga,25,1993,5.9,1,0,0,8,13,7,6,0,1,3,0,0,18,2,11,15.4,Matches
134,Youcef Atal\6a827d8e,dz ALG,FWDF,Nice,fr Ligue 1,23,1996,11.1,5,0,0,14,28,4,30,17,17,1,1,0,70,14,9,60.9,Matches
135,Miguel Atienza\12eda7be,es ESP,MF,Eibar,es La Liga,20,1999,0.3,0,0,0,2,1,0,0,1,1,0,0,0,2,2,0,100.0,Matches
136,Christian Atsu\8816329f,gh GHA,FWMF,Newcastle Utd,eng Premier League,27,1992,8.3,2,0,0,12,11,4,15,7,9,0,0,0,50,7,12,36.8,Matches
137,Pierre-Emerick Aubameyang\d5dd5f1f,ga GAB,FW,Arsenal,eng Premier League,30,1989,34.8,3,1,0,21,23,20,84,9,24,0,0,0,125,37,59,38.5,Matches
138,Emil Audero\649b01d8,it ITA,GK,Sampdoria,it Serie A,22,1997,36.0,1,0,0,0,5,0,0,0,0,0,0,1,140,0,0,,Matches
139,Tommaso Augello\3cd3b384,it ITA,DF,Sampdoria,it Serie A,24,1994,12.6,2,0,0,5,5,1,65,8,13,0,0,0,119,15,5,75.0,Matches
140,Jean-Kévin Augustin\97bfa797,fr FRA,FW,Monaco,fr Ligue 1,22,1997,3.0,0,0,0,3,7,4,0,4,0,1,0,0,11,0,8,0.0,Matches
141,Ludwig Augustinsson\9fec8860,se SWE,DF,Werder Bremen,de Bundesliga,25,1994,10.3,2,0,0,19,12,1,35,8,18,0,0,0,85,21,15,58.3,Matches
142,Serge Aurier\5c2b4f07,ci CIV,DF,Tottenham,eng Premier League,26,1992,30.0,4,1,1,42,25,6,98,29,55,0,2,1,320,67,67,50.0,Matches
143,Mathias Autret\7dfbba27,fr FRA,MFFW,Brest,fr Ligue 1,28,1991,13.6,3,0,0,18,9,0,30,10,11,0,0,0,90,5,15,25.0,Matches
144,Ezequiel Ávila\253a06b9,ar ARG,FW,Osasuna,es La Liga,25,1994,17.7,6,0,0,48,43,24,28,4,16,1,0,0,88,47,82,36.4,Matches
145,Javier Avilés\53ddba36,es ESP,MFFW,Leganés,es La Liga,21,1997,2.0,1,0,0,5,2,2,12,1,3,0,0,0,16,2,5,28.6,Matches
146,Chidozie Awaziem\70d8e84c,ng NGA,DF,Leganés,es La Liga,22,1997,22.2,10,0,0,24,12,2,8,12,26,0,0,0,186,50,48,51.0,Matches
147,Taiwo Awoniyi\e5478b87,ng NGA,FW,Mainz 05,de Bundesliga,21,1997,5.4,1,0,0,5,3,3,9,2,2,0,1,0,27,12,24,33.3,Matches
148,Florian Ayé\718b8afd,fr FRA,FWMF,Brescia,it Serie A,22,1997,15.3,4,1,1,20,22,5,5,2,13,1,0,0,69,48,62,43.6,Matches
149,Jordan Ayew\da052c14,gh GHA,FWMF,Crystal Palace,eng Premier League,27,1991,35.0,6,0,0,75,112,9,20,14,29,0,0,0,212,59,175,25.2,Matches
150,Kaan Ayhan\2200181e,tr TUR,DF,Düsseldorf,de Bundesliga,24,1994,30.3,10,0,0,38,21,3,17,37,33,0,1,0,283,43,53,44.8,Matches
151,Ramon Azeez\0cc474e7,ng NGA,MF,Granada,es La Liga,26,1992,15.1,3,0,0,31,20,1,3,15,14,0,0,0,128,19,28,40.4,Matches
152,César Azpilicueta\53cad200,es ESP,DF,Chelsea,eng Premier League,29,1989,35.9,1,0,0,45,17,3,110,39,61,0,0,0,380,94,60,61.0,Matches
153,Ludovic Baal\d3ce9f1f,gf GUF,DF,Brest,fr Ligue 1,33,1986,9.2,1,0,0,8,16,1,20,14,21,0,1,0,112,21,13,61.8,Matches
154,Iddrisu Baba\bfd381b3,gh GHA,MF,Mallorca,es La Liga,23,1996,32.3,6,0,0,53,66,1,3,23,45,0,3,1,404,70,76,47.9,Matches
155,Khouma Babacar\422ec08a,sn SEN,FW,Lecce,it Serie A,26,1993,15.8,4,0,0,34,35,7,4,2,9,3,0,0,64,26,63,29.2,Matches
156,Carlos Bacca\09a9e921,co COL,FWMF,Villarreal,es La Liga,32,1986,7.6,1,0,0,7,8,7,3,1,1,1,0,0,26,7,12,36.8,Matches
157,Milan Badelj\e8c930bb,hr CRO,MF,Fiorentina,it Serie A,30,1989,17.6,3,1,1,26,22,0,2,26,26,0,0,0,178,11,15,42.3,Matches
158,Matthias Bader\3489184e,de GER,DF,Köln,de Bundesliga,22,1997,0.1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,Matches
159,Benoît Badiashile\06df8256,fr FRA,DF,Monaco,fr Ligue 1,18,2001,15.7,0,0,0,18,16,0,0,19,12,0,0,0,214,53,26,67.1,Matches
