Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Patrick van Aanholt\5f09991f,nl NED,DF,Crystal Palace,eng Premier League,26,1990,24.3,5,33,11,33.3,1.36,0.45,0.15,0.45,22.3,4,0,0,3.4,3.4,0.10,+1.6,+1.6,Matches
2,Rolando Aarons\c5942695,eng ENG,FWMF,Newcastle Utd,eng Premier League,21,1995,1.5,0,2,0,0.0,1.29,0.00,0.00,,20.6,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
3,Rolando Aarons\c5942695,eng ENG,MFFW,Hellas Verona,it Serie A,21,1995,5.7,0,3,0,0.0,0.52,0.00,0.00,,15.7,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
4,Ignazio Abate\1c529186,it ITA,DF,Milan,it Serie A,30,1986,11.7,1,4,2,50.0,0.34,0.17,0.25,0.50,17.9,0,0,0,0.3,0.3,0.07,+0.7,+0.7,Matches
5,Aymen Abdennour\2f798b41,tn TUN,DF,Marseille,fr Ligue 1,27,1989,5.6,0,2,1,50.0,0.36,0.18,0.00,0.00,11.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
6,Aly Abeid\bbe88396,mr MTN,DF,Levante,es La Liga,19,1997,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
7,Mehdi Abeid\a4c3f7af,dz ALG,MF,Dijon,fr Ligue 1,24,1992,13.1,0,21,6,28.6,1.61,0.46,0.00,0.00,24.7,2,0,0,1.0,1.0,0.05,-1.0,-1.0,Matches
8,David Abraham\565bf0da,ar ARG,DF,Eint Frankfurt,de Bundesliga,31,1986,25.6,0,12,1,8.3,0.47,0.04,0.00,0.00,13.6,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
9,Tammy Abraham\f586779e,eng ENG,FW,Swansea City,eng Premier League,19,1997,19.2,5,42,13,31.0,2.19,0.68,0.12,0.38,12.3,0,0,0,6.7,6.7,0.16,-1.7,-1.7,Matches
10,Amir Abrashi\1c08a3c8,al ALB,MF,Freiburg,de Bundesliga,27,1990,9.4,0,5,0,0.0,0.53,0.00,0.00,,20.9,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
11,Francesco Acerbi\b96b595c,it ITA,DF,Sassuolo,it Serie A,29,1988,38.0,0,15,2,13.3,0.39,0.05,0.00,0.00,15.6,0,0,0,1.5,1.5,0.10,-1.5,-1.5,Matches
12,Afriyie Acquah\d7403bd5,gh GHA,MF,Torino,it Serie A,25,1992,10.6,1,9,3,33.3,0.85,0.28,0.11,0.33,22.9,0,0,0,0.6,0.6,0.07,+0.4,+0.4,Matches
13,Charlie Adam\aff418dc,sct SCO,MF,Stoke City,eng Premier League,31,1985,4.6,0,10,2,20.0,2.19,0.44,0.00,0.00,32.8,3,0,1,1.2,0.4,0.04,-1.2,-0.4,Matches
14,Antonio Adán\65d62814,es ESP,GK,Betis,es La Liga,30,1987,30.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
15,Aday\5890cef1,es ESP,MFDF,Girona,es La Liga,29,1987,20.4,2,32,14,43.8,1.57,0.69,0.03,0.07,23.0,6,1,2,2.6,1.1,0.04,-0.6,-0.1,Matches
16,Khaled Adénon\16714a62,bj BEN,DF,Amiens,fr Ligue 1,32,1985,32.5,0,5,1,20.0,0.15,0.03,0.00,0.00,6.3,0,0,0,0.5,0.5,0.10,-0.5,-0.5,Matches
17,Claud Adjapong\ce5b170a,it ITA,DFMF,Sassuolo,it Serie A,19,1998,13.6,0,15,3,20.0,1.11,0.22,0.00,0.00,21.1,0,0,0,0.6,0.6,0.04,-0.6,-0.6,Matches
18,René Adler\f71890f5,de GER,GK,Mainz 05,de Bundesliga,32,1985,14.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
19,Ali Adnan Kadhim\06050480,iq IRQ,DFMF,Udinese,it Serie A,23,1993,18.6,0,11,3,27.3,0.59,0.16,0.00,0.00,28.0,4,0,0,0.4,0.4,0.04,+0.6,+0.6,Matches
20,Adrián\f76e6b4e,es ESP,GK,West Ham,eng Premier League,30,1987,19.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
21,Aritz Aduriz\293211e1,es ESP,FW,Athletic Club,es La Liga,36,1981,23.9,9,54,25,46.3,2.26,1.05,0.11,0.24,12.6,0,3,5,10.6,7.1,0.13,-1.6,-1.1,Matches
22,Ibrahim Afellay\9a8c6673,nl NED,MF,Stoke City,eng Premier League,31,1986,1.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
23,Benik Afobe\b63f4077,cd COD,FWMF,Bournemouth,eng Premier League,24,1993,6.8,0,8,3,37.5,1.18,0.44,0.00,0.00,7.9,0,0,0,1.2,1.2,0.16,-1.2,-1.2,Matches
24,Martin Agirregabiria\355c883a,es ESP,DF,Alavés,es La Liga,21,1996,20.3,0,3,1,33.3,0.15,0.05,0.00,0.00,34.5,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
