Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
32,Stole Dimitrievski\fc70e345,mk MKD,GK,Rayo Vallecano,es La Liga,27-338,1993,15,14,1332,14.8,16,1.08,52,41,78.8,7,3,4,4,28.6,7,5,2,0,28.6,Matches
33,Matías Dituro\b6160ad0,ar ARG,GK,Celta Vigo,es La Liga,34-204,1987,15,15,1350,15.0,19,1.27,62,44,71.0,4,4,7,5,33.3,4,1,3,0,75.0,Matches
34,Ouparine Djoco\62124972,sn SEN,GK,Clermont Foot,fr Ligue 1,23-220,1998,1,1,90,1.0,2,2.00,4,2,50.0,0,0,1,0,0.0,0,0,0,0,,Matches
35,Marko Dmitrović\ac295d9e,rs SRB,GK,Sevilla,es La Liga,29-308,1992,2,2,180,2.0,3,1.50,9,6,66.7,2,0,0,1,50.0,0,0,0,0,,Matches
36,Gianluigi Donnarumma\08f5afaa,it ITA,GK,Paris S-G,fr Ligue 1,22-276,1999,5,5,450,5.0,5,1.00,16,11,68.8,4,0,1,1,20.0,0,0,0,0,,Matches
37,Bartłomiej Drągowski\085e71a7,pl POL,GKDF,Fiorentina,it Serie A,24-101,1997,5,5,376,4.2,6,1.44,15,10,66.7,2,0,3,1,20.0,2,1,1,0,50.0,Matches
38,Martin Dúbravka\3a949a25,sk SVK,GK,Newcastle Utd,eng Premier League,32-317,1989,1,1,90,1.0,2,2.00,6,4,66.7,0,0,1,0,0.0,0,0,0,0,,Matches
39,Ederson\3bb7b8b4,br BRA,GK,Manchester City,eng Premier League,28-103,1993,11,11,990,11.0,6,0.55,17,12,70.6,7,2,2,7,63.6,1,1,0,0,0.0,Matches
40,Aarón Escandell\67669ce7,es ESP,GK,Granada,es La Liga,26-062,1995,4,3,284,3.2,6,1.90,14,10,71.4,0,2,1,1,33.3,2,2,0,0,0.0,Matches
41,Łukasz Fabiański\9328b835,pl POL,GK,West Ham,eng Premier League,36-224,1985,12,12,1080,12.0,14,1.17,48,32,70.8,7,2,3,3,25.0,0,0,0,0,,Matches
42,Wuilker Faríñez\2c127b6f,ve VEN,GK,Lens,fr Ligue 1,23-286,1998,1,1,90,1.0,0,0.00,3,3,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
43,Aitor Fernández\a01c3d54,es ESP,GK,Levante,es La Liga,30-209,1991,9,9,806,9.0,19,2.12,55,37,67.3,0,5,4,1,11.1,1,1,0,0,0.0,Matches
44,Álvaro Fernández\f127d782,es ESP,GK,Brentford,eng Premier League,23-229,1998,3,3,270,3.0,8,2.67,16,9,56.3,0,1,2,0,0.0,1,1,0,0,0.0,Matches
45,Mark Flekken\a92ab7be,nl NED,GK,Freiburg,de Bundesliga,28-168,1993,13,13,1170,13.0,13,1.00,60,49,80.0,6,4,3,4,30.8,1,1,0,0,0.0,Matches
46,Ben Foster\d0b3ceb9,eng ENG,GK,Watford,eng Premier League,38-239,1983,8,8,720,8.0,13,1.62,34,21,61.8,3,1,4,0,0.0,1,0,1,0,100.0,Matches
47,Marius Funk\86314793,de GER,GK,Greuther Fürth,de Bundesliga,25-331,1996,7,7,630,7.0,23,3.29,44,25,52.3,0,0,7,0,0.0,2,2,0,0,0.0,Matches
48,Gauthier Gallon\db3164e1,fr FRA,GK,Troyes,fr Ligue 1,28-219,1993,14,14,1260,14.0,22,1.57,67,46,70.1,3,4,7,2,14.3,2,2,0,0,0.0,Matches
49,David de Gea\7ba6d84e,es ESP,GK,Manchester Utd,eng Premier League,31-021,1990,12,12,1080,12.0,21,1.75,54,34,61.1,5,2,5,2,16.7,3,0,3,0,100.0,Matches
50,Rafał Gikiewicz\17376543,pl POL,GK,Augsburg,de Bundesliga,34-033,1987,13,13,1170,13.0,22,1.69,57,37,64.9,3,4,6,3,23.1,2,2,0,0,0.0,Matches
51,Alfred Gomis\cecbce23,sn SEN,GK,Rennes,fr Ligue 1,28-084,1993,13,13,1170,13.0,10,0.77,38,27,76.3,7,4,2,6,46.2,1,1,0,0,0.0,Matches
52,Ivo Grbić\3f034750,hr CRO,GK,Lille,fr Ligue 1,25-314,1996,13,13,1170,13.0,15,1.15,55,41,74.5,4,5,4,1,7.7,1,1,0,0,0.0,Matches
53,Etienne Green\667b65da,eng ENG,GK,Saint-Étienne,fr Ligue 1,21-132,2000,12,12,972,10.8,18,1.67,47,30,61.7,2,5,5,1,8.3,0,0,0,0,,Matches
54,Dominik Greif\30061f53,sk SVK,GK,Mallorca,es La Liga,24-236,1997,1,1,90,1.0,3,3.00,6,3,50.0,0,0,1,0,0.0,0,0,0,0,,Matches
55,Vicente Guaita\ab13a5aa,es ESP,GK,Crystal Palace,eng Premier League,34-322,1987,13,13,1170,13.0,19,1.46,57,38,66.7,3,7,3,4,30.8,0,0,0,0,,Matches
56,Péter Gulácsi\bcb2ccd8,hu HUN,GK,RB Leipzig,de Bundesliga,31-206,1990,12,12,1080,12.0,13,1.08,44,33,75.0,5,3,4,3,25.0,2,2,0,0,0.0,Matches
57,Samir Handanović\74419746,si SVN,GK,Inter,it Serie A,37-137,1984,14,14,1260,14.0,15,1.07,51,39,76.5,9,4,1,4,28.6,3,3,0,0,0.0,Matches
58,Sergio Herrera\a4995f48,es ESP,GK,Osasuna,es La Liga,28-176,1993,13,13,1170,13.0,16,1.23,45,31,68.9,5,4,4,5,38.5,2,2,0,0,0.0,Matches
59,Marwin Hitz\2e7ff968,ch SUI,GK,Dortmund,de Bundesliga,34-071,1987,1,0,45,0.5,1,2.00,4,4,100.0,0,0,0,0,,1,1,0,0,0.0,Matches
60,Timo Horn\3cd9e95a,de GER,GK,Köln,de Bundesliga,28-200,1993,12,12,1080,12.0,21,1.75,53,33,60.4,3,6,3,0,0.0,0,0,0,0,,Matches
61,Lukáš Hrádecký\ad3389d5,fi FIN,GK,Leverkusen,de Bundesliga,32-004,1989,12,12,1080,12.0,17,1.42,69,53,76.8,6,3,3,4,33.3,2,1,1,0,50.0,Matches
62,Caoimhín Kelleher\62d7ef38,ie IRL,GK,Liverpool,eng Premier League,23-005,1998,1,1,90,1.0,0,0.00,1,1,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
63,Gregor Kobel\cd59b9df,ch SUI,GK,Dortmund,de Bundesliga,23-357,1997,13,13,1125,12.5,18,1.44,54,38,68.5,10,0,3,1,7.7,1,1,0,0,0.0,Matches
64,Tim Krul\f23f9d20,nl NED,GK,Norwich City,eng Premier League,33-239,1988,13,13,1170,13.0,27,2.08,68,43,63.2,2,3,8,3,23.1,3,2,1,0,33.3,Matches
65,Alban Lafont\4e7db402,fr FRA,GK,Nantes,fr Ligue 1,22-309,1999,15,15,1350,15.0,20,1.33,64,44,68.8,5,4,6,2,13.3,1,0,1,0,100.0,Matches
66,Jean-Louis Leca\edbe46dc,fr FRA,GK,Lens,fr Ligue 1,36-068,1985,14,14,1260,14.0,20,1.43,49,31,63.3,6,4,4,3,21.4,2,2,0,0,0.0,Matches
67,Jeremías Ledesma\6c4776b1,ar ARG,GK,Cádiz,es La Liga,28-288,1993,14,14,1260,14.0,23,1.64,62,42,69.4,2,6,6,3,21.4,4,4,0,0,0.0,Matches
68,Bernd Leno\2628fd2b,de GER,GK,Arsenal,eng Premier League,29-269,1992,3,3,270,3.0,9,3.00,18,8,50.0,0,0,3,0,0.0,0,0,0,0,,Matches
69,Luca Lezzerini\c9c32262,it ITA,GK,Venezia,it Serie A,26-249,1995,2,2,135,1.5,3,2.00,13,10,76.9,1,0,1,0,0.0,0,0,0,0,,Matches
70,Hugo Lloris\8f62b6ee,fr FRA,GK,Tottenham,eng Premier League,34-337,1986,12,12,1080,12.0,17,1.42,51,36,68.6,6,1,5,4,33.3,1,1,0,0,0.0,Matches
71,Anthony Lopes\f00de885,pt POR,GK,Lyon,fr Ligue 1,31-058,1990,12,12,1063,11.8,20,1.69,68,53,75.0,4,4,4,1,8.3,3,3,0,0,0.0,Matches
72,Diego López\73683fa9,es ESP,GK,Espanyol,es La Liga,40-025,1981,14,14,1260,14.0,14,1.00,63,51,79.4,4,5,5,5,35.7,1,1,0,0,0.0,Matches
73,Pau López\20b9f052,es ESP,GK,Marseille,fr Ligue 1,26-350,1994,9,9,810,9.0,7,0.78,26,20,80.8,4,3,2,5,55.6,2,2,0,0,0.0,Matches
74,Andreas Luthe\7fe12375,de GER,GK,Union Berlin,de Bundesliga,34-263,1987,12,12,1080,12.0,17,1.42,46,31,65.2,5,5,2,4,33.3,1,1,0,0,0.0,Matches
75,Niki Mäenpää\14a96e1c,fi FIN,GK,Venezia,it Serie A,36-309,1985,6,5,495,5.5,9,1.64,18,11,61.1,0,2,3,0,0.0,3,2,0,1,0.0,Matches
76,Mike Maignan\fcb38f57,fr FRA,GK,Milan,it Serie A,26-148,1995,7,7,630,7.0,5,0.71,23,18,82.6,6,1,0,3,42.9,1,1,0,0,0.0,Matches
77,Giorgi Mamardashvili\d4b73232,ge GEO,GK,Valencia,es La Liga,21-060,2000,6,6,540,6.0,7,1.17,25,18,72.0,3,1,2,2,33.3,0,0,0,0,,Matches
78,Steve Mandanda\1d2d5cc8,fr FRA,GK,Marseille,fr Ligue 1,36-245,1985,4,4,360,4.0,5,1.25,14,9,64.3,2,2,0,1,25.0,0,0,0,0,,Matches
79,Emiliano Martínez\7956236f,ar ARG,GK,Aston Villa,eng Premier League,29-087,1992,12,12,1080,12.0,18,1.50,50,33,64.0,5,1,6,4,33.3,2,0,1,1,100.0,Matches
80,Luís Maximiano\3318286e,pt POR,GK,Granada,es La Liga,22-327,1999,11,11,976,10.8,16,1.48,63,48,74.6,2,4,5,2,18.2,1,0,1,0,100.0,Matches
81,Alex McCarthy\36c2ca73,eng ENG,GK,Southampton,eng Premier League,31-360,1989,13,13,1170,13.0,18,1.38,50,31,64.0,3,5,5,5,38.5,0,0,0,0,,Matches
