Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
1,Patrick van Aanholt\5f09991f,nl NED,DF,Crystal Palace,eng Premier League,28,1990,27.9,62,2.23,32,23,3,2,2,0,5,0.18,3,1,1,0,0,0,Matches
2,Max Aarons\774cf58b,eng ENG,DF,Norwich City,eng Premier League,19,2000,36.0,55,1.53,42,2,3,3,4,1,3,0.08,1,1,0,0,1,0,Matches
3,Yunis Abdelhamid\32c2d95f,ma MAR,DF,Reims,fr Ligue 1,31,1987,28.0,16,0.57,11,0,0,4,1,0,1,0.04,1,0,0,0,0,0,Matches
4,Suleiman Abdullahi\abf0cad0,ng NGA,FWMF,Union Berlin,de Bundesliga,22,1996,1.7,2,1.15,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
5,Mehdi Abeid\a4c3f7af,dz ALG,MF,Nantes,fr Ligue 1,26,1992,20.2,46,2.28,27,14,1,2,1,1,4,0.20,2,1,0,1,0,0,Matches
6,Charles Abi\469d3d84,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2000,6.9,12,1.73,8,0,0,0,4,0,1,0.14,0,0,0,0,1,0,Matches
7,David Abraham\565bf0da,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,18.8,11,0.59,10,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
8,Tammy Abraham\f586779e,eng ENG,FW,Chelsea,eng Premier League,21,1997,24.6,50,2.03,33,0,6,6,2,3,10,0.41,4,0,3,2,1,0,Matches
9,Amir Abrashi\1c08a3c8,al ALB,MF,Freiburg,de Bundesliga,29,1990,7.4,10,1.36,8,1,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
10,Francesco Acerbi\b96b595c,it ITA,DF,Lazio,it Serie A,31,1988,35.1,27,0.77,24,0,1,1,1,0,3,0.09,3,0,0,0,0,0,Matches
11,Che Adams\f2bf1b0f,sct SCO,FW,Southampton,eng Premier League,23,1996,12.3,25,2.03,15,0,3,2,4,1,5,0.41,2,0,1,0,2,0,Matches
12,Tyler Adams\2b09d998,us USA,MFDF,RB Leipzig,de Bundesliga,20,1999,10.6,18,1.70,14,1,0,2,1,0,2,0.19,1,0,0,0,1,0,Matches
13,Sargis Adamyan\22919e97,am ARM,FWMF,Hoffenheim,de Bundesliga,26,1993,8.3,20,2.41,16,0,1,1,2,0,4,0.48,3,0,0,0,1,0,Matches
14,Antonio Adán\65d62814,es ESP,GK,Atlético Madrid,es La Liga,32,1987,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
15,Bobby Adekanye\3ed84b2c,nl NED,FW,Lazio,it Serie A,20,1999,2.1,6,2.87,3,0,0,1,2,0,0,0.00,0,0,0,0,0,0,Matches
16,Claud Adjapong\ce5b170a,it ITA,DF,Hellas Verona,it Serie A,21,1998,2.6,1,0.39,0,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
17,Amine Adli\dcfb17f4,fr FRA,MFFW,Toulouse,fr Ligue 1,19,2000,0.5,3,5.87,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
18,Yacine Adli\26777636,fr FRA,MFFW,Bordeaux,fr Ligue 1,19,2000,11.3,38,3.35,25,5,4,2,1,1,7,0.62,3,1,2,1,0,0,Matches
19,Adrián\f76e6b4e,es ESP,GK,Liverpool,eng Premier League,32,1987,9.7,2,0.21,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
20,Aritz Aduriz\293211e1,es ESP,FW,Athletic Club,es La Liga,38,1981,2.3,2,0.87,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
21,Lumor Agbenyenu\073b1b37,gh GHA,DF,Mallorca,es La Liga,22,1996,20.1,33,1.65,23,4,2,1,3,0,0,0.00,0,0,0,0,0,0,Matches
22,Martin Agirregabiria\355c883a,es ESP,DF,Alavés,es La Liga,23,1996,23.3,23,0.99,18,1,2,0,2,0,3,0.13,3,0,0,0,0,0,Matches
23,Lucien Agoume\8bc8829a,fr FRA,MF,Inter,it Serie A,17,2002,0.8,2,2.65,2,0,0,0,0,0,1,1.32,1,0,0,0,0,0,Matches
24,Kevin Agudelo\46fa7204,co COL,MFFW,Fiorentina,it Serie A,20,1998,0.7,6,8.44,4,0,2,0,0,0,1,1.41,1,0,0,0,0,0,Matches
25,Kevin Agudelo\46fa7204,co COL,MFFW,Genoa,it Serie A,20,1998,7.4,31,4.19,21,0,5,0,1,4,2,0.27,1,0,0,0,0,1,Matches
26,Nayef Aguerd\288e1e13,ma MAR,DF,Dijon,fr Ligue 1,23,1996,10.6,3,0.28,3,0,0,0,0,0,1,0.09,1,0,0,0,0,0,Matches
27,Sergio Agüero\4d034881,ar ARG,FW,Manchester City,eng Premier League,31,1988,16.1,51,3.16,28,0,9,9,5,0,8,0.50,4,0,1,2,1,0,Matches
28,Ruben Aguilar\3dd738a1,fr FRA,DF,Monaco,fr Ligue 1,26,1993,11.9,24,2.01,22,0,0,0,1,1,3,0.25,3,0,0,0,0,0,Matches
29,Emmanuel Agyemang-Badu\fe0b8f0e,gh GHA,MFFW,Hellas Verona,it Serie A,28,1990,2.6,3,1.17,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
30,Jean-Eudes Aholou\48b28bfd,ci CIV,MF,Saint-Étienne,fr Ligue 1,25,1994,7.0,12,1.71,7,0,1,0,1,3,1,0.14,0,0,0,0,0,1,Matches
31,Joseph Aidoo\18abe173,gh GHA,DF,Celta Vigo,es La Liga,23,1995,27.8,13,0.47,9,1,1,2,0,0,2,0.07,2,0,0,0,0,0,Matches
32,Ola Aina\246d153b,ng NGA,DF,Torino,it Serie A,22,1996,23.1,46,1.99,25,11,4,0,5,1,7,0.30,3,2,0,0,2,0,Matches
33,Youssef Aït Bennasser\c46fa34c,ma MAR,MF,Bordeaux,fr Ligue 1,23,1996,6.0,8,1.34,8,0,0,0,0,0,2,0.34,2,0,0,0,0,0,Matches
34,Rayan Aït Nouri\9b398aea,fr FRA,DF,Angers,fr Ligue 1,18,2001,14.2,21,1.47,16,3,0,0,1,1,3,0.21,3,0,0,0,0,0,Matches
35,Albian Ajeti\2b1c4abd,ch SUI,MFFW,West Ham,eng Premier League,22,1997,1.5,2,1.29,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
36,Ludovic Ajorque\462475ed,re REU,FW,Strasbourg,fr Ligue 1,25,1994,22.9,36,1.57,27,0,3,3,2,1,10,0.44,6,0,1,1,2,0,Matches
37,Manuel Akanji\89ac64a6,ch SUI,DF,Dortmund,de Bundesliga,24,1995,25.7,10,0.39,9,1,0,0,0,0,3,0.12,3,0,0,0,0,0,Matches
38,Marley Aké\414e1f69,fr FRA,FWMF,Marseille,fr Ligue 1,18,2001,1.1,4,3.64,3,0,1,0,0,0,1,0.91,1,0,0,0,0,0,Matches
39,Nathan Aké\eaeca114,nl NED,DF,Bournemouth,eng Premier League,24,1995,27.8,13,0.47,7,0,1,4,1,0,2,0.07,1,0,0,1,0,0,Matches
40,Chadrac Akolo\debc2f28,cd COD,FWMF,Amiens,fr Ligue 1,24,1995,6.0,17,2.81,9,0,2,2,1,3,4,0.66,1,0,1,1,0,1,Matches
41,Kevin Akpoguma\6ec6fde0,ng NGA,DF,Hoffenheim,de Bundesliga,24,1995,12.7,4,0.32,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
42,David Alaba\05439de2,at AUT,DF,Bayern Munich,de Bundesliga,27,1992,27.8,38,1.37,33,2,1,2,0,0,2,0.07,1,1,0,0,0,0,Matches
43,Sofiane Alakouch\5314e067,ma MAR,DF,Nîmes,fr Ligue 1,21,1998,15.6,25,1.61,22,1,1,0,1,0,3,0.19,3,0,0,0,0,0,Matches
44,Lucas Alario\834d0be5,ar ARG,FW,Leverkusen,de Bundesliga,26,1992,13.0,29,2.22,21,0,2,6,0,0,2,0.15,1,0,0,1,0,0,Matches
45,Jordi Alba\4601e194,es ESP,DF,Barcelona,es La Liga,30,1989,24.3,45,1.85,44,1,0,0,0,0,5,0.21,5,0,0,0,0,0,Matches
46,Luis Alberto\5294a83f,es ESP,MF,Lazio,it Serie A,26,1992,34.6,205,5.93,135,37,16,12,2,3,28,0.81,22,2,0,2,1,1,Matches
47,Raúl Albiol\4bd414c1,es ESP,DF,Villarreal,es La Liga,33,1985,36.0,16,0.44,16,0,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
48,Marc Albrighton\b827d5b3,eng ENG,MFDF,Leicester City,eng Premier League,29,1989,9.6,26,2.70,22,2,1,1,0,0,5,0.52,5,0,0,0,0,0,Matches
49,Paco Alcácer\a7a9d95a,es ESP,FW,Villarreal,es La Liga,25,1993,10.3,16,1.56,14,0,0,1,1,0,3,0.29,2,0,0,0,1,0,Matches
50,Paco Alcácer\a7a9d95a,es ESP,FW,Dortmund,de Bundesliga,25,1993,5.9,14,2.38,10,1,2,0,1,0,3,0.51,2,1,0,0,0,0,Matches
51,Thiago Alcántara\77e84962,es ESP,MF,Bayern Munich,de Bundesliga,28,1991,19.7,57,2.90,44,5,3,3,1,1,8,0.41,6,0,2,0,0,0,Matches
52,Rubén Alcaraz\036bba5f,es ESP,MF,Valladolid,es La Liga,28,1991,21.4,44,2.06,24,6,5,4,5,0,4,0.19,4,0,0,0,0,0,Matches
53,Toby Alderweireld\f7d50789,be BEL,DF,Tottenham,eng Premier League,30,1989,32.9,20,0.61,18,0,0,1,0,1,2,0.06,2,0,0,0,0,0,Matches
54,Haitam Aleesami\4085f08e,no NOR,DF,Amiens,fr Ligue 1,28,1991,21.3,27,1.27,23,3,0,0,0,1,3,0.14,3,0,0,0,0,0,Matches
55,Álex Alegría\46166b49,es ESP,FWMF,Mallorca,es La Liga,26,1992,1.2,1,0.83,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
56,Carles Aleñá\6c811eb7,es ESP,MF,Barcelona,es La Liga,21,1998,1.9,2,1.05,2,0,0,0,0,0,1,0.52,1,0,0,0,0,0,Matches
57,Carles Aleñá\6c811eb7,es ESP,MFFW,Betis,es La Liga,21,1998,8.2,13,1.59,13,0,0,0,0,0,1,0.12,1,0,0,0,0,0,Matches
58,Rúnar Alex Rúnarsson\8fa8f8d2,is ISL,GK,Dijon,fr Ligue 1,24,1995,10.0,3,0.30,1,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
59,Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,Liverpool,eng Premier League,20,1998,35.3,151,4.28,91,50,3,5,1,1,23,0.65,14,7,0,2,0,0,Matches
60,Enrico Alfonso\95adf1e1,it ITA,GK,Brescia,it Serie A,31,1988,3.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
61,Rachid Alioui\bdedd861,ma MAR,FW,Angers,fr Ligue 1,27,1992,17.4,39,2.25,30,0,4,3,2,0,2,0.12,2,0,0,0,0,0,Matches
62,Alisson\7a2e46a8,br BRA,GK,Liverpool,eng Premier League,26,1992,28.3,4,0.14,4,0,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
63,Allan\cc700722,br BRA,MF,Napoli,it Serie A,28,1991,14.2,41,2.88,36,0,4,0,0,1,3,0.21,3,0,0,0,0,0,Matches
64,Dele Alli\cea4ee8f,eng ENG,MFFW,Tottenham,eng Premier League,23,1996,20.5,54,2.63,39,1,9,2,2,1,12,0.58,5,0,5,2,0,0,Matches
65,Miguel Almirón\862a1c15,py PAR,MFFW,Newcastle Utd,eng Premier League,25,1994,33.6,80,2.38,58,0,7,5,7,3,2,0.06,2,0,0,0,0,0,Matches
66,Marcos Alonso\f4290206,es ESP,DF,Chelsea,eng Premier League,28,1990,15.9,47,2.96,36,5,1,2,3,0,6,0.38,4,0,0,0,2,0,Matches
67,Mickaël Alphonse\0a63446f,gp GLP,DF,Dijon,fr Ligue 1,30,1989,15.3,17,1.11,12,4,0,0,1,0,3,0.20,2,1,0,0,0,0,Matches
68,Sergio Álvarez\8875b8c9,es ESP,GK,Celta Vigo,es La Liga,32,1986,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
69,Sergio Álvarez\88d91621,es ESP,MFDF,Eibar,es La Liga,27,1992,12.7,12,0.94,10,0,1,0,0,1,0,0.00,0,0,0,0,0,0,Matches
70,Yeray Álvarez\3ecc11d8,es ESP,DF,Athletic Club,es La Liga,24,1995,31.2,19,0.61,17,0,0,0,1,1,1,0.03,1,0,0,0,0,0,Matches
