Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
1,Rocco Ascone\bdf1db39,fr FRA,FW,Lille,fr Ligue 1,18-077,2003,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
2,Reece Hannam\974b8e7f,eng ENG,DF,Crystal Palace,eng Premier League,21-070,2000,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
3,Max Aarons\774cf58b,eng ENG,DF,Norwich City,eng Premier League,21-328,2000,13,1170,90,100.0,13.0,13,90,13,0,,0,0.69,7,27,-20,-1.54,,11.5,22.6,-11.1,-0.85,,Matches
4,Yunis Abdelhamid\32c2d95f,ma MAR,DF,Reims,fr Ligue 1,34-061,1987,14,1260,90,100.0,14.0,14,90,14,0,,0,0.93,15,18,-3,-0.21,,12.4,15.4,-3.0,-0.21,,Matches
5,Salis Abdul Samed\82464ce3,gh GHA,MF,Clermont Foot,fr Ligue 1,21-247,2000,13,1057,81,83.9,11.7,12,86,10,1,31,0,0.92,14,20,-6,-0.51,+1.71,14.0,15.3,-1.4,-0.12,+0.50,Matches
6,Laurent Abergel\31626657,fr FRA,MF,Lorient,fr Ligue 1,28-300,1993,13,1170,90,92.9,13.0,13,90,13,0,,0,1.08,12,20,-8,-0.62,-0.62,15.8,23.1,-7.3,-0.56,-0.11,Matches
7,Charles Abi\469d3d84,fr FRA,FW,Saint-Étienne,fr Ligue 1,21-230,2000,1,45,45,3.6,0.5,1,45,0,0,,0,1.00,0,0,0,0.00,+0.89,0.7,0.9,-0.2,-0.31,-0.04,Matches
8,Dickson Abiama\cadd666a,ng NGA,FW,Greuther Fürth,de Bundesliga,23-025,1998,10,393,39,33.6,4.4,3,81,1,7,21,1,0.10,6,17,-11,-2.52,-0.55,5.3,10.6,-5.3,-1.21,-0.57,Matches
9,Matthis Abline\0e46fa2f,fr FRA,FW,Rennes,fr Ligue 1,18-268,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
10,Matthis Abline\bbe96b16,fr FRA,FW,Rennes,fr Ligue 1,18-245,2003,7,103,15,8.2,1.1,1,45,0,6,10,3,1.14,0,1,-1,-0.87,-1.89,0.8,1.7,-0.9,-0.76,-1.33,Matches
11,Abdelkabir Abqar\2bc7f211,ma MAR,DF,Alavés,es La Liga,22-263,1999,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
12,Tammy Abraham\f586779e,eng ENG,FW,Chelsea,eng Premier League,24-057,1997,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
13,Tammy Abraham\f586779e,eng ENG,FW,Roma,it Serie A,24-057,1997,13,1100,85,94.0,12.2,13,85,8,0,,0,1.69,21,15,+6,+0.49,-2.08,22.6,15.1,+7.5,+0.61,-1.50,Matches
14,Luis Abram\1f462f95,pe PER,DF,Granada,es La Liga,25-274,1996,7,470,67,37.3,5.2,5,78,3,2,39,7,1.14,6,4,+2,+0.38,+1.52,4.4,5.6,-1.2,-0.23,+0.78,Matches
15,Francesco Acerbi\b96b595c,it ITA,DF,Lazio,it Serie A,33-291,1988,11,975,89,83.3,10.8,11,89,10,0,,0,1.64,21,16,+5,+0.46,+0.92,15.1,15.4,-0.3,-0.02,+0.32,Matches
16,Ragnar Ache\dc38e3bc,de GER,FWMF,Eint Frankfurt,de Bundesliga,23-123,1998,6,72,12,6.7,0.8,0,,0,6,12,2,1.50,3,2,+1,+1.25,+1.52,2.0,2.6,-0.6,-0.75,-0.17,Matches
17,Marcos Acuña\81442ecb,ar ARG,DF,Sevilla,es La Liga,30-031,1991,12,812,68,69.4,9.0,9,83,6,3,23,1,2.08,11,3,+8,+0.89,-0.62,14.3,5.4,+8.9,+0.99,+1.23,Matches
18,Marius Adamonis\1226f0de,lt LTU,GK,Lazio,it Serie A,24-199,1997,0,,,,,0,,0,0,,13,,,,,,,,,,,,Matches
19,Che Adams\f2bf1b0f,sct SCO,FW,Southampton,eng Premier League,25-138,1996,10,678,68,57.9,7.5,9,74,4,1,12,2,1.00,5,10,-5,-0.66,-0.30,8.5,10.4,-1.9,-0.25,-0.62,Matches
20,Tyler Adams\2b09d998,us USA,MFDF,RB Leipzig,de Bundesliga,22-287,1999,8,541,68,50.1,6.0,6,85,4,2,17,2,1.63,11,5,+6,+1.00,+0.33,11.9,9.3,+2.7,+0.44,-0.14,Matches
21,Sargis Adamyan\22919e97,am ARM,FWMF,Hoffenheim,de Bundesliga,28-189,1993,9,302,34,25.8,3.4,2,76,0,7,22,1,1.56,5,6,-1,-0.30,-1.13,6.4,5.0,+1.5,+0.44,-0.04,Matches
22,Amine Adli\dcfb17f4,fr FRA,FWMF,Leverkusen,de Bundesliga,21-202,2000,10,484,48,44.8,5.4,4,83,2,6,25,0,1.70,6,7,-1,-0.19,-1.55,7.6,7.2,+0.4,+0.08,-0.05,Matches
23,Yacine Adli\26777636,fr FRA,MFFW,Bordeaux,fr Ligue 1,21-122,2000,14,924,66,73.3,10.3,10,81,4,4,30,0,0.93,16,18,-2,-0.19,+1.68,12.3,15.6,-3.3,-0.32,+1.41,Matches
24,Adrián\f76e6b4e,es ESP,GK,Liverpool,eng Premier League,34-329,1987,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
25,Felix Afena-Gyan\0154d290,gh GHA,FWMF,Roma,it Serie A,18-313,2003,3,96,32,8.2,1.1,0,,0,3,32,2,2.00,5,1,+4,+3.75,+3.41,2.5,1.3,+1.2,+1.15,+0.48,Matches
26,Martin Agirregabiria\355c883a,es ESP,DF,Alavés,es La Liga,25-202,1996,9,710,79,56.3,7.9,7,87,5,2,51,5,1.22,8,12,-4,-0.51,+0.15,8.7,11.0,-2.3,-0.29,-0.04,Matches
27,Julen Agirrezabala\a2c1a8d3,es ESP,GK,Athletic Club,es La Liga,20-337,2000,2,180,90,14.3,2.0,2,90,2,0,,3,1.00,1,1,0,0.00,-0.25,2.2,1.9,+0.3,+0.15,-0.50,Matches
28,Vittorio Agostinelli\b49a4e1d,it ITA,MF,Fiorentina,it Serie A,19-280,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
29,Lucien Agoume\8bc8829a,fr FRA,MF,Brest,fr Ligue 1,19-292,2002,8,539,67,42.8,6.0,6,79,2,2,33,1,1.13,9,9,0,0.00,+0.12,7.5,9.0,-1.5,-0.25,-0.03,Matches
30,Lucien Agoume\8bc8829a,fr FRA,MF,Inter,it Serie A,19-292,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
