Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
1,Ismael Aaneba\a7e4760c,fr FRA,DF,Strasbourg,fr Ligue 1,19,1999,2.3,122,92,30,4,0,16,5,5,0,0,0,0,67,11,44,9,83,2,26,1,80,0,6,0,10,Matches
2,Patrick van Aanholt\5f09991f,nl NED,DF,Crystal Palace,eng Premier League,27,1990,35.5,1973,1609,364,50,5,242,27,56,2,0,2,0,1322,346,305,1291,320,42,312,4,1596,3,34,62,51,Matches
3,Ignazio Abate\1c529186,it ITA,DF,Milan,it Serie A,31,1986,14.5,918,804,114,19,3,144,14,20,0,0,0,0,625,139,154,59,736,21,95,2,766,1,12,14,23,Matches
4,Issah Abbas\2590ddf7,gh GHA,FW,Mainz 05,de Bundesliga,19,1998,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,1,0,Matches
5,Yunis Abdelhamid\32c2d95f,ma MAR,DF,Reims,fr Ligue 1,30,1987,38.0,1576,1522,54,52,1,187,53,0,0,0,0,0,1173,119,284,1007,436,90,2,5,1318,4,36,9,22,Matches
6,Mehdi Abeid\a4c3f7af,dz ALG,MF,Dijon,fr Ligue 1,25,1992,22.5,1081,1048,33,16,2,198,32,13,10,0,0,1,828,96,157,101,912,46,4,4,919,4,26,7,15,Matches
7,Charles Abi\469d3d84,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,18,2000,0.4,16,16,0,0,0,5,0,0,0,0,0,0,9,2,5,13,0,1,0,0,6,0,1,2,1,Matches
8,David Abraham\565bf0da,ar ARG,DF,Eint Frankfurt,de Bundesliga,32,1986,15.8,671,648,23,20,0,101,24,4,0,0,0,0,427,73,171,72,518,60,3,0,520,2,12,12,12,Matches
9,Amir Abrashi\1c08a3c8,al ALB,MF,Freiburg,de Bundesliga,28,1990,8.8,384,374,10,6,0,77,4,1,0,0,0,0,291,47,46,25,321,28,2,4,333,0,4,4,10,Matches
10,Francesco Acerbi\b96b595c,it ITA,DF,Lazio,it Serie A,30,1988,36.8,1787,1721,66,51,1,262,48,8,0,0,0,0,1284,184,319,1278,318,121,15,7,1554,3,32,16,9,Matches
11,Afriyie Acquah\d7403bd5,gh GHA,MF,Empoli,it Serie A,26,1992,16.8,735,722,13,5,3,146,20,22,0,0,0,0,566,72,97,32,660,23,8,0,591,1,16,10,27,Matches
12,Tyler Adams\2b09d998,us USA,MF,RB Leipzig,de Bundesliga,19,1999,8.0,516,500,16,14,4,89,6,2,0,0,0,0,364,70,82,79,373,48,2,2,416,1,8,3,14,Matches
13,Antonio Adán\65d62814,es ESP,GK,Atlético Madrid,es La Liga,31,1987,1.0,24,13,11,1,0,0,1,0,0,0,0,0,8,1,15,16,5,0,0,3,12,0,2,0,0,Matches
14,Aday\5890cef1,es ESP,DFMF,Girona,es La Liga,30,1987,7.2,325,258,67,15,0,65,25,41,7,1,0,0,170,45,110,37,228,14,45,1,230,2,3,7,12,Matches
15,Khaled Adénon\16714a62,bj BEN,DF,Amiens,fr Ligue 1,33,1985,22.2,967,939,28,27,0,106,45,0,0,0,0,0,674,97,196,145,707,86,1,8,842,1,23,6,7,Matches
16,Claud Adjapong\ce5b170a,it ITA,MFDF,Sassuolo,it Serie A,20,1998,3.0,101,78,23,0,0,11,1,3,0,0,0,0,65,24,12,10,66,1,23,0,77,2,1,3,7,Matches
17,Yacine Adli\26777636,fr FRA,MFFW,Bordeaux,fr Ligue 1,18,2000,2.4,151,145,6,2,1,32,5,7,2,1,0,0,111,22,18,14,132,2,2,0,111,1,3,2,5,Matches
18,Ali Adnan Kadhim\06050480,iq IRQ,MFDF,Atalanta,it Serie A,24,1993,1.8,123,99,24,4,0,24,4,5,6,0,0,0,69,27,27,78,22,5,14,1,78,2,4,4,5,Matches
19,Aritz Aduriz\293211e1,es ESP,FW,Athletic Club,es La Liga,37,1981,10.5,237,227,10,0,0,66,1,9,1,0,0,0,115,67,55,24,123,46,1,11,149,1,6,10,7,Matches
20,Luis Advíncula\cacadf4f,pe PER,DF,Rayo Vallecano,es La Liga,28,1990,26.5,1204,979,225,28,0,186,50,49,2,0,1,0,694,241,269,297,633,61,195,2,980,2,22,17,37,Matches
21,Martin Agirregabiria\355c883a,es ESP,DF,Alavés,es La Liga,22,1996,22.6,968,750,218,17,0,118,18,30,3,3,0,0,470,212,286,51,633,80,196,1,673,4,30,23,41,Matches
22,Nayef Aguerd\288e1e13,ma MAR,DF,Dijon,fr Ligue 1,22,1996,11.7,577,539,38,17,0,83,20,1,0,0,0,0,386,41,150,452,68,24,21,3,452,3,17,9,10,Matches
23,Sergio Agüero\4d034881,ar ARG,FW,Manchester City,eng Premier League,30,1988,27.3,774,725,49,0,3,197,3,15,1,0,0,0,589,125,60,72,656,20,8,10,653,3,9,18,22,Matches
24,Ruben Aguilar\3dd738a1,fr FRA,DFMF,Montpellier,fr Ligue 1,25,1993,28.1,1642,1355,287,12,0,286,36,81,1,0,0,0,998,305,339,68,1233,41,274,9,1328,9,19,32,59,Matches
25,Juan Aguilera\18dc8533,es ESP,MF,Huesca,es La Liga,32,1985,3.8,185,181,4,4,0,18,7,2,0,0,0,0,148,15,22,15,158,10,0,0,163,1,2,3,1,Matches
26,Emmanuel Agyemang-Badu\fe0b8f0e,gh GHA,MF,Udinese,it Serie A,27,1990,1.8,31,31,0,0,0,2,2,0,0,0,0,0,19,8,4,2,23,3,0,1,26,0,0,1,2,Matches
27,Jean-Eudes Aholou\48b28bfd,ci CIV,MF,Monaco,fr Ligue 1,24,1994,11.9,552,541,11,9,0,76,12,2,0,0,0,0,425,58,69,428,81,32,1,1,465,0,12,10,6,Matches
28,Antonis Aidonis\54507986,de GER,DF,Stuttgart,de Bundesliga,17,2001,0.9,34,26,8,0,0,1,0,5,0,0,0,0,13,13,8,2,21,3,8,0,14,1,1,3,2,Matches
29,Ola Aina\246d153b,ng NGA,DFMF,Torino,it Serie A,21,1996,24.0,1160,913,247,13,1,171,35,72,1,0,0,0,615,224,321,220,608,73,232,4,845,1,39,17,48,Matches
30,Youssef Aït Bennasser\c46fa34c,ma MAR,MF,Saint-Étienne,fr Ligue 1,22,1996,10.4,664,650,14,8,1,147,17,2,0,0,0,0,530,76,58,110,524,19,6,1,580,3,10,7,15,Matches
31,Youssef Aït Bennasser\c46fa34c,ma MAR,MF,Monaco,fr Ligue 1,22,1996,11.9,739,717,22,22,2,133,32,2,0,0,0,0,587,76,76,199,513,23,0,1,638,1,21,13,11,Matches
32,Rayan Aït Nouri\9b398aea,fr FRA,DF,Angers,fr Ligue 1,17,2001,0.6,33,31,2,0,0,3,0,1,0,0,0,0,29,2,2,28,3,0,2,0,30,0,0,1,0,Matches
33,Ludovic Ajorque\462475ed,re REU,FW,Strasbourg,fr Ligue 1,24,1994,17.0,467,441,26,0,0,169,13,8,0,0,0,0,244,144,79,251,85,45,1,15,355,2,8,10,12,Matches
34,Manuel Akanji\89ac64a6,ch SUI,DF,Dortmund,de Bundesliga,23,1995,24.5,1828,1785,43,26,1,180,67,3,0,0,0,0,1579,115,134,369,1363,62,17,5,1698,3,23,15,11,Matches
35,Carlos Akapo\f2a68b97,gq EQG,DF,Huesca,es La Liga,25,1993,11.4,442,352,90,3,1,62,6,8,0,0,0,0,243,103,96,63,253,30,87,1,346,4,11,5,15,Matches
36,Nathan Aké\eaeca114,nl NED,DF,Bournemouth,eng Premier League,23,1995,37.9,1689,1604,85,55,0,219,34,7,0,0,0,0,1292,159,238,1282,231,99,30,7,1464,0,34,20,18,Matches
37,Sergio Akieme\06efa9dc,es ESP,DF,Rayo Vallecano,es La Liga,20,1997,2.0,89,79,10,1,0,17,4,6,0,0,0,0,62,13,14,64,14,2,9,0,70,2,3,1,3,Matches
38,Chadrac Akolo\debc2f28,cd COD,MFFW,Stuttgart,de Bundesliga,23,1995,5.8,160,159,1,0,1,32,0,7,1,0,0,0,132,16,12,18,134,5,0,0,122,0,4,4,6,Matches
39,Kevin Akpoguma\6ec6fde0,ng NGA,DF,Hannover 96,de Bundesliga,23,1995,3.5,169,162,7,5,0,30,6,0,0,0,0,0,128,13,28,17,140,6,2,2,140,0,8,3,4,Matches
40,Kevin Akpoguma\6ec6fde0,ng NGA,DF,Hoffenheim,de Bundesliga,23,1995,5.5,271,257,14,8,0,25,6,0,0,0,0,0,203,28,40,33,212,16,6,2,229,0,6,4,8,Matches
