Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
1,Patrick van Aanholt\5f09991f,nl NED,DF,Crystal Palace,eng Premier League,26,1990,24.3,1431,98,446,647,419,36,1157,21,33,63.6,23,0,774,4065,2209,117,37,9,20,19,781,706,90.4,48,Matches
2,Rolando Aarons\c5942695,eng ENG,MFFW,Hellas Verona,it Serie A,21,1995,5.7,173,2,20,82,87,7,167,9,18,50.0,11,0,136,660,391,14,6,1,10,15,212,126,59.4,31,Matches
3,Rolando Aarons\c5942695,eng ENG,FWMF,Newcastle Utd,eng Premier League,21,1995,1.5,67,0,15,31,26,5,67,3,4,75.0,3,1,45,215,117,10,2,0,5,5,62,39,62.9,4,Matches
4,Ignazio Abate\1c529186,it ITA,DF,Milan,it Serie A,30,1986,11.7,870,40,231,464,226,12,757,1,5,20.0,2,0,552,2419,1419,66,21,1,3,6,605,565,93.4,22,Matches
5,Aymen Abdennour\2f798b41,tn TUN,DF,Marseille,fr Ligue 1,27,1989,5.6,359,34,224,160,5,2,358,1,1,100.0,1,0,269,1828,762,11,1,0,0,0,267,259,97.0,0,Matches
6,Aly Abeid\bbe88396,mr MTN,DF,Levante,es La Liga,19,1997,0.9,46,3,20,19,11,0,39,0,0,,0,0,25,136,93,3,2,0,1,0,21,20,95.2,1,Matches
7,Mehdi Abeid\a4c3f7af,dz ALG,MF,Dijon,fr Ligue 1,24,1992,13.1,762,30,257,453,129,16,749,11,22,50.0,13,1,551,3340,1512,40,13,1,14,17,537,493,91.8,29,Matches
8,David Abraham\565bf0da,ar ARG,DF,Eint Frankfurt,de Bundesliga,31,1986,25.6,1561,151,830,844,43,13,1526,13,14,92.9,13,0,955,6028,3395,78,11,0,5,6,903,890,98.6,6,Matches
9,Tammy Abraham\f586779e,eng ENG,FW,Swansea City,eng Premier League,19,1997,19.2,557,12,40,282,266,72,528,30,60,50.0,32,1,370,1290,594,32,10,5,58,45,833,406,48.7,128,Matches
10,Amir Abrashi\1c08a3c8,al ALB,MF,Freiburg,de Bundesliga,27,1990,9.4,471,28,122,288,80,9,467,5,11,45.5,7,0,277,1150,507,25,9,1,9,14,266,230,86.5,19,Matches
11,Francesco Acerbi\b96b595c,it ITA,DF,Sassuolo,it Serie A,29,1988,38.0,2089,331,1099,959,156,26,1994,15,20,75.0,16,0,1150,7171,3116,96,35,2,19,13,1047,1004,95.9,25,Matches
12,Afriyie Acquah\d7403bd5,gh GHA,MF,Torino,it Serie A,25,1992,10.6,573,11,101,398,127,6,568,14,22,63.6,15,0,449,2818,1442,58,23,1,8,18,435,406,93.3,24,Matches
13,Charlie Adam\aff418dc,sct SCO,MF,Stoke City,eng Premier League,31,1985,4.6,342,12,65,219,86,7,318,8,10,80.0,8,2,193,868,416,20,8,0,3,5,232,213,91.8,9,Matches
14,Antonio Adán\65d62814,es ESP,GK,Betis,es La Liga,30,1987,30.0,1163,999,1160,4,2,0,978,4,4,100.0,4,0,751,3850,2335,0,1,0,0,0,655,655,100.0,0,Matches
15,Aday\5890cef1,es ESP,MFDF,Girona,es La Liga,29,1987,20.4,1205,57,249,522,525,45,1054,27,36,75.0,27,0,795,5416,2864,145,45,12,25,19,849,738,86.9,90,Matches
16,Khaled Adénon\16714a62,bj BEN,DF,Amiens,fr Ligue 1,32,1985,32.5,1504,262,1045,535,17,10,1464,1,3,33.3,1,0,778,4515,2233,27,0,0,5,6,709,691,97.5,9,Matches
17,Claud Adjapong\ce5b170a,it ITA,DFMF,Sassuolo,it Serie A,19,1998,13.6,693,42,210,319,222,34,631,16,25,64.0,18,0,443,2460,1365,56,23,8,17,26,455,379,83.3,36,Matches
18,René Adler\f71890f5,de GER,GK,Mainz 05,de Bundesliga,32,1985,14.0,442,334,440,3,0,0,333,0,0,,0,0,237,1236,652,0,0,0,0,0,171,171,100.0,1,Matches
19,Ali Adnan Kadhim\06050480,iq IRQ,DFMF,Udinese,it Serie A,23,1993,18.6,1145,99,355,536,313,7,938,25,32,78.1,25,0,562,2791,1545,71,33,2,17,17,602,548,91.0,27,Matches
20,Adrián\f76e6b4e,es ESP,GK,West Ham,eng Premier League,30,1987,19.0,640,570,633,8,0,0,403,0,0,,0,0,242,1659,1052,0,0,0,0,0,175,174,99.4,0,Matches
21,Aritz Aduriz\293211e1,es ESP,FW,Athletic Club,es La Liga,36,1981,23.9,731,17,44,322,409,122,709,23,35,65.7,27,2,475,1916,843,51,20,11,43,28,1077,561,52.1,211,Matches
