Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Antonio Adán\65d62814,es ESP,GK,Atlético Madrid,es La Liga,31,1987,1.0,2,0,0,0,0,2.1,0.30,+0.1,+0.12,4,16,25.0,14,3,57.1,40.9,10,80.0,55.4,9,0,0.0,0,0.00,15.3,Matches
2,Rúnar Alex Rúnarsson\8fa8f8d2,is ISL,GK,Dijon,fr Ligue 1,23,1995,25.0,44,2,2,5,0,34.9,0.35,-8.1,-0.33,185,415,44.6,628,105,41.7,37.8,203,75.4,56.3,201,17,8.5,19,0.76,15.4,Matches
3,Alisson\7a2e46a8,br BRA,GK,Liverpool,eng Premier League,25,1992,38.0,22,0,0,5,0,27.8,0.29,+5.8,+0.15,197,397,49.6,1055,196,27.2,32.5,213,51.6,46.3,272,22,8.1,39,1.03,16.7,Matches
4,Bobby Allain\8870154f,fr FRA,GK,Dijon,fr Ligue 1,26,1991,13.0,17,1,0,2,1,19.1,0.26,+3.1,+0.24,140,302,46.4,340,70,58.2,44.9,126,82.5,57.7,143,24,16.8,11,0.85,15.8,Matches
5,Sergio Álvarez\8875b8c9,es ESP,GK,Celta Vigo,es La Liga,31,1986,13.0,22,2,1,2,1,18.2,0.29,-2.8,-0.22,102,248,41.1,320,43,48.8,40.3,124,74.2,55.1,146,10,6.8,4,0.31,12.2,Matches
6,Miguel Ángel Moyá\011d8c56,es ESP,GK,Real Sociedad,es La Liga,34,1984,11.0,11,0,0,1,0,9.9,0.31,-1.1,-0.10,84,150,56.0,285,33,35.1,34.3,77,64.9,46.5,122,13,10.7,12,1.09,17.6,Matches
7,Alphonse Areola\2f965a72,fr FRA,GK,Paris S-G,fr Ligue 1,25,1993,21.0,17,4,0,1,1,19.8,0.26,+3.8,+0.18,70,127,55.1,374,95,22.7,28.3,134,31.3,35.2,172,6,3.5,14,0.67,13.2,Matches
8,Kepa Arrizabalaga\28d596a0,es ESP,GK,Chelsea,eng Premier League,23,1994,36.0,39,1,0,6,0,37.0,0.30,-2.0,-0.06,186,323,57.6,898,168,22.5,29.0,259,46.7,41.6,245,17,6.9,22,0.61,15.7,Matches
9,Sergio Asenjo\9f0ea33f,es ESP,GK,Villarreal,es La Liga,29,1989,32.0,45,2,2,4,3,46.2,0.27,+4.2,+0.13,187,460,40.7,554,128,50.9,42.7,251,70.9,55.4,388,39,10.1,21,0.66,14.7,Matches
10,Emil Audero\649b01d8,it ITA,GK,Sampdoria,it Serie A,21,1997,36.0,51,7,2,6,1,51.8,0.32,+1.8,+0.05,144,428,33.6,863,186,32.1,31.8,295,51.2,41.9,389,33,8.5,25,0.69,15.0,Matches
11,Francesco Bardi\0acda699,it ITA,GK,Frosinone,it Serie A,26,1992,3.0,5,0,1,0,0,4.2,0.38,-0.8,-0.27,11,40,27.5,59,15,49.2,40.2,15,73.3,54.8,24,4,16.7,0,0.00,10.4,Matches
12,Oliver Baumann\47064058,de GER,GK,Hoffenheim,de Bundesliga,28,1990,33.0,51,6,0,5,1,52.5,0.30,+2.5,+0.08,210,453,46.4,1047,183,32.5,32.6,242,46.7,42.9,298,25,8.4,44,1.33,16.8,Matches
13,Asmir Begović\7b4de647,ba BIH,GK,Bournemouth,eng Premier League,31,1987,24.0,47,2,0,6,2,37.9,0.36,-7.1,-0.30,135,340,39.7,472,120,44.9,39.8,185,69.2,54.1,234,24,10.3,9,0.38,14.0,Matches
14,Diego Benaglio\b7e7937d,ch SUI,GK,Monaco,fr Ligue 1,34,1983,22.9,38,3,0,3,1,31.9,0.30,-5.1,-0.22,91,237,38.4,459,105,31.6,33.3,159,57.9,46.4,226,18,8.0,6,0.26,12.3,Matches
15,Walter Benítez\8a2248b4,ar ARG,GK,Nice,fr Ligue 1,25,1993,35.0,29,2,0,5,1,40.3,0.27,+12.3,+0.35,170,402,42.3,837,199,27.2,31.0,306,56.9,45.5,371,17,4.6,13,0.37,12.9,Matches
16,Etrit Berisha\ee833569,al ALB,GK,Atalanta,it Serie A,29,1989,18.0,25,1,1,5,3,22.3,0.34,+0.3,+0.02,90,214,42.1,347,94,32.0,33.5,129,79.8,55.3,144,20,13.9,16,0.89,15.9,Matches
17,Paul Bernardoni\28dabd43,fr FRA,GK,Nîmes,fr Ligue 1,21,1997,38.0,58,4,0,4,0,60.5,0.32,+2.5,+0.07,248,716,34.6,823,162,57.2,44.9,290,84.5,60.5,289,21,7.3,20,0.53,14.7,Matches
18,Dimitry Bertaud\380a15e2,fr FRA,GK,Montpellier,fr Ligue 1,20,1998,1.0,0,0,0,0,0,0.5,0.47,+0.5,+0.47,8,25,32.0,23,3,56.5,44.9,13,92.3,57.9,5,0,0.0,0,0.00,9.3,Matches
19,Marcus Bettinelli\0d85a4e8,eng ENG,GK,Fulham,eng Premier League,26,1992,7.0,20,1,0,1,0,17.8,0.43,-2.2,-0.31,68,147,46.3,178,33,51.7,42.1,67,82.1,57.6,71,6,8.5,5,0.71,13.9,Matches
20,Rubén Blanco\967f34d3,es ESP,GK,Celta Vigo,es La Liga,23,1995,25.0,40,4,2,3,0,36.7,0.32,-3.3,-0.13,170,450,37.8,593,113,47.9,42.0,220,75.5,59.9,247,9,3.6,25,1.00,17.5,Matches
21,Artur Boruc\34ccf6fa,pl POL,GK,Bournemouth,eng Premier League,38,1980,12.0,18,3,2,2,0,16.9,0.28,-1.1,-0.09,64,186,34.4,236,59,45.3,40.9,114,69.3,53.7,125,4,3.2,4,0.33,13.5,Matches
22,Zacharie Boucher\249cdcff,fr FRA,GK,Angers,fr Ligue 1,26,1992,2.0,1,0,0,0,0,1.3,0.33,+0.3,+0.15,9,32,28.1,37,9,45.9,41.3,17,88.2,64.9,26,0,0.0,1,0.50,15.8,Matches
23,Yassine Bounou\f6798fc3,ma MAR,GK,Girona,es La Liga,27,1991,31.8,43,6,2,6,1,46.3,0.26,+4.3,+0.13,190,496,38.3,708,142,46.0,40.6,255,66.7,52.8,320,23,7.2,13,0.41,13.2,Matches
24,Fabian Bredlow\d28339cb,de GER,GK,Nürnberg,de Bundesliga,23,1995,12.5,28,1,0,2,0,18.8,0.30,-9.2,-0.74,65,200,32.5,350,43,40.6,37.0,115,50.4,47.8,107,4,3.7,6,0.48,12.9,Matches
25,Gianluigi Buffon\e40d028b,it ITA,GK,Paris S-G,fr Ligue 1,40,1978,17.0,18,1,1,2,3,17.1,0.25,+2.1,+0.12,43,74,58.1,299,75,13.0,23.8,103,34.0,35.1,103,4,3.9,12,0.71,15.4,Matches
