Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Patrick van Aanholt\5f09991f,nl NED,DF,Crystal Palace,eng Premier League,28,1990,29,29,2507,27.9,3,2,2,1,1,0,0,0.11,0.07,0.18,0.07,0.14,2.4,1.6,3.2,4.8,0.08,0.11,0.20,0.06,0.17,Matches
2,Max Aarons\774cf58b,eng ENG,DF,Norwich City,eng Premier League,19,2000,36,36,3240,36.0,0,1,0,0,0,7,0,0.00,0.03,0.03,0.00,0.03,0.5,0.5,3.4,3.9,0.01,0.09,0.11,0.01,0.11,Matches
3,Yunis Abdelhamid\32c2d95f,ma MAR,DF,Reims,fr Ligue 1,31,1987,28,28,2520,28.0,3,0,3,0,0,0,0,0.11,0.00,0.11,0.11,0.11,1.3,1.3,0.1,1.5,0.05,0.00,0.05,0.05,0.05,Matches
4,Suleiman Abdullahi\abf0cad0,ng NGA,FWMF,Union Berlin,de Bundesliga,22,1996,6,1,157,1.7,1,0,1,0,0,1,0,0.57,0.00,0.57,0.57,0.57,1.3,1.3,0.2,1.4,0.72,0.10,0.82,0.72,0.82,Matches
5,Mehdi Abeid\a4c3f7af,dz ALG,MF,Nantes,fr Ligue 1,26,1992,25,20,1817,20.2,1,2,1,0,0,5,0,0.05,0.10,0.15,0.05,0.15,1.6,1.6,1.4,3.0,0.08,0.07,0.15,0.08,0.15,Matches
6,Charles Abi\469d3d84,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2000,15,6,623,6.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,1.1,1.3,0.03,0.16,0.19,0.03,0.19,Matches
7,David Abraham\565bf0da,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,20,19,1688,18.8,2,0,2,0,0,2,1,0.11,0.00,0.11,0.11,0.11,1.4,1.4,0.1,1.5,0.07,0.00,0.08,0.07,0.08,Matches
8,Tammy Abraham\f586779e,eng ENG,FW,Chelsea,eng Premier League,21,1997,34,25,2215,24.6,15,3,15,0,0,2,0,0.61,0.12,0.73,0.61,0.73,14.1,14.1,2.5,16.6,0.57,0.10,0.67,0.57,0.67,Matches
9,Amir Abrashi\1c08a3c8,al ALB,MF,Freiburg,de Bundesliga,29,1990,13,8,663,7.4,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.5,0.05,0.02,0.07,0.05,0.07,Matches
10,Francesco Acerbi\b96b595c,it ITA,DF,Lazio,it Serie A,31,1988,36,36,3162,35.1,2,2,2,0,0,4,0,0.06,0.06,0.11,0.06,0.11,2.0,2.0,1.6,3.6,0.06,0.05,0.10,0.06,0.10,Matches
