Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
11,Afriyie Acquah\d7403bd5,gh GHA,MF,Empoli,it Serie A,26,1992,16.8,2,23,7,30.4,1.37,0.42,0.09,0.29,20.8,0,0,0,1.6,1.6,0.07,+0.4,+0.4,Matches
12,Tyler Adams\2b09d998,us USA,MF,RB Leipzig,de Bundesliga,19,1999,8.0,0,3,1,33.3,0.37,0.12,0.00,0.00,19.5,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
13,Antonio Adán\65d62814,es ESP,GK,Atlético Madrid,es La Liga,31,1987,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
14,Aday\5890cef1,es ESP,DFMF,Girona,es La Liga,30,1987,7.2,0,9,3,33.3,1.26,0.42,0.00,0.00,28.4,2,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches
15,Khaled Adénon\16714a62,bj BEN,DF,Amiens,fr Ligue 1,33,1985,22.2,0,11,0,0.0,0.50,0.00,0.00,,9.1,0,0,0,0.9,0.9,0.08,-0.9,-0.9,Matches
16,Claud Adjapong\ce5b170a,it ITA,MFDF,Sassuolo,it Serie A,20,1998,3.0,1,3,1,33.3,1.00,0.33,0.33,1.00,19.3,0,0,0,0.5,0.5,0.17,+0.5,+0.5,Matches
17,Yacine Adli\26777636,fr FRA,MFFW,Bordeaux,fr Ligue 1,18,2000,2.4,0,1,0,0.0,0.42,0.00,0.00,,47.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
18,Ali Adnan Kadhim\06050480,iq IRQ,MFDF,Atalanta,it Serie A,24,1993,1.8,0,3,0,0.0,1.63,0.00,0.00,,17.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
19,Aritz Aduriz\293211e1,es ESP,FW,Athletic Club,es La Liga,37,1981,10.5,2,14,7,50.0,1.34,0.67,0.00,0.00,12.1,0,2,2,3.4,1.8,0.13,-1.4,-1.8,Matches
20,Luis Advíncula\cacadf4f,pe PER,DF,Rayo Vallecano,es La Liga,28,1990,26.5,1,17,5,29.4,0.64,0.19,0.06,0.20,21.7,0,0,0,0.9,0.9,0.06,+0.1,+0.1,Matches
21,Martin Agirregabiria\355c883a,es ESP,DF,Alavés,es La Liga,22,1996,22.6,0,2,0,0.0,0.09,0.00,0.00,,18.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
22,Nayef Aguerd\288e1e13,ma MAR,DF,Dijon,fr Ligue 1,22,1996,11.7,3,10,4,40.0,0.86,0.34,0.30,0.75,12.6,0,0,0,1.5,1.5,0.15,+1.5,+1.5,Matches
23,Sergio Agüero\4d034881,ar ARG,FW,Manchester City,eng Premier League,30,1988,27.3,21,113,41,36.3,4.14,1.50,0.17,0.46,14.2,3,2,2,19.6,18.1,0.16,+1.4,+0.9,Matches
24,Ruben Aguilar\3dd738a1,fr FRA,DFMF,Montpellier,fr Ligue 1,25,1993,28.1,1,13,4,30.8,0.46,0.14,0.08,0.25,21.7,0,0,0,0.7,0.7,0.06,+0.3,+0.3,Matches
25,Juan Aguilera\18dc8533,es ESP,MF,Huesca,es La Liga,32,1985,3.8,0,3,1,33.3,0.78,0.26,0.00,0.00,17.8,0,0,0,0.5,0.5,0.17,-0.5,-0.5,Matches
26,Emmanuel Agyemang-Badu\fe0b8f0e,gh GHA,MF,Udinese,it Serie A,27,1990,1.8,0,3,0,0.0,1.68,0.00,0.00,,10.0,0,0,0,0.3,0.3,0.10,-0.3,-0.3,Matches
27,Jean-Eudes Aholou\48b28bfd,ci CIV,MF,Monaco,fr Ligue 1,24,1994,11.9,0,14,3,21.4,1.17,0.25,0.00,0.00,18.3,0,0,0,0.6,0.6,0.04,-0.6,-0.6,Matches
28,Antonis Aidonis\54507986,de GER,DF,Stuttgart,de Bundesliga,17,2001,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
29,Ola Aina\246d153b,ng NGA,DFMF,Torino,it Serie A,21,1996,24.0,1,25,6,24.0,1.04,0.25,0.04,0.17,18.2,0,0,0,1.9,1.9,0.08,-0.9,-0.9,Matches
30,Youssef Aït Bennasser\c46fa34c,ma MAR,MF,Saint-Étienne,fr Ligue 1,22,1996,10.4,0,7,0,0.0,0.67,0.00,0.00,,26.6,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
31,Youssef Aït Bennasser\c46fa34c,ma MAR,MF,Monaco,fr Ligue 1,22,1996,11.9,0,10,1,10.0,0.84,0.08,0.00,0.00,27.8,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
32,Rayan Aït Nouri\9b398aea,fr FRA,DF,Angers,fr Ligue 1,17,2001,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
33,Ludovic Ajorque\462475ed,re REU,FW,Strasbourg,fr Ligue 1,24,1994,17.0,9,47,17,36.2,2.76,1.00,0.19,0.53,13.7,2,0,0,5.7,5.7,0.12,+3.3,+3.3,Matches
34,Manuel Akanji\89ac64a6,ch SUI,DF,Dortmund,de Bundesliga,23,1995,24.5,1,9,2,22.2,0.37,0.08,0.11,0.50,9.9,0,0,0,0.8,0.8,0.09,+0.2,+0.2,Matches
35,Carlos Akapo\f2a68b97,gq EQG,DF,Huesca,es La Liga,25,1993,11.4,0,8,2,25.0,0.70,0.18,0.00,0.00,22.6,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
36,Nathan Aké\eaeca114,nl NED,DF,Bournemouth,eng Premier League,23,1995,37.9,4,22,8,36.4,0.58,0.21,0.18,0.50,7.4,0,0,0,3.2,3.2,0.15,+0.8,+0.8,Matches
37,Sergio Akieme\06efa9dc,es ESP,DF,Rayo Vallecano,es La Liga,20,1997,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
38,Chadrac Akolo\debc2f28,cd COD,MFFW,Stuttgart,de Bundesliga,23,1995,5.8,0,16,3,18.8,2.74,0.51,0.00,0.00,18.7,0,0,0,0.9,0.9,0.06,-0.9,-0.9,Matches
39,Kevin Akpoguma\6ec6fde0,ng NGA,DF,Hannover 96,de Bundesliga,23,1995,3.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
40,Kevin Akpoguma\6ec6fde0,ng NGA,DF,Hoffenheim,de Bundesliga,23,1995,5.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
41,David Alaba\05439de2,at AUT,DF,Bayern Munich,de Bundesliga,26,1992,28.1,3,47,16,34.0,1.67,0.57,0.06,0.19,25.8,16,0,0,2.2,2.2,0.05,+0.8,+0.8,Matches
42,Sofiane Alakouch\5314e067,ma MAR,DF,Nîmes,fr Ligue 1,20,1998,21.1,1,13,2,15.4,0.62,0.09,0.08,0.50,22.3,0,0,0,0.6,0.6,0.04,+0.4,+0.4,Matches
43,Lucas Alario\834d0be5,ar ARG,FW,Leverkusen,de Bundesliga,25,1992,14.1,9,44,17,38.6,3.13,1.21,0.20,0.53,10.5,0,0,0,7.9,7.9,0.19,+1.1,+1.1,Matches
44,Jordi Alba\4601e194,es ESP,DF,Barcelona,es La Liga,29,1989,33.2,2,14,4,28.6,0.42,0.12,0.14,0.50,13.7,0,0,0,1.8,1.8,0.13,+0.2,+0.2,Matches
45,Luis Alberto\5294a83f,es ESP,MFFW,Lazio,it Serie A,25,1992,22.1,4,70,13,18.6,3.17,0.59,0.04,0.23,21.7,8,1,1,4.6,3.9,0.06,-0.6,-0.9,Matches
46,Raúl Albiol\4bd414c1,es ESP,DF,Napoli,it Serie A,32,1985,19.0,1,3,1,33.3,0.16,0.05,0.33,1.00,11.8,0,0,0,0.2,0.2,0.06,+0.8,+0.8,Matches
47,Miiko Albornoz\d459281d,cl CHI,DFMF,Hannover 96,de Bundesliga,27,1990,18.4,1,11,4,36.4,0.60,0.22,0.09,0.25,24.8,0,0,0,0.3,0.3,0.03,+0.7,+0.7,Matches
48,Marc Albrighton\b827d5b3,eng ENG,FWMF,Leicester City,eng Premier League,28,1989,18.1,2,20,7,35.0,1.11,0.39,0.10,0.29,20.7,0,0,0,1.2,1.2,0.06,+0.8,+0.8,Matches
49,Paco Alcácer\a7a9d95a,es ESP,FW,Dortmund,de Bundesliga,24,1993,13.5,18,51,26,51.0,3.79,1.93,0.33,0.65,15.0,6,1,1,9.2,8.4,0.17,+8.8,+8.6,Matches
50,Pedro Alcalá\ba71d071,es ESP,DF,Girona,es La Liga,29,1989,20.8,1,15,3,20.0,0.72,0.14,0.07,0.33,16.0,1,0,0,0.9,0.9,0.06,+0.1,+0.1,Matches
51,Thiago Alcántara\77e84962,es ESP,MF,Bayern Munich,de Bundesliga,27,1991,26.8,2,23,6,26.1,0.86,0.22,0.09,0.33,19.9,1,0,0,2.2,2.2,0.09,-0.2,-0.2,Matches
52,Rubén Alcaraz\036bba5f,es ESP,MF,Valladolid,es La Liga,27,1991,33.1,3,52,12,23.1,1.57,0.36,0.06,0.25,25.5,11,0,1,3.3,2.6,0.05,-0.3,+0.4,Matches
53,Toby Alderweireld\f7d50789,be BEL,DF,Tottenham,eng Premier League,29,1989,32.5,0,18,6,33.3,0.55,0.18,0.00,0.00,12.8,0,0,0,1.2,1.2,0.07,-1.2,-1.2,Matches
54,Álex Alegría\46166b49,es ESP,FWMF,Rayo Vallecano,es La Liga,25,1992,1.6,0,3,2,66.7,1.93,1.29,0.00,0.00,18.4,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
55,Alexis Alegue\0f4c0bad,fr FRA,FW,Nantes,fr Ligue 1,21,1996,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
56,Iván Alejo\3d7e48ce,es ESP,MFFW,Getafe,es La Liga,23,1995,1.6,0,1,0,0.0,0.62,0.00,0.00,,23.3,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
57,Carles Aleñá\6c811eb7,es ESP,MF,Barcelona,es La Liga,20,1998,7.1,2,14,3,21.4,1.98,0.42,0.14,0.67,21.2,0,0,0,1.5,1.5,0.10,+0.5,+0.5,Matches
58,Rúnar Alex Rúnarsson\8fa8f8d2,is ISL,GK,Dijon,fr Ligue 1,23,1995,25.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
59,Alexander\3e1858af,ar ARG,DF,Leganés,es La Liga,29,1988,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
60,Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,Liverpool,eng Premier League,19,1998,27.4,1,29,9,31.0,1.06,0.33,0.03,0.11,24.7,9,0,0,1.4,1.4,0.05,-0.4,-0.4,Matches
61,Rachid Alioui\bdedd861,ma MAR,FW,Nîmes,fr Ligue 1,26,1992,13.9,5,50,20,40.0,3.59,1.44,0.10,0.25,19.6,4,0,0,5.3,5.3,0.11,-0.3,-0.3,Matches
62,Alisson\7a2e46a8,br BRA,GK,Liverpool,eng Premier League,25,1992,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
63,Bobby Allain\8870154f,fr FRA,GK,Dijon,fr Ligue 1,26,1991,13.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
64,Allan\cc700722,br BRA,MF,Napoli,it Serie A,27,1991,29.1,1,25,2,8.0,0.86,0.07,0.04,0.50,23.6,0,0,0,1.1,1.1,0.05,-0.1,-0.1,Matches
65,Allan\b15e93aa,br BRA,MFDF,Eint Frankfurt,de Bundesliga,21,1997,2.0,0,2,0,0.0,1.02,0.00,0.00,,20.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
66,Dele Alli\cea4ee8f,eng ENG,MF,Tottenham,eng Premier League,22,1996,20.3,5,39,18,46.2,1.92,0.89,0.13,0.28,14.0,1,0,0,5.9,5.9,0.15,-0.9,-0.9,Matches
67,Miguel Almirón\862a1c15,py PAR,FWMF,Newcastle Utd,eng Premier League,24,1994,8.4,0,19,8,42.1,2.25,0.95,0.00,0.00,19.1,0,0,0,1.7,1.6,0.09,-1.7,-1.6,Matches
68,Júnior Alonso\b18a3023,py PAR,DFMF,Celta Vigo,es La Liga,25,1993,6.0,0,4,2,50.0,0.67,0.34,0.00,0.00,15.4,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
69,Marcos Alonso\f4290206,es ESP,DF,Chelsea,eng Premier League,27,1990,30.7,2,43,7,16.3,1.40,0.23,0.05,0.29,18.7,8,0,0,2.7,2.7,0.06,-0.7,-0.7,Matches
70,Mickaël Alphonse\0a63446f,gp GLP,DF,Dijon,fr Ligue 1,29,1989,6.3,1,4,2,50.0,0.63,0.32,0.25,0.50,20.2,0,0,0,0.3,0.3,0.06,+0.7,+0.7,Matches
71,Sergio Álvarez\8875b8c9,es ESP,GK,Celta Vigo,es La Liga,31,1986,13.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
72,Sergio Álvarez\88d91621,es ESP,MFDF,Eibar,es La Liga,26,1992,11.9,0,2,0,0.0,0.17,0.00,0.00,,8.0,0,0,0,0.2,0.2,0.11,-0.2,-0.2,Matches
73,Yeray Álvarez\3ecc11d8,es ESP,DF,Athletic Club,es La Liga,23,1995,29.0,0,10,3,30.0,0.34,0.10,0.00,0.00,8.4,0,0,0,1.4,1.0,0.10,-1.4,-1.0,Matches
74,Bruno Alves\585a73a8,pt POR,DF,Parma,it Serie A,36,1981,32.5,4,17,5,29.4,0.52,0.15,0.24,0.80,18.8,8,0,0,2.2,2.2,0.13,+1.8,+1.8,Matches
75,Dani Alves\c9e99e49,br BRA,MFDF,Paris S-G,fr Ligue 1,35,1983,18.0,1,27,6,22.2,1.50,0.33,0.04,0.17,21.6,2,0,0,2.2,2.2,0.08,-1.2,-1.2,Matches
76,Alfons Amade\d73a07e2,de GER,MF,Hoffenheim,de Bundesliga,18,1999,0.1,0,1,0,0.0,10.00,0.00,0.00,,9.0,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
77,Ibrahim Amadou\9260926b,fr FRA,MFDF,Sevilla,es La Liga,25,1993,8.5,0,9,3,33.3,1.06,0.35,0.00,0.00,19.0,0,0,0,0.8,0.8,0.09,-0.8,-0.8,Matches
78,Romain Amalfitano\d7bf3d19,fr FRA,MFFW,Dijon,fr Ligue 1,28,1989,28.0,0,20,4,20.0,0.71,0.14,0.00,0.00,25.0,0,0,0,0.6,0.6,0.03,-0.6,-0.6,Matches
79,Daniel Amartey\1a4ef233,gh GHA,DF,Leicester City,eng Premier League,23,1994,7.1,0,4,1,25.0,0.56,0.14,0.00,0.00,19.9,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
80,Jordi Amat\d70a2141,es ESP,DF,Rayo Vallecano,es La Liga,26,1992,30.7,0,7,1,14.3,0.23,0.03,0.00,0.00,7.3,0,0,0,0.7,0.7,0.10,-0.7,-0.7,Matches
81,Amath\f3b1d9a2,sn SEN,MFFW,Getafe,es La Liga,22,1996,11.1,1,14,6,42.9,1.26,0.54,0.07,0.17,17.5,0,0,0,1.6,1.6,0.11,-0.6,-0.6,Matches
82,Jordan Amavi\22721b88,fr FRA,DF,Marseille,fr Ligue 1,24,1994,24.2,0,25,5,20.0,1.03,0.21,0.00,0.00,24.1,0,0,0,0.6,0.6,0.02,-0.6,-0.6,Matches
83,Kelvin Amian\bcc81786,fr FRA,DF,Toulouse,fr Ligue 1,20,1998,32.0,0,18,4,22.2,0.56,0.12,0.00,0.00,25.5,0,0,0,0.5,0.5,0.03,-0.5,-0.5,Matches
84,Nadiem Amiri\555d5edd,de GER,MFFW,Hoffenheim,de Bundesliga,21,1996,8.4,3,19,6,31.6,2.27,0.72,0.16,0.50,17.9,0,0,0,2.2,2.2,0.11,+0.8,+0.8,Matches
85,Yanis Ammour\aeed036d,fr FRA,MF,Montpellier,fr Ligue 1,19,1999,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
86,Luke Amos\77128f7e,eng ENG,MF,Tottenham,eng Premier League,21,1997,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
87,Joachim Andersen\e34fc66d,dk DEN,DF,Sampdoria,it Serie A,22,1996,32.0,0,13,5,38.5,0.41,0.16,0.00,0.00,13.3,0,0,0,0.9,0.9,0.07,-0.9,-0.9,Matches
88,Felipe Anderson\9f1893b9,br BRA,MFFW,West Ham,eng Premier League,25,1993,33.8,9,59,24,40.7,1.74,0.71,0.15,0.38,18.2,5,0,0,5.2,5.2,0.09,+3.8,+3.8,Matches
89,Florin Andone\dc008610,ro ROU,FW,Brighton,eng Premier League,25,1993,9.8,3,18,8,44.4,1.84,0.82,0.17,0.38,11.9,0,0,0,2.0,2.0,0.11,+1.0,+1.0,Matches
90,Benjamin André\ef9c1c95,fr FRA,MF,Rennes,fr Ligue 1,27,1990,27.7,3,32,9,28.1,1.15,0.32,0.09,0.33,12.2,0,0,0,3.3,3.3,0.10,-0.3,-0.3,Matches
91,Marco Andreolli\13d820de,it ITA,DF,Cagliari,it Serie A,32,1986,1.2,0,1,1,100.0,0.85,0.85,0.00,0.00,9.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
92,Marco Andreolli\13d820de,it ITA,DF,Chievo,it Serie A,32,1986,7.2,0,3,1,33.3,0.42,0.14,0.00,0.00,9.7,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
93,Yoann Andreu\872cd68c,fr FRA,DF,Angers,fr Ligue 1,29,1989,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
94,Miguel Ángel Moyá\011d8c56,es ESP,GK,Real Sociedad,es La Liga,34,1984,11.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
95,José Ángel\3024e383,es ESP,DF,Eibar,es La Liga,28,1989,33.6,1,24,4,16.7,0.71,0.12,0.04,0.25,27.0,4,0,0,0.7,0.7,0.03,+0.3,+0.3,Matches
96,Cristian Ansaldi\bbafc0c4,ar ARG,DFMF,Torino,it Serie A,31,1986,20.1,3,36,7,19.4,1.79,0.35,0.08,0.43,25.8,5,0,0,1.4,1.4,0.04,+1.6,+1.6,Matches
97,Mirco Antenucci\43a2e16c,it ITA,FW,SPAL,it Serie A,33,1984,23.7,5,51,16,31.4,2.15,0.68,0.08,0.25,17.7,1,1,2,6.7,5.1,0.10,-1.7,-1.1,Matches
98,Waldemar Anton\5e66fa06,de GER,DF,Hannover 96,de Bundesliga,22,1996,34.0,1,20,4,20.0,0.59,0.12,0.05,0.25,14.5,0,0,0,1.2,1.2,0.06,-0.2,-0.2,Matches
99,Luca Antonelli\40f0ed6c,it ITA,DFMF,Empoli,it Serie A,31,1987,8.4,0,7,2,28.6,0.83,0.24,0.00,0.00,13.1,0,0,0,0.8,0.8,0.11,-0.8,-0.8,Matches
100,Mauro Antonio Burruchaga\0830a4f9,ar ARG,MF,Chievo,it Serie A,20,1998,0.6,0,1,1,100.0,1.55,1.55,0.00,0.00,33.8,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
101,Michail Antonio\ac05f970,jm JAM,FWMF,West Ham,eng Premier League,28,1990,23.4,6,64,24,37.5,2.74,1.03,0.09,0.25,15.8,0,0,0,6.8,6.8,0.11,-0.8,-0.8,Matches
102,Antoñito\dbe519cf,es ESP,DFMF,Valladolid,es La Liga,30,1987,20.7,2,8,2,25.0,0.39,0.10,0.25,1.00,16.1,0,0,0,1.0,1.0,0.12,+1.0,+1.0,Matches
103,Vitorino Antunes\3e4f735d,pt POR,DF,Getafe,es La Liga,31,1987,24.2,1,29,6,20.7,1.20,0.25,0.03,0.17,26.8,4,0,0,0.9,0.9,0.03,+0.1,+0.1,Matches
104,Anuar\c93231dc,ma MAR,MF,Valladolid,es La Liga,23,1995,12.0,1,10,4,40.0,0.83,0.33,0.10,0.25,11.8,0,0,0,2.7,2.7,0.27,-1.7,-1.7,Matches
105,Dennis Aogo\c311243f,de GER,MF,Stuttgart,de Bundesliga,31,1987,11.4,0,10,1,10.0,0.88,0.09,0.00,0.00,22.9,2,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
106,Houssem Aouar\a5db0bec,fr FRA,MF,Lyon,fr Ligue 1,20,1998,34.0,7,72,23,31.9,2.12,0.68,0.10,0.30,16.6,1,0,0,7.5,7.5,0.10,-0.5,-0.5,Matches
107,Emmanuel Apeh\a230ebcc,ng NGA,MF,Celta Vigo,es La Liga,21,1996,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
108,Mauro Arambarri\58afe001,uy URU,MF,Getafe,es La Liga,22,1995,29.7,1,26,9,34.6,0.87,0.30,0.04,0.11,24.5,3,0,0,1.4,1.4,0.05,-0.4,-0.4,Matches
109,Guilherme Arana\2b15a82a,br BRA,MFDF,Sevilla,es La Liga,21,1997,7.0,0,5,2,40.0,0.72,0.29,0.00,0.00,17.5,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
110,Charles Aránguiz\56413b1f,cl CHI,MF,Leverkusen,de Bundesliga,29,1989,21.0,2,22,5,22.7,1.05,0.24,0.09,0.40,24.0,3,0,0,1.4,1.4,0.06,+0.6,+0.6,Matches
111,Luiz Araújo\fa18c72e,br BRA,FWMF,Lille,fr Ligue 1,22,1996,8.7,3,25,9,36.0,2.88,1.04,0.12,0.33,22.5,2,0,0,2.4,2.4,0.10,+0.6,+0.6,Matches
112,Néstor Araujo\27a013f7,mx MEX,DF,Celta Vigo,es La Liga,26,1991,29.8,3,12,7,58.3,0.40,0.23,0.25,0.43,9.8,0,0,0,1.7,1.7,0.14,+1.3,+1.3,Matches
113,Anaitz Arbilla\850c0a0d,es ESP,DF,Eibar,es La Liga,31,1987,21.7,1,19,1,5.3,0.88,0.05,0.05,1.00,22.9,3,0,0,0.8,0.8,0.04,+0.2,+0.2,Matches
114,Joaquín Ardaiz\eb823875,uy URU,FW,Frosinone,it Serie A,19,1999,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
115,Alphonse Areola\2f965a72,fr FRA,GK,Paris S-G,fr Ligue 1,25,1993,21.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
116,Santiago Arias\fdd60087,co COL,DF,Atlético Madrid,es La Liga,26,1992,19.7,1,9,1,11.1,0.46,0.05,0.11,1.00,17.6,0,0,0,0.4,0.4,0.05,+0.6,+0.6,Matches
117,Lorenzo Ariaudo\68b78c2a,it ITA,DF,Frosinone,it Serie A,29,1989,18.7,0,5,1,20.0,0.27,0.05,0.00,0.00,5.9,0,0,0,0.6,0.6,0.13,-0.6,-0.6,Matches
118,Nicolò Armini\2f7407fa,it ITA,DF,Lazio,it Serie A,17,2001,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
119,Yoël Armougom\9dd5da03,fr FRA,DFMF,Caen,fr Ligue 1,20,1998,20.6,0,10,2,20.0,0.49,0.10,0.00,0.00,30.2,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches
120,Stuart Armstrong\97333cf5,sct SCO,MFFW,Southampton,eng Premier League,26,1992,15.9,3,32,12,37.5,2.01,0.75,0.09,0.25,20.3,0,0,0,2.4,2.4,0.07,+0.6,+0.6,Matches
121,José Arnaiz\46e07328,es ESP,DFMF,Leganés,es La Liga,23,1995,1.3,0,1,0,0.0,0.80,0.00,0.00,,16.6,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
122,Marko Arnautović\00459419,at AUT,FW,West Ham,eng Premier League,29,1989,22.1,10,62,30,48.4,2.80,1.36,0.15,0.30,16.9,3,1,1,9.5,8.7,0.14,+0.5,+0.3,Matches
123,Maximilian Arnold\86e119e0,de GER,MF,Wolfsburg,de Bundesliga,24,1994,31.9,2,53,22,41.5,1.66,0.69,0.04,0.09,28.1,8,0,0,2.0,2.0,0.04,0.0,0.0,Matches
124,Kepa Arrizabalaga\28d596a0,es ESP,GK,Chelsea,eng Premier League,23,1994,36.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
125,Harry Arter\2f4c5a52,ie IRL,MF,Cardiff City,eng Premier League,28,1989,22.2,0,23,4,17.4,1.04,0.18,0.00,0.00,22.5,0,0,0,1.1,1.1,0.05,-1.1,-1.1,Matches
126,Kwadwo Asamoah\089550f5,gh GHA,DF,Inter,it Serie A,29,1988,29.7,0,10,1,10.0,0.34,0.03,0.00,0.00,26.6,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches
127,Takuma Asano\13ddc856,jp JPN,MFFW,Hannover 96,de Bundesliga,23,1994,7.8,0,13,3,23.1,1.67,0.39,0.00,0.00,16.4,0,0,0,1.1,1.1,0.08,-1.1,-1.1,Matches
