Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Ismael Aaneba\a7e4760c,fr FRA,DF,Strasbourg,fr Ligue 1,19,1999,2.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2,Patrick van Aanholt\5f09991f,nl NED,DF,Crystal Palace,eng Premier League,27,1990,35.5,3,45,12,26.7,1.27,0.34,0.07,0.25,19.7,0,0,0,2.7,2.7,0.06,+0.3,+0.3,Matches
3,Ignazio Abate\1c529186,it ITA,DF,Milan,it Serie A,31,1986,14.5,0,1,1,100.0,0.07,0.07,0.00,0.00,14.8,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
4,Issah Abbas\2590ddf7,gh GHA,FW,Mainz 05,de Bundesliga,19,1998,0.1,0,1,0,0.0,10.00,0.00,0.00,,30.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
5,Yunis Abdelhamid\32c2d95f,ma MAR,DF,Reims,fr Ligue 1,30,1987,38.0,0,18,4,22.2,0.47,0.11,0.00,0.00,13.1,0,0,0,1.7,1.7,0.09,-1.7,-1.7,Matches
6,Mehdi Abeid\a4c3f7af,dz ALG,MF,Dijon,fr Ligue 1,25,1992,22.5,3,35,11,31.4,1.56,0.49,0.06,0.18,22.9,0,1,1,3.1,2.4,0.07,-0.1,-0.4,Matches
7,Charles Abi\469d3d84,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,18,2000,0.4,0,1,0,0.0,2.81,0.00,0.00,,12.0,0,0,0,0.2,0.2,0.16,-0.2,-0.2,Matches
8,David Abraham\565bf0da,ar ARG,DF,Eint Frankfurt,de Bundesliga,32,1986,15.8,0,5,1,20.0,0.32,0.06,0.00,0.00,12.7,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
9,Amir Abrashi\1c08a3c8,al ALB,MF,Freiburg,de Bundesliga,28,1990,8.8,0,7,2,28.6,0.80,0.23,0.00,0.00,25.9,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches
10,Francesco Acerbi\b96b595c,it ITA,DF,Lazio,it Serie A,30,1988,36.8,3,19,7,36.8,0.52,0.19,0.16,0.43,8.6,0,0,0,3.0,3.0,0.16,0.0,0.0,Matches
