Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Max Aarons\774cf58b,eng ENG,DF,Norwich City,eng Premier League,21-328,2000,13,13,1170,13.0,0,1,0,0,0,3,0,0.00,0.08,0.08,0.00,0.08,0.6,0.6,0.8,1.3,0.04,0.06,0.10,0.04,0.10,Matches
2,Yunis Abdelhamid\32c2d95f,ma MAR,DF,Reims,fr Ligue 1,34-061,1987,14,14,1260,14.0,1,0,1,0,0,2,0,0.07,0.00,0.07,0.07,0.07,0.5,0.5,0.2,0.6,0.03,0.01,0.05,0.03,0.05,Matches
3,Salis Abdul Samed\82464ce3,gh GHA,MF,Clermont Foot,fr Ligue 1,21-247,2000,13,12,1057,11.7,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.6,0.7,0.01,0.05,0.06,0.01,0.06,Matches
4,Laurent Abergel\31626657,fr FRA,MF,Lorient,fr Ligue 1,28-300,1993,13,13,1170,13.0,0,1,0,0,0,5,0,0.00,0.08,0.08,0.00,0.08,1.4,1.4,1.5,2.9,0.11,0.11,0.22,0.11,0.22,Matches
5,Charles Abi\469d3d84,fr FRA,FW,Saint-Étienne,fr Ligue 1,21-230,2000,1,1,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
6,Dickson Abiama\cadd666a,ng NGA,FW,Greuther Fürth,de Bundesliga,23-025,1998,10,3,393,4.4,0,1,0,0,0,1,0,0.00,0.23,0.23,0.00,0.23,1.4,1.4,1.1,2.5,0.32,0.25,0.57,0.32,0.57,Matches
7,Matthis Abline\bbe96b16,fr FRA,FW,Rennes,fr Ligue 1,18-245,2003,7,1,103,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.4,0.30,0.03,0.32,0.30,0.32,Matches
8,Tammy Abraham\f586779e,eng ENG,FW,Roma,it Serie A,24-057,1997,13,13,1100,12.2,3,2,3,0,0,4,0,0.25,0.16,0.41,0.25,0.41,6.4,6.4,2.3,8.7,0.52,0.19,0.71,0.52,0.71,Matches
9,Luis Abram\1f462f95,pe PER,DF,Granada,es La Liga,25-274,1996,7,5,470,5.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.07,0.00,0.07,0.07,0.07,Matches
10,Francesco Acerbi\b96b595c,it ITA,DF,Lazio,it Serie A,33-291,1988,11,11,975,10.8,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.02,0.02,0.00,0.02,Matches
11,Ragnar Ache\dc38e3bc,de GER,FWMF,Eint Frankfurt,de Bundesliga,23-123,1998,6,0,72,0.8,0,1,0,0,0,0,0,0.00,1.25,1.25,0.00,1.25,0.3,0.3,0.0,0.3,0.39,0.00,0.39,0.39,0.39,Matches
12,Marcos Acuña\81442ecb,ar ARG,DF,Sevilla,es La Liga,30-031,1991,12,9,812,9.0,1,1,1,0,0,2,0,0.11,0.11,0.22,0.11,0.22,0.9,0.9,1.6,2.5,0.10,0.18,0.28,0.10,0.28,Matches
13,Che Adams\f2bf1b0f,sct SCO,FW,Southampton,eng Premier League,25-138,1996,10,9,678,7.5,2,1,2,0,0,0,0,0.27,0.13,0.40,0.27,0.40,1.7,1.7,1.3,3.1,0.23,0.18,0.41,0.23,0.41,Matches
14,Tyler Adams\2b09d998,us USA,MFDF,RB Leipzig,de Bundesliga,22-287,1999,8,6,541,6.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.5,0.6,0.02,0.08,0.11,0.02,0.11,Matches
15,Sargis Adamyan\22919e97,am ARM,FWMF,Hoffenheim,de Bundesliga,28-189,1993,9,2,302,3.4,1,0,1,0,0,0,0,0.30,0.00,0.30,0.30,0.30,0.5,0.5,0.7,1.2,0.15,0.22,0.37,0.15,0.37,Matches
16,Amine Adli\dcfb17f4,fr FRA,FWMF,Leverkusen,de Bundesliga,21-202,2000,10,4,484,5.4,1,0,1,0,0,1,0,0.19,0.00,0.19,0.19,0.19,0.6,0.6,0.5,1.1,0.12,0.08,0.20,0.12,0.20,Matches
17,Yacine Adli\26777636,fr FRA,MFFW,Bordeaux,fr Ligue 1,21-122,2000,14,10,924,10.3,1,4,1,0,0,2,0,0.10,0.39,0.49,0.10,0.49,1.1,1.1,3.3,4.4,0.11,0.32,0.43,0.11,0.43,Matches
18,Felix Afena-Gyan\0154d290,gh GHA,FWMF,Roma,it Serie A,18-313,2003,3,0,96,1.1,2,0,2,0,0,1,0,1.87,0.00,1.87,1.87,1.87,0.5,0.5,0.1,0.6,0.44,0.11,0.54,0.44,0.54,Matches
19,Martin Agirregabiria\355c883a,es ESP,DF,Alavés,es La Liga,25-202,1996,9,7,710,7.9,0,1,0,0,0,1,0,0.00,0.13,0.13,0.00,0.13,0.1,0.1,0.5,0.5,0.01,0.06,0.07,0.01,0.07,Matches
20,Julen Agirrezabala\a2c1a8d3,es ESP,GK,Athletic Club,es La Liga,20-337,2000,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
21,Lucien Agoume\8bc8829a,fr FRA,MF,Brest,fr Ligue 1,19-292,2002,8,6,539,6.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.5,0.05,0.03,0.08,0.05,0.08,Matches
22,Kevin Agudelo\46fa7204,co COL,FW,Spezia,it Serie A,23-014,1998,1,0,29,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.4,0.63,0.71,1.34,0.63,1.34,Matches
23,Nayef Aguerd\288e1e13,ma MAR,DF,Rennes,fr Ligue 1,25-243,1996,14,14,1260,14.0,2,0,2,0,0,1,0,0.14,0.00,0.14,0.14,0.14,1.3,1.3,0.0,1.3,0.09,0.00,0.09,0.09,0.09,Matches
24,Sergio Agüero\4d034881,ar ARG,FW,Barcelona,es La Liga,33-179,1988,4,2,151,1.7,1,0,1,0,0,0,0,0.60,0.00,0.60,0.60,0.60,1.1,1.1,0.3,1.3,0.64,0.16,0.80,0.64,0.80,Matches
25,Ruben Aguilar\3dd738a1,fr FRA,DF,Monaco,fr Ligue 1,28-216,1993,12,9,896,10.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.01,0.02,0.03,0.01,0.03,Matches
26,Jean-Eudes Aholou\48b28bfd,ci CIV,MF,Strasbourg,fr Ligue 1,27-253,1994,10,5,399,4.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.02,0.05,0.06,0.02,0.06,Matches
27,Joseph Aidoo\18abe173,gh GHA,DF,Celta Vigo,es La Liga,26-060,1995,9,7,594,6.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.01,0.02,0.02,0.02,Matches
28,Ola Aina\246d153b,ng NGA,DF,Torino,it Serie A,25-051,1996,12,10,788,8.8,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,1.2,1.4,0.02,0.14,0.16,0.02,0.16,Matches
29,Rayan Aït Nouri\9b398aea,fr FRA,DF,Wolves,eng Premier League,20-175,2001,6,5,449,5.0,0,1,0,0,0,1,0,0.00,0.20,0.20,0.00,0.20,0.2,0.2,0.5,0.7,0.04,0.11,0.14,0.04,0.14,Matches
