Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Adrián\f76e6b4e,es ESP,GK,Liverpool,eng Premier League,33,1987,3.0,9,0,0,2,0,7.9,0.42,-1.1,-0.36,12,32,37.5,77,20,31.2,34.9,22,36.4,32.6,29,2,6.9,1,0.33,13.2,Matches
2,Rúnar Alex Rúnarsson\8fa8f8d2,is ISL,GK,Arsenal,eng Premier League,25,1995,0.2,0,0,0,0,0,0.1,0.04,+0.1,+0.50,0,3,0.0,10,2,30.0,31.8,1,0.0,30.0,4,0,0.0,0,0.00,17.5,Matches
3,Alisson\7a2e46a8,br BRA,GK,Liverpool,eng Premier League,27,1992,33.0,32,4,1,4,0,37.9,0.31,+5.9,+0.18,127,275,46.2,964,159,22.6,30.2,173,32.9,35.5,218,22,10.1,44,1.33,17.9,Matches
4,Saturnin Allagbé\b052b8bf,bj BEN,GK,Dijon,fr Ligue 1,26,1993,12.0,30,1,1,3,1,21.5,0.31,-7.5,-0.63,80,211,37.9,301,70,48.2,38.4,104,63.5,46.3,105,4,3.8,13,1.08,14.8,Matches
5,Nícolas Andrade\326d09ef,br BRA,GK,Udinese,it Serie A,32,1988,2.0,5,0,0,0,0,4.0,0.58,-1.0,-0.48,6,13,46.2,31,5,25.8,32.1,9,55.6,47.4,16,0,0.0,0,0.00,15.2,Matches
6,Ángel\b1e5bbec,es ESP,GK,Granada,es La Liga,18,2002,1.0,2,1,0,1,0,2.7,0.22,+0.7,+0.69,10,24,41.7,13,0,76.9,50.1,17,82.4,55.0,10,0,0.0,1,1.00,14.3,Matches
7,Alphonse Areola\2f965a72,fr FRA,GK,Fulham,eng Premier League,27,1993,36.0,48,6,0,4,1,54.6,0.32,+7.6,+0.21,171,431,39.7,752,158,38.2,34.0,249,57.8,43.1,325,32,9.8,20,0.56,13.9,Matches
8,Kepa Arrizabalaga\28d596a0,es ESP,GK,Chelsea,eng Premier League,25,1994,6.5,8,1,0,0,0,7.4,0.31,-0.6,-0.09,38,78,48.7,198,39,29.8,30.8,45,42.2,35.0,40,5,12.5,6,0.92,18.1,Matches
9,Sergio Asenjo\9f0ea33f,es ESP,GK,Villarreal,es La Liga,31,1989,36.0,41,7,0,4,2,34.8,0.25,-3.2,-0.09,210,462,45.5,1022,189,31.3,33.7,285,49.8,43.1,427,42,9.8,21,0.58,13.8,Matches
10,Emil Audero\649b01d8,it ITA,GK,Sampdoria,it Serie A,23,1997,37.0,54,7,1,6,1,51.3,0.27,-1.7,-0.05,254,612,41.5,995,175,44.6,38.5,261,64.4,47.3,381,30,7.9,15,0.41,12.7,Matches
