Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
205,Fin Bartels\acc7b7ec,de GER,FW,Werder Bremen,de Bundesliga,30,1987,12.5,11,7,6,2,3,4,14,28.6,10,214,48,22.4,26,113,75,9,1,0,8,3,14,0,0,Matches
206,Kyle Bartley\18e96f64,eng ENG,DF,Swansea City,eng Premier League,26,1991,2.6,1,0,1,0,0,0,1,0.0,1,14,4,28.6,11,3,0,7,7,0,0,5,6,29,0,Matches
207,Marc Bartra\b742cc0d,es ESP,DF,Dortmund,de Bundesliga,26,1991,9.0,26,12,13,13,0,8,16,50.0,8,141,45,31.9,83,47,11,18,1,0,17,22,48,30,0,Matches
208,Marc Bartra\b742cc0d,es ESP,DF,Betis,es La Liga,26,1991,15.8,34,27,28,6,0,10,23,43.5,13,158,53,33.5,102,54,2,27,10,0,17,25,59,65,0,Matches
209,Andrea Barzagli\7c0000fd,it ITA,DF,Juventus,it Serie A,36,1981,16.1,25,19,16,9,0,7,14,50.0,7,134,44,32.8,76,51,7,22,7,0,15,9,34,52,1,Matches
210,Daniele Baselli\ea06dd97,it ITA,MF,Torino,it Serie A,25,1992,28.0,61,39,29,27,5,20,55,36.4,35,555,151,27.2,189,256,110,37,4,0,33,50,111,44,1,Matches
211,Nicolas Basin\67d251a2,fr FRA,DF,Metz,fr Ligue 1,19,1998,3.5,8,5,5,2,1,2,4,50.0,2,50,17,34.0,32,13,5,5,2,0,3,8,16,6,0,Matches
212,Dušan Basta\3b57f7f8,rs SRB,DFMF,Lazio,it Serie A,32,1984,8.6,7,4,5,1,1,3,13,23.1,10,97,32,33.0,51,29,17,18,3,1,15,5,12,7,0,Matches
213,Gil Bastião Dias\e61bdd69,pt POR,FW,Monaco,fr Ligue 1,20,1996,0.1,1,1,0,0,1,0,0,,0,2,1,50.0,0,0,2,0,0,0,0,0,1,0,0,Matches
214,Gil Bastião Dias\e61bdd69,pt POR,FWMF,Fiorentina,it Serie A,20,1996,13.2,48,28,26,14,8,15,53,28.3,38,297,79,26.6,86,123,88,20,0,0,20,16,64,7,1,Matches
215,Samuel Bastien\ec30b9c8,cd COD,MFFW,Chievo,it Serie A,20,1996,15.1,23,17,8,11,4,4,19,21.1,15,341,87,25.5,97,165,79,28,3,0,25,18,41,17,0,Matches
216,Borja Bastón\8c44e37b,es ESP,FW,Málaga,es La Liga,24,1992,10.9,7,3,1,5,1,1,9,11.1,8,236,53,22.5,17,121,98,12,1,0,11,3,10,3,0,Matches
217,Alessandro Bastoni\75b86fb3,it ITA,DF,Atalanta,it Serie A,18,1999,1.0,3,3,1,2,0,0,2,0.0,2,14,4,28.6,5,7,2,1,0,0,1,1,4,4,0,Matches
218,Bastos\c01c66d9,ao ANG,DF,Lazio,it Serie A,26,1991,15.6,39,24,24,13,2,17,30,56.7,13,157,59,37.6,104,45,8,28,8,0,20,14,53,50,0,Matches
219,Michy Batshuayi\2973d8ff,be BEL,FW,Chelsea,eng Premier League,23,1993,4.0,6,4,2,3,1,1,2,50.0,1,58,11,19.0,4,30,24,0,0,0,0,1,7,4,0,Matches
220,Michy Batshuayi\2973d8ff,be BEL,FW,Dortmund,de Bundesliga,23,1993,9.3,7,4,0,4,3,0,4,0.0,4,158,50,31.6,7,66,85,7,1,0,6,1,8,5,0,Matches
221,Moritz Bauer\cfe6238d,at AUT,DFMF,Stoke City,eng Premier League,25,1992,14.5,30,14,21,7,2,9,26,34.6,17,245,56,22.9,119,96,30,23,1,0,22,13,43,36,0,Matches
222,Robert Bauer\9b88e120,de GER,DF,Werder Bremen,de Bundesliga,22,1995,10.6,24,12,18,5,1,5,19,26.3,14,94,27,28.7,50,38,6,14,4,0,10,11,35,16,1,Matches
223,Oliver Baumann\47064058,de GER,GK,Hoffenheim,de Bundesliga,27,1990,34.0,0,0,0,0,0,0,2,0.0,2,3,1,33.3,3,0,0,0,0,0,0,0,0,1,2,Matches
224,Timo Baumgartl\bd7d2e6d,de GER,DF,Stuttgart,de Bundesliga,21,1996,29.0,80,48,50,29,1,30,61,49.2,31,389,125,32.1,242,136,11,70,25,0,45,24,104,126,1,Matches
225,Julian Baumgartlinger\69374ff5,at AUT,MFDF,Leverkusen,de Bundesliga,29,1988,15.5,44,36,20,21,3,12,41,29.3,29,338,118,34.9,118,179,41,22,2,0,20,21,65,32,0,Matches
226,Jon Bautista\debc6b55,es ESP,FWMF,Real Sociedad,es La Liga,22,1995,2.0,0,0,0,0,0,0,1,0.0,1,26,3,11.5,0,12,14,1,0,0,1,0,0,0,0,Matches
227,Paul Baysse\2515040a,fr FRA,DF,Bordeaux,fr Ligue 1,29,1988,6.3,4,3,3,1,0,2,6,33.3,4,46,15,32.6,28,17,1,9,4,0,5,8,12,27,1,Matches
228,Paul Baysse\2515040a,fr FRA,DF,Málaga,es La Liga,29,1988,13.8,21,10,17,3,1,6,18,33.3,12,124,36,29.0,80,41,3,18,7,0,11,12,33,62,0,Matches
229,Noah Joel Sarenren Bazee\fbbc8e15,ng NGA,FWMF,Hannover 96,de Bundesliga,20,1996,1.3,2,1,0,0,2,2,2,100.0,0,17,5,29.4,2,5,10,1,0,0,1,2,4,3,0,Matches
230,Hervé Bazile\7abfcbff,ht HAI,FWMF,Caen,fr Ligue 1,27,1990,9.8,18,11,7,7,4,4,14,28.6,10,133,36,27.1,30,73,30,28,0,0,28,18,36,6,0,Matches
231,Riechedly Bazoer\da59a197,nl NED,MF,Wolfsburg,de Bundesliga,20,1996,6.6,8,5,4,3,1,1,4,25.0,3,108,25,23.1,28,61,19,8,3,0,5,4,12,7,1,Matches
232,Enrico Bearzotti\c67836b8,it ITA,DFFW,Hellas Verona,it Serie A,20,1996,4.6,4,1,3,0,1,1,5,20.0,4,38,8,21.1,26,7,5,5,2,0,3,5,9,22,0,Matches
233,Claudio Beauvue\8ca253a3,gp GLP,FW,Leganés,es La Liga,29,1988,18.6,5,2,2,2,1,0,8,0.0,8,362,95,26.2,16,174,172,8,2,0,6,1,6,16,0,Matches
234,Bebé\d8712bf9,pt POR,MFFW,Eibar,es La Liga,27,1990,4.1,5,5,2,1,2,3,6,50.0,3,49,16,32.7,4,17,28,7,0,0,7,1,6,0,0,Matches
235,Ihlas Bebou\a53b661f,tg TOG,MFFW,Hannover 96,de Bundesliga,23,1994,23.8,39,25,16,16,7,8,25,32.0,17,403,101,25.1,115,198,90,35,3,0,32,13,52,23,0,Matches
236,Andreas Beck\00a6485f,de GER,DFMF,Stuttgart,de Bundesliga,30,1987,21.4,43,25,21,21,1,9,22,40.9,13,410,127,31.0,162,178,70,39,1,0,38,16,59,44,1,Matches
237,Henri Bedimo\0d57f1c1,cm CMR,DFMF,Marseille,fr Ligue 1,33,1984,0.5,0,0,0,0,0,0,0,,0,7,3,42.9,3,3,1,0,0,0,0,1,1,1,0,Matches
238,Jan Bednarek\4115ce4e,pl POL,DF,Southampton,eng Premier League,21,1996,4.7,7,2,6,0,1,5,7,71.4,2,54,15,27.8,29,21,4,2,1,0,1,9,16,36,0,Matches
239,Asmir Begović\7b4de647,ba BIH,GK,Bournemouth,eng Premier League,30,1987,38.0,0,0,0,0,0,0,2,0.0,2,5,1,20.0,5,0,0,0,0,0,0,0,0,2,3,Matches
240,Valon Behrami\d3d758d8,ch SUI,MF,Udinese,it Serie A,32,1985,15.5,69,49,33,30,6,10,46,21.7,36,513,146,28.5,175,283,55,54,13,0,41,12,81,24,0,Matches
241,Vid Belec\4f8ce0e1,si SVN,GK,Sampdoria,it Serie A,27,1990,2.0,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,1,0,Matches
242,Vid Belec\4f8ce0e1,si SVN,GK,Benevento,it Serie A,27,1990,12.4,0,0,0,0,0,0,0,,0,5,1,20.0,5,0,0,0,0,0,0,0,0,0,1,Matches
243,Ishak Belfodil\ff182fdc,dz ALG,FW,Werder Bremen,de Bundesliga,25,1992,15.0,9,6,3,4,2,0,9,0.0,9,205,50,24.4,16,96,93,8,1,0,7,0,9,14,0,Matches
244,Stefan Bell\857a5abe,de GER,DF,Mainz 05,de Bundesliga,25,1991,24.2,38,28,21,16,1,19,38,50.0,19,231,77,33.3,144,81,6,54,19,0,35,32,70,141,1,Matches
245,Karim Bellarabi\bee0bab1,de GER,FWMF,Leverkusen,de Bundesliga,27,1990,12.7,19,13,8,7,4,6,18,33.3,12,252,68,27.0,63,114,75,22,1,0,21,6,25,5,0,Matches
246,Héctor Bellerín\f874dd44,es ESP,DF,Arsenal,eng Premier League,22,1995,33.9,63,42,38,18,7,24,57,42.1,33,382,118,30.9,163,144,75,64,9,1,55,34,97,78,1,Matches
247,François Bellugou\2174bc8d,fr FRA,MF,Troyes,fr Ligue 1,30,1987,24.2,48,27,24,19,5,14,45,31.1,31,354,102,28.8,191,139,24,22,6,0,16,38,86,35,0,Matches
248,Andrea Belotti\d705ba44,it ITA,FW,Torino,it Serie A,23,1993,29.8,33,24,11,13,9,4,35,11.4,31,504,132,26.2,50,237,217,18,1,0,17,5,38,20,0,Matches
