Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
36,Chadrac Akolo\debc2f28,cd COD,FWMF,Stuttgart,de Bundesliga,22,1995,12.2,28,2.29,22,0,1,3,1,1,2,0.16,0,0,0,1,1,0,Matches
37,Kevin Akpoguma\6ec6fde0,ng NGA,DF,Hoffenheim,de Bundesliga,22,1995,18.8,14,0.75,14,0,0,0,0,0,1,0.05,1,0,0,0,0,0,Matches
38,David Alaba\05439de2,at AUT,DF,Bayern Munich,de Bundesliga,25,1992,17.2,42,2.43,35,4,1,2,0,0,3,0.17,3,0,0,0,0,0,Matches
39,Lucas Alario\834d0be5,ar ARG,FW,Leverkusen,de Bundesliga,24,1992,17.2,38,2.21,25,0,5,1,5,2,7,0.41,4,0,1,0,1,1,Matches
40,David Alba\7a4cd784,es ESP,DF,Getafe,es La Liga,18,1999,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
41,Jordi Alba\4601e194,es ESP,DF,Barcelona,es La Liga,28,1989,30.5,57,1.87,53,0,0,2,1,1,12,0.39,10,0,0,2,0,0,Matches
42,Raúl Albentosa\348e4809,es ESP,DF,La Coruña,es La Liga,28,1988,19.4,7,0.36,4,0,0,2,1,0,0,0.00,0,0,0,0,0,0,Matches
43,Luis Alberto\5294a83f,es ESP,MFFW,Lazio,it Serie A,24,1992,29.7,163,5.50,99,49,9,3,2,1,26,0.88,14,8,3,0,1,0,Matches
44,Raúl Albiol\4bd414c1,es ESP,DF,Napoli,it Serie A,31,1985,30.5,24,0.79,22,0,0,2,0,0,2,0.07,1,0,0,1,0,0,Matches
45,Miiko Albornoz\d459281d,cl CHI,DF,Hannover 96,de Bundesliga,26,1990,7.8,15,1.92,12,0,0,1,2,0,3,0.38,3,0,0,0,0,0,Matches
46,Marc Albrighton\b827d5b3,eng ENG,MFFW,Leicester City,eng Premier League,27,1989,28.2,67,2.38,49,12,2,1,1,2,12,0.43,10,1,0,0,0,1,Matches
47,Paco Alcácer\a7a9d95a,es ESP,FWMF,Barcelona,es La Liga,23,1993,7.7,17,2.20,13,0,0,3,1,0,6,0.78,3,0,0,2,1,0,Matches
48,Pedro Alcalá\ba71d071,es ESP,DF,Girona,es La Liga,28,1989,7.7,4,0.52,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
49,Thiago Alcántara\77e84962,es ESP,MFFW,Bayern Munich,de Bundesliga,26,1991,13.9,54,3.90,47,2,1,0,2,2,3,0.22,3,0,0,0,0,0,Matches
50,David Alcibiade\9b8970ce,fr FRA,DF,Nantes,fr Ligue 1,25,1991,2.3,2,0.87,2,0,0,0,0,0,1,0.43,1,0,0,0,0,0,Matches
51,Toby Alderweireld\f7d50789,be BEL,DF,Tottenham,eng Premier League,28,1989,13.1,12,0.92,8,0,2,1,0,1,0,0.00,0,0,0,0,0,0,Matches
52,Steve Aldo One\a8599c17,cm CMR,DF,La Coruña,es La Liga,22,1995,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
