Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
21,Martin Agirregabiria\355c883a,es ESP,DF,Alavés,es La Liga,22,1996,27,23,2032,22.6,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.6,0.01,0.02,0.02,0.01,0.02,Matches
22,Nayef Aguerd\288e1e13,ma MAR,DF,Dijon,fr Ligue 1,22,1996,13,12,1050,11.7,3,0,3,0,0,4,1,0.26,0.00,0.26,0.26,0.26,1.5,1.5,0.1,1.5,0.13,0.00,0.13,0.13,0.13,Matches
23,Sergio Agüero\4d034881,ar ARG,FW,Manchester City,eng Premier League,30,1988,33,31,2459,27.3,21,8,19,2,2,4,0,0.77,0.29,1.06,0.70,0.99,19.6,18.1,5.3,23.4,0.72,0.19,0.91,0.66,0.86,Matches
24,Ruben Aguilar\3dd738a1,fr FRA,DFMF,Montpellier,fr Ligue 1,25,1993,29,29,2528,28.1,1,4,1,0,0,8,0,0.04,0.14,0.18,0.04,0.18,0.7,0.7,3.2,3.9,0.03,0.11,0.14,0.03,0.14,Matches
25,Juan Aguilera\18dc8533,es ESP,MF,Huesca,es La Liga,32,1985,6,4,344,3.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.6,0.13,0.01,0.15,0.13,0.15,Matches
26,Emmanuel Agyemang-Badu\fe0b8f0e,gh GHA,MF,Udinese,it Serie A,27,1990,4,2,161,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.16,0.01,0.17,0.16,0.17,Matches
27,Jean-Eudes Aholou\48b28bfd,ci CIV,MF,Monaco,fr Ligue 1,24,1994,17,12,1075,11.9,0,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,0.6,0.6,0.2,0.8,0.05,0.01,0.07,0.05,0.07,Matches
28,Antonis Aidonis\54507986,de GER,DF,Stuttgart,de Bundesliga,17,2001,2,1,80,0.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
29,Ola Aina\246d153b,ng NGA,DFMF,Torino,it Serie A,21,1996,30,22,2160,24.0,1,3,1,0,0,5,1,0.04,0.12,0.17,0.04,0.17,1.9,1.9,2.1,4.1,0.08,0.09,0.17,0.08,0.17,Matches
30,Youssef Aït Bennasser\c46fa34c,ma MAR,MF,Saint-Étienne,fr Ligue 1,22,1996,13,11,936,10.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.7,0.02,0.04,0.06,0.02,0.06,Matches
31,Youssef Aït Bennasser\c46fa34c,ma MAR,MF,Monaco,fr Ligue 1,22,1996,13,12,1073,11.9,0,2,0,0,0,2,0,0.00,0.17,0.17,0.00,0.17,0.4,0.4,1.0,1.4,0.03,0.09,0.11,0.03,0.11,Matches
32,Rayan Aït Nouri\9b398aea,fr FRA,DF,Angers,fr Ligue 1,17,2001,3,0,57,0.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
33,Ludovic Ajorque\462475ed,re REU,FW,Strasbourg,fr Ligue 1,24,1994,25,18,1531,17.0,9,1,9,0,0,5,0,0.53,0.06,0.59,0.53,0.59,5.7,5.7,1.0,6.8,0.34,0.06,0.40,0.34,0.40,Matches
34,Manuel Akanji\89ac64a6,ch SUI,DF,Dortmund,de Bundesliga,23,1995,25,25,2205,24.5,1,0,1,0,0,1,0,0.04,0.00,0.04,0.04,0.04,0.8,0.8,0.4,1.2,0.03,0.01,0.05,0.03,0.05,Matches
35,Carlos Akapo\f2a68b97,gq EQG,DF,Huesca,es La Liga,25,1993,13,12,1023,11.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.3,0.7,0.03,0.03,0.06,0.03,0.06,Matches
36,Nathan Aké\eaeca114,nl NED,DF,Bournemouth,eng Premier League,23,1995,38,38,3411,37.9,4,0,4,0,0,3,0,0.11,0.00,0.11,0.11,0.11,3.2,3.2,0.7,3.9,0.08,0.02,0.10,0.08,0.10,Matches
37,Sergio Akieme\06efa9dc,es ESP,DF,Rayo Vallecano,es La Liga,20,1997,2,2,180,2.0,0,1,0,0,0,0,0,0.00,0.50,0.50,0.00,0.50,0.0,0.0,0.1,0.1,0.00,0.03,0.03,0.00,0.03,Matches
38,Chadrac Akolo\debc2f28,cd COD,MFFW,Stuttgart,de Bundesliga,23,1995,16,5,525,5.8,0,1,0,0,0,0,0,0.00,0.17,0.17,0.00,0.17,0.9,0.9,0.3,1.2,0.16,0.05,0.21,0.16,0.21,Matches
39,Kevin Akpoguma\6ec6fde0,ng NGA,DF,Hannover 96,de Bundesliga,23,1995,4,4,313,3.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
40,Kevin Akpoguma\6ec6fde0,ng NGA,DF,Hoffenheim,de Bundesliga,23,1995,8,5,499,5.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
41,David Alaba\05439de2,at AUT,DF,Bayern Munich,de Bundesliga,26,1992,31,29,2530,28.1,3,3,3,0,0,4,0,0.11,0.11,0.21,0.11,0.21,2.2,2.2,4.9,7.1,0.08,0.17,0.25,0.08,0.25,Matches
42,Sofiane Alakouch\5314e067,ma MAR,DF,Nîmes,fr Ligue 1,20,1998,25,23,1895,21.1,1,0,1,0,0,4,0,0.05,0.00,0.05,0.05,0.05,0.6,0.6,1.8,2.4,0.03,0.08,0.11,0.03,0.11,Matches
43,Lucas Alario\834d0be5,ar ARG,FW,Leverkusen,de Bundesliga,25,1992,27,11,1265,14.1,9,3,9,0,0,1,0,0.64,0.21,0.85,0.64,0.85,7.9,7.9,1.9,9.8,0.56,0.13,0.70,0.56,0.70,Matches
44,Jordi Alba\4601e194,es ESP,DF,Barcelona,es La Liga,29,1989,36,32,2991,33.2,2,8,2,0,0,6,0,0.06,0.24,0.30,0.06,0.30,1.8,1.8,5.2,7.0,0.05,0.16,0.21,0.05,0.21,Matches
45,Luis Alberto\5294a83f,es ESP,MFFW,Lazio,it Serie A,25,1992,27,25,1990,22.1,4,5,3,1,1,5,1,0.18,0.23,0.41,0.14,0.36,4.6,3.9,6.1,10.0,0.21,0.28,0.49,0.17,0.45,Matches
46,Raúl Albiol\4bd414c1,es ESP,DF,Napoli,it Serie A,32,1985,20,19,1713,19.0,1,0,1,0,0,4,0,0.05,0.00,0.05,0.05,0.05,0.2,0.2,1.0,1.2,0.01,0.05,0.06,0.01,0.06,Matches
47,Miiko Albornoz\d459281d,cl CHI,DFMF,Hannover 96,de Bundesliga,27,1990,22,19,1660,18.4,1,3,1,0,0,3,1,0.05,0.16,0.22,0.05,0.22,0.3,0.3,1.4,1.8,0.02,0.08,0.10,0.02,0.10,Matches
48,Marc Albrighton\b827d5b3,eng ENG,FWMF,Leicester City,eng Premier League,28,1989,27,18,1625,18.1,2,2,2,0,0,3,0,0.11,0.11,0.22,0.11,0.22,1.2,1.2,2.8,4.0,0.07,0.16,0.22,0.07,0.22,Matches
49,Paco Alcácer\a7a9d95a,es ESP,FW,Dortmund,de Bundesliga,24,1993,26,11,1211,13.5,18,0,17,1,1,0,0,1.34,0.00,1.34,1.26,1.26,9.2,8.4,2.5,10.9,0.68,0.18,0.87,0.63,0.81,Matches
50,Pedro Alcalá\ba71d071,es ESP,DF,Girona,es La Liga,29,1989,25,20,1868,20.8,1,1,1,0,0,9,0,0.05,0.05,0.10,0.05,0.10,0.9,0.9,0.3,1.2,0.04,0.02,0.06,0.04,0.06,Matches
51,Thiago Alcántara\77e84962,es ESP,MF,Bayern Munich,de Bundesliga,27,1991,30,26,2408,26.8,2,6,2,0,0,5,0,0.07,0.22,0.30,0.07,0.30,2.2,2.2,2.8,5.0,0.08,0.11,0.19,0.08,0.19,Matches
52,Rubén Alcaraz\036bba5f,es ESP,MF,Valladolid,es La Liga,27,1991,34,34,2976,33.1,3,2,3,0,1,13,0,0.09,0.06,0.15,0.09,0.15,3.3,2.6,1.3,3.9,0.10,0.04,0.14,0.08,0.12,Matches
53,Toby Alderweireld\f7d50789,be BEL,DF,Tottenham,eng Premier League,29,1989,34,33,2922,32.5,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,1.2,1.2,0.6,1.8,0.04,0.02,0.06,0.04,0.06,Matches
54,Álex Alegría\46166b49,es ESP,FWMF,Rayo Vallecano,es La Liga,25,1992,9,0,140,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.5,0.15,0.17,0.32,0.15,0.32,Matches
55,Alexis Alegue\0f4c0bad,fr FRA,FW,Nantes,fr Ligue 1,21,1996,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
56,Iván Alejo\3d7e48ce,es ESP,MFFW,Getafe,es La Liga,23,1995,4,2,146,1.6,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.04,0.09,0.13,0.04,0.13,Matches
57,Carles Aleñá\6c811eb7,es ESP,MF,Barcelona,es La Liga,20,1998,17,6,637,7.1,2,0,2,0,0,2,0,0.28,0.00,0.28,0.28,0.28,1.5,1.5,0.7,2.1,0.21,0.09,0.30,0.21,0.30,Matches
58,Rúnar Alex Rúnarsson\8fa8f8d2,is ISL,GK,Dijon,fr Ligue 1,23,1995,25,25,2250,25.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
59,Alexander\3e1858af,ar ARG,DF,Leganés,es La Liga,29,1988,1,0,10,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
60,Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,Liverpool,eng Premier League,19,1998,29,27,2462,27.4,1,12,1,0,0,3,0,0.04,0.44,0.48,0.04,0.48,1.4,1.4,6.3,7.7,0.05,0.23,0.28,0.05,0.28,Matches
61,Rachid Alioui\bdedd861,ma MAR,FW,Nîmes,fr Ligue 1,26,1992,27,11,1252,13.9,5,0,5,0,0,1,0,0.36,0.00,0.36,0.36,0.36,5.3,5.3,1.2,6.5,0.38,0.09,0.47,0.38,0.47,Matches
62,Alisson\7a2e46a8,br BRA,GK,Liverpool,eng Premier League,25,1992,38,38,3420,38.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
63,Bobby Allain\8870154f,fr FRA,GK,Dijon,fr Ligue 1,26,1991,13,13,1170,13.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
64,Allan\cc700722,br BRA,MF,Napoli,it Serie A,27,1991,33,28,2616,29.1,1,3,1,0,0,10,0,0.03,0.10,0.14,0.03,0.14,1.1,1.1,3.3,4.4,0.04,0.11,0.15,0.04,0.15,Matches
65,Allan\b15e93aa,br BRA,MFDF,Eint Frankfurt,de Bundesliga,21,1997,4,2,176,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.05,0.01,0.06,0.05,0.06,Matches
66,Dele Alli\cea4ee8f,eng ENG,MF,Tottenham,eng Premier League,22,1996,25,22,1825,20.3,5,3,5,0,0,4,0,0.25,0.15,0.39,0.25,0.39,5.9,5.9,2.7,8.6,0.29,0.14,0.42,0.29,0.42,Matches
67,Miguel Almirón\862a1c15,py PAR,FWMF,Newcastle Utd,eng Premier League,24,1994,10,9,759,8.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.7,1.6,0.8,2.5,0.20,0.10,0.30,0.19,0.29,Matches
68,Júnior Alonso\b18a3023,py PAR,DFMF,Celta Vigo,es La Liga,25,1993,9,6,536,6.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.6,0.06,0.04,0.10,0.06,0.10,Matches
69,Marcos Alonso\f4290206,es ESP,DF,Chelsea,eng Premier League,27,1990,31,31,2759,30.7,2,4,2,0,0,6,0,0.07,0.13,0.20,0.07,0.20,2.7,2.7,3.5,6.2,0.09,0.11,0.20,0.09,0.20,Matches
70,Mickaël Alphonse\0a63446f,gp GLP,DF,Dijon,fr Ligue 1,29,1989,11,6,571,6.3,1,0,1,0,0,0,0,0.16,0.00,0.16,0.16,0.16,0.3,0.3,0.4,0.7,0.04,0.07,0.11,0.04,0.11,Matches
71,Sergio Álvarez\8875b8c9,es ESP,GK,Celta Vigo,es La Liga,31,1986,13,13,1170,13.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
72,Sergio Álvarez\88d91621,es ESP,MFDF,Eibar,es La Liga,26,1992,19,12,1069,11.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.3,0.02,0.00,0.02,0.02,0.02,Matches
73,Yeray Álvarez\3ecc11d8,es ESP,DF,Athletic Club,es La Liga,23,1995,30,30,2613,29.0,0,0,0,0,0,10,0,0.00,0.00,0.00,0.00,0.00,1.4,1.0,0.0,1.1,0.05,0.00,0.05,0.04,0.04,Matches
74,Bruno Alves\585a73a8,pt POR,DF,Parma,it Serie A,36,1981,33,33,2922,32.5,4,1,4,0,0,9,1,0.12,0.03,0.15,0.12,0.15,2.2,2.2,1.3,3.5,0.07,0.04,0.11,0.07,0.11,Matches
75,Dani Alves\c9e99e49,br BRA,MFDF,Paris S-G,fr Ligue 1,35,1983,23,19,1622,18.0,1,7,1,0,0,4,0,0.06,0.39,0.44,0.06,0.44,2.2,2.2,7.0,9.2,0.12,0.39,0.51,0.12,0.51,Matches
76,Alfons Amade\d73a07e2,de GER,MF,Hoffenheim,de Bundesliga,18,1999,1,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.78,0.00,0.78,0.78,0.78,Matches
77,Ibrahim Amadou\9260926b,fr FRA,MFDF,Sevilla,es La Liga,25,1993,17,7,762,8.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.1,0.8,0.09,0.01,0.10,0.09,0.10,Matches
78,Romain Amalfitano\d7bf3d19,fr FRA,MFFW,Dijon,fr Ligue 1,28,1989,32,30,2522,28.0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.9,1.5,0.02,0.03,0.05,0.02,0.05,Matches
79,Daniel Amartey\1a4ef233,gh GHA,DF,Leicester City,eng Premier League,23,1994,9,7,641,7.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.5,0.05,0.02,0.07,0.05,0.07,Matches
80,Jordi Amat\d70a2141,es ESP,DF,Rayo Vallecano,es La Liga,26,1992,31,31,2763,30.7,0,0,0,0,0,9,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.1,0.8,0.02,0.00,0.03,0.02,0.03,Matches
81,Amath\f3b1d9a2,sn SEN,MFFW,Getafe,es La Liga,22,1996,15,13,1002,11.1,1,2,1,0,0,4,0,0.09,0.18,0.27,0.09,0.27,1.6,1.6,0.7,2.3,0.14,0.07,0.21,0.14,0.21,Matches
82,Jordan Amavi\22721b88,fr FRA,DF,Marseille,fr Ligue 1,24,1994,28,24,2177,24.2,0,2,0,0,0,7,2,0.00,0.08,0.08,0.00,0.08,0.6,0.6,2.0,2.6,0.02,0.08,0.11,0.02,0.11,Matches
83,Kelvin Amian\bcc81786,fr FRA,DF,Toulouse,fr Ligue 1,20,1998,32,32,2880,32.0,0,1,0,0,0,6,0,0.00,0.03,0.03,0.00,0.03,0.5,0.5,0.7,1.2,0.02,0.02,0.04,0.02,0.04,Matches
84,Nadiem Amiri\555d5edd,de GER,MFFW,Hoffenheim,de Bundesliga,21,1996,13,10,754,8.4,3,1,3,0,0,1,0,0.36,0.12,0.48,0.36,0.48,2.2,2.2,1.7,3.9,0.26,0.21,0.47,0.26,0.47,Matches
85,Yanis Ammour\aeed036d,fr FRA,MF,Montpellier,fr Ligue 1,19,1999,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
86,Luke Amos\77128f7e,eng ENG,MF,Tottenham,eng Premier League,21,1997,1,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
87,Joachim Andersen\e34fc66d,dk DEN,DF,Sampdoria,it Serie A,22,1996,32,32,2880,32.0,0,1,0,0,0,7,0,0.00,0.03,0.03,0.00,0.03,0.9,0.9,0.5,1.5,0.03,0.02,0.05,0.03,0.05,Matches
88,Felipe Anderson\9f1893b9,br BRA,MFFW,West Ham,eng Premier League,25,1993,36,36,3043,33.8,9,4,9,0,0,3,0,0.27,0.12,0.38,0.27,0.38,5.2,5.2,6.8,12.0,0.15,0.20,0.35,0.15,0.35,Matches
89,Florin Andone\dc008610,ro ROU,FW,Brighton,eng Premier League,25,1993,23,8,881,9.8,3,0,3,0,0,5,0,0.31,0.00,0.31,0.31,0.31,2.0,2.0,0.1,2.1,0.21,0.01,0.22,0.21,0.22,Matches
90,Benjamin André\ef9c1c95,fr FRA,MF,Rennes,fr Ligue 1,27,1990,30,28,2495,27.7,3,1,3,0,0,8,1,0.11,0.04,0.14,0.11,0.14,3.3,3.3,1.2,4.6,0.12,0.05,0.17,0.12,0.17,Matches
91,Marco Andreolli\13d820de,it ITA,DF,Cagliari,it Serie A,32,1986,3,1,106,1.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02,Matches
92,Marco Andreolli\13d820de,it ITA,DF,Chievo,it Serie A,32,1986,8,7,646,7.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.03,0.00,0.03,0.03,0.03,Matches
93,Yoann Andreu\872cd68c,fr FRA,DF,Angers,fr Ligue 1,29,1989,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
94,Miguel Ángel Moyá\011d8c56,es ESP,GK,Real Sociedad,es La Liga,34,1984,11,11,990,11.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
95,José Ángel\3024e383,es ESP,DF,Eibar,es La Liga,28,1989,35,34,3028,33.6,1,1,1,0,0,10,0,0.03,0.03,0.06,0.03,0.06,0.7,0.7,3.6,4.3,0.02,0.11,0.13,0.02,0.13,Matches
96,Cristian Ansaldi\bbafc0c4,ar ARG,DFMF,Torino,it Serie A,31,1986,24,23,1807,20.1,3,2,3,0,0,3,0,0.15,0.10,0.25,0.15,0.25,1.4,1.4,2.5,3.9,0.07,0.12,0.19,0.07,0.19,Matches
97,Mirco Antenucci\43a2e16c,it ITA,FW,SPAL,it Serie A,33,1984,35,22,2133,23.7,5,0,4,1,2,0,0,0.21,0.00,0.21,0.17,0.17,6.7,5.1,1.5,6.6,0.28,0.06,0.34,0.22,0.28,Matches
98,Waldemar Anton\5e66fa06,de GER,DF,Hannover 96,de Bundesliga,22,1996,34,34,3060,34.0,1,0,1,0,0,4,0,0.03,0.00,0.03,0.03,0.03,1.2,1.2,0.2,1.4,0.04,0.01,0.04,0.04,0.04,Matches
99,Luca Antonelli\40f0ed6c,it ITA,DFMF,Empoli,it Serie A,31,1987,13,10,755,8.4,0,1,0,0,0,1,0,0.00,0.12,0.12,0.00,0.12,0.8,0.8,0.2,1.0,0.09,0.03,0.12,0.09,0.12,Matches
100,Mauro Antonio Burruchaga\0830a4f9,ar ARG,MF,Chievo,it Serie A,20,1998,1,0,58,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02,Matches
101,Michail Antonio\ac05f970,jm JAM,FWMF,West Ham,eng Premier League,28,1990,33,22,2103,23.4,6,4,6,0,0,3,0,0.26,0.17,0.43,0.26,0.43,6.8,6.8,3.5,10.3,0.29,0.15,0.44,0.29,0.44,Matches
102,Antoñito\dbe519cf,es ESP,DFMF,Valladolid,es La Liga,30,1987,30,18,1863,20.7,2,1,2,0,0,5,0,0.10,0.05,0.14,0.10,0.14,1.0,1.0,1.8,2.8,0.05,0.09,0.14,0.05,0.14,Matches
103,Vitorino Antunes\3e4f735d,pt POR,DF,Getafe,es La Liga,31,1987,28,25,2181,24.2,1,3,1,0,0,5,0,0.04,0.12,0.17,0.04,0.17,0.9,0.9,2.7,3.6,0.04,0.11,0.15,0.04,0.15,Matches
104,Anuar\c93231dc,ma MAR,MF,Valladolid,es La Liga,23,1995,19,12,1081,12.0,1,0,1,0,0,6,0,0.08,0.00,0.08,0.08,0.08,2.7,2.7,0.1,2.7,0.22,0.01,0.23,0.22,0.23,Matches
105,Dennis Aogo\c311243f,de GER,MF,Stuttgart,de Bundesliga,31,1987,15,13,1025,11.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,1.3,1.7,0.04,0.12,0.15,0.04,0.15,Matches
