Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Max Aarons\774cf58b,eng ENG,DF,Norwich City,eng Premier League,21-328,2000,13.0,0,9,2,22.2,0.69,0.15,0.00,0.00,20.2,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches
2,Yunis Abdelhamid\32c2d95f,ma MAR,DF,Reims,fr Ligue 1,34-061,1987,14.0,1,9,3,33.3,0.64,0.21,0.11,0.33,18.1,0,0,0,0.5,0.5,0.05,+0.5,+0.5,Matches
3,Salis Abdul Samed\82464ce3,gh GHA,MF,Clermont Foot,fr Ligue 1,21-247,2000,11.7,0,3,1,33.3,0.26,0.09,0.00,0.00,25.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
4,Laurent Abergel\31626657,fr FRA,MF,Lorient,fr Ligue 1,28-300,1993,13.0,0,12,4,33.3,0.92,0.31,0.00,0.00,20.3,0,0,0,1.4,1.4,0.12,-1.4,-1.4,Matches
5,Charles Abi\469d3d84,fr FRA,FW,Saint-Étienne,fr Ligue 1,21-230,2000,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
6,Dickson Abiama\cadd666a,ng NGA,FW,Greuther Fürth,de Bundesliga,23-025,1998,4.4,0,11,2,18.2,2.52,0.46,0.00,0.00,12.4,0,0,0,1.4,1.4,0.13,-1.4,-1.4,Matches
7,Matthis Abline\bbe96b16,fr FRA,FW,Rennes,fr Ligue 1,18-245,2003,1.1,0,2,0,0.0,1.75,0.00,0.00,,8.6,0,0,0,0.3,0.3,0.17,-0.3,-0.3,Matches
8,Tammy Abraham\f586779e,eng ENG,FW,Roma,it Serie A,24-057,1997,12.2,3,34,8,23.5,2.78,0.65,0.09,0.38,12.3,1,0,0,6.4,6.4,0.19,-3.4,-3.4,Matches
9,Luis Abram\1f462f95,pe PER,DF,Granada,es La Liga,25-274,1996,5.2,0,1,0,0.0,0.19,0.00,0.00,,7.0,0,0,0,0.4,0.4,0.36,-0.4,-0.4,Matches
10,Francesco Acerbi\b96b595c,it ITA,DF,Lazio,it Serie A,33-291,1988,10.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
11,Ragnar Ache\dc38e3bc,de GER,FWMF,Eint Frankfurt,de Bundesliga,23-123,1998,0.8,0,6,1,16.7,7.50,1.25,0.00,0.00,14.3,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
12,Marcos Acuña\81442ecb,ar ARG,DF,Sevilla,es La Liga,30-031,1991,9.0,1,7,4,57.1,0.78,0.44,0.14,0.25,21.8,0,0,0,0.9,0.9,0.13,+0.1,+0.1,Matches
13,Che Adams\f2bf1b0f,sct SCO,FW,Southampton,eng Premier League,25-138,1996,7.5,2,14,7,50.0,1.86,0.93,0.14,0.29,14.6,0,0,0,1.7,1.7,0.12,+0.3,+0.3,Matches
14,Tyler Adams\2b09d998,us USA,MFDF,RB Leipzig,de Bundesliga,22-287,1999,6.0,0,1,0,0.0,0.17,0.00,0.00,,9.8,0,0,0,0.1,0.1,0.14,-0.1,-0.1,Matches
15,Sargis Adamyan\22919e97,am ARM,FWMF,Hoffenheim,de Bundesliga,28-189,1993,3.4,1,3,2,66.7,0.89,0.60,0.33,0.50,16.7,0,0,0,0.5,0.5,0.17,+0.5,+0.5,Matches
16,Amine Adli\dcfb17f4,fr FRA,FWMF,Leverkusen,de Bundesliga,21-202,2000,5.4,1,9,5,55.6,1.67,0.93,0.11,0.20,16.9,0,0,0,0.6,0.6,0.07,+0.4,+0.4,Matches
17,Yacine Adli\26777636,fr FRA,MFFW,Bordeaux,fr Ligue 1,21-122,2000,10.3,1,12,6,50.0,1.17,0.58,0.08,0.17,20.2,3,0,0,1.1,1.1,0.09,-0.1,-0.1,Matches
18,Felix Afena-Gyan\0154d290,gh GHA,FWMF,Roma,it Serie A,18-313,2003,1.1,2,6,3,50.0,5.63,2.81,0.33,0.67,15.7,0,0,0,0.5,0.5,0.08,+1.5,+1.5,Matches
19,Martin Agirregabiria\355c883a,es ESP,DF,Alavés,es La Liga,25-202,1996,7.9,0,2,0,0.0,0.25,0.00,0.00,,17.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
20,Julen Agirrezabala\a2c1a8d3,es ESP,GK,Athletic Club,es La Liga,20-337,2000,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
21,Lucien Agoume\8bc8829a,fr FRA,MF,Brest,fr Ligue 1,19-292,2002,6.0,0,3,0,0.0,0.50,0.00,0.00,,15.4,0,0,0,0.3,0.3,0.10,-0.3,-0.3,Matches
22,Kevin Agudelo\46fa7204,co COL,FW,Spezia,it Serie A,23-014,1998,0.3,0,2,2,100.0,6.21,6.21,0.00,0.00,20.7,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches
23,Nayef Aguerd\288e1e13,ma MAR,DF,Rennes,fr Ligue 1,25-243,1996,14.0,2,12,4,33.3,0.86,0.29,0.17,0.50,7.5,0,0,0,1.3,1.3,0.11,+0.7,+0.7,Matches
24,Sergio Agüero\4d034881,ar ARG,FW,Barcelona,es La Liga,33-179,1988,1.7,1,6,1,16.7,3.58,0.60,0.17,1.00,11.9,0,0,0,1.1,1.1,0.18,-0.1,-0.1,Matches
